West Virginia, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,63.3,-0.1
189604,69.7,6.3
189704,62.9,-0.5
189804,57.3,-6.1
189904,64.5,1.1
190004,63.4,0.0
190104,56.4,-7.0
190204,59.8,-3.6
190304,62.8,-0.6
190404,58.5,-4.9
190504,64.2,0.8
190604,66.5,3.1
190704,54.9,-8.5
190804,66.2,2.8
190904,64.3,0.9
191004,65.7,2.3
191104,59.3,-4.1
191204,67.4,4.0
191304,62.9,-0.5
191404,62.6,-0.8
191504,68.3,4.9
191604,60.9,-2.5
191704,63.6,0.2
191804,60.5,-2.9
191904,64,0.6
192004,59.7,-3.7
192104,68.5,5.1
192204,65.8,2.4
192304,63.3,-0.1
192404,61.9,-1.5
192504,68.2,4.8
192604,58.4,-5.0
192704,62.4,-1.0
192804,58.8,-4.6
192904,67,3.6
193004,65.3,1.9
193104,62.5,-0.9
193204,62.6,-0.8
193304,63.9,0.5
193404,64.1,0.7
193504,58.5,-4.9
193604,60,-3.4
193704,61.7,-1.7
193804,66.3,2.9
193904,60,-3.4
194004,60.5,-2.9
194104,69.3,5.9
194204,68,4.6
194304,59.1,-4.3
194404,61.1,-2.3
194504,68.2,4.8
194604,65.1,1.7
194704,68.3,4.9
194804,68.3,4.9
194904,61.2,-2.2
195004,60,-3.4
195104,60.9,-2.5
195204,62.8,-0.6
195304,60.2,-3.2
195404,70.5,7.1
195504,68.3,4.9
195604,59.7,-3.7
195704,67,3.6
195804,63.2,-0.2
195904,64.9,1.5
196004,68.2,4.8
196104,54.8,-8.6
196204,59.8,-3.6
196304,65.2,1.8
196404,65,1.6
196504,63.5,0.1
196604,57.8,-5.6
196704,66.1,2.7
196804,65.2,1.8
196904,66.2,2.8
197004,65,1.6
197104,63.9,0.5
197204,62.4,-1.0
197304,59,-4.4
197404,65.7,2.3
197504,58.6,-4.8
197604,66.3,2.9
197704,67.4,4.0
197804,63.8,0.4
197904,61.8,-1.6
198004,62.6,-0.8
198104,68.5,5.1
198204,60.9,-2.5
198304,57.9,-5.5
198404,60.1,-3.3
198504,68.4,5.0
198604,67.4,4.0
198704,59.4,-4.0
198804,63.2,-0.2
198904,61,-2.4
199004,63.5,0.1
199104,67,3.6
199204,62,-1.4
199304,62.9,-0.5
199404,69,5.6
199504,64.5,1.1
199604,63.3,-0.1
199704,59.1,-4.3
199804,65.4,2.0
199904,67.5,4.1
200004,63.1,-0.3
200104,68.1,4.7
200204,66.6,3.2
200304,65.9,2.5
200404,63.3,-0.1
200504,66.4,3.0
200604,69.7,6.3
200704,60.8,-2.6
200804,66.7,3.3
200904,65.1,1.7
201004,71,7.6
201104,67.1,3.7
201204,64.5,1.1
201304,66.2,2.8
201404,67,3.6
201504,65.5,2.1
