Wyoming, Maximum Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189510,55.8,0.0
189610,55.6,-0.2
189710,54.7,-1.1
189810,50,-5.8
189910,49.7,-6.1
190010,55.2,-0.6
190110,57.3,1.5
190210,56.8,1.0
190310,57.4,1.6
190410,57.9,2.1
190510,49,-6.8
190610,54.3,-1.5
190710,59.7,3.9
190810,50.3,-5.5
190910,56.9,1.1
191010,58.8,3.0
191110,50,-5.8
191210,50.7,-5.1
191310,48.5,-7.3
191410,55.9,0.1
191510,59.2,3.4
191610,50,-5.8
191710,54.2,-1.6
191810,57.2,1.4
191910,43.3,-12.5
192010,53,-2.8
192110,61.6,5.8
192210,58.8,3.0
192310,46.6,-9.2
192410,54.4,-1.4
192510,45.5,-10.3
192610,56.8,1.0
192710,58.1,2.3
192810,54.3,-1.5
192910,55.9,0.1
193010,50.7,-5.1
193110,56.2,0.4
193210,51.4,-4.4
193310,62,6.2
193410,60.7,4.9
193510,56.9,1.1
193610,55,-0.8
193710,58.4,2.6
193810,58.5,2.7
193910,56.9,1.1
194010,59.3,3.5
194110,52.4,-3.4
194210,55.5,-0.3
194310,59.2,3.4
194410,61.1,5.3
194510,59.9,4.1
194610,47.4,-8.4
194710,60.1,4.3
194810,58.6,2.8
194910,49.1,-6.7
195010,61.8,6.0
195110,51.4,-4.4
195210,62.1,6.3
195310,60,4.2
195410,55.7,-0.1
195510,59.7,3.9
195610,59.2,3.4
195710,53.6,-2.2
195810,60.4,4.6
195910,52.8,-3.0
196010,56.5,0.7
196110,52.7,-3.1
196210,60.6,4.8
196310,63.9,8.1
196410,60.1,4.3
196510,62.6,6.8
196610,54.5,-1.3
196710,57.6,1.8
196810,57.6,1.8
196910,45,-10.8
197010,50.5,-5.3
197110,51,-4.8
197210,53.7,-2.1
197310,58.4,2.6
197410,59,3.2
197510,56.2,0.4
197610,54.6,-1.2
197710,58.3,2.5
197810,59.6,3.8
197910,58.9,3.1
198010,56.5,0.7
198110,52.3,-3.5
198210,51.7,-4.1
198310,58.1,2.3
198410,50.1,-5.7
198510,54.9,-0.9
198610,54.4,-1.4
198710,59.1,3.3
198810,62.2,6.4
198910,55.4,-0.4
199010,55.6,-0.2
199110,56.4,0.6
199210,59.6,3.8
199310,54.1,-1.7
199410,52.9,-2.9
199510,53,-2.8
199610,55.3,-0.5
199710,56.2,0.4
199810,55,-0.8
199910,60.8,5.0
200010,55.8,0.0
200110,56.6,0.8
200210,49.8,-6.0
200310,62.4,6.6
200410,55.2,-0.6
200510,58.2,2.4
200610,52.7,-3.1
200710,57.2,1.4
200810,56.3,0.5
200910,45.8,-10.0
201010,60.8,5.0
201110,57.3,1.5
201210,54.5,-1.3
201310,50.6,-5.2
201410,61,5.2
201510,61.5,5.7
