Arkansas, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,66.2,0.8
189606,66,0.6
189706,66.4,1.0
189806,68.4,3.0
189906,66.5,1.1
190006,66.8,1.4
190106,66.2,0.8
190206,66,0.6
190306,59.1,-6.3
190406,64.7,-0.7
190506,67.9,2.5
190606,64.7,-0.7
190706,63.8,-1.6
190806,65.9,0.5
190906,66.1,0.7
191006,62.8,-2.6
191106,67.3,1.9
191206,62,-3.4
191306,63.8,-1.6
191406,69.2,3.8
191506,65.1,-0.3
191606,64.1,-1.3
191706,62.7,-2.7
191806,68.1,2.7
191906,66.2,0.8
192006,62.7,-2.7
192106,67.7,2.3
192206,66.5,1.1
192306,66.3,0.9
192406,67.7,2.3
192506,68.9,3.5
192606,63.5,-1.9
192706,65.3,-0.1
192806,64.2,-1.2
192906,64.3,-1.1
193006,62.6,-2.8
193106,65.2,-0.2
193206,67.2,1.8
193306,63.9,-1.5
193406,67.9,2.5
193506,64,-1.4
193606,65,-0.4
193706,66.9,1.5
193806,64.6,-0.8
193906,67.5,2.1
194006,64,-1.4
194106,64.5,-0.9
194206,66.6,1.2
194306,69.2,3.8
194406,67.8,2.4
194506,65.2,-0.2
194606,64.4,-1.0
194706,65.9,0.5
194806,65.6,0.2
194906,67.5,2.1
195006,65.8,0.4
195106,65.9,0.5
195206,69,3.6
195306,70.3,4.9
195406,66.7,1.3
195506,61.1,-4.3
195606,64.9,-0.5
195706,66.7,1.3
195806,65.1,-0.3
195906,64.7,-0.7
196006,64.5,-0.9
196106,62.3,-3.1
196206,64.7,-0.7
196306,65.9,0.5
196406,65.9,0.5
196506,65.2,-0.2
196606,62.1,-3.3
196706,66,0.6
196806,65.8,0.4
196906,64,-1.4
197006,64.7,-0.7
197106,66.8,1.4
197206,63.6,-1.8
197306,65,-0.4
197406,61.2,-4.2
197506,65,-0.4
197606,62.3,-3.1
197706,66.7,1.3
197806,65.2,-0.2
197906,63.9,-1.5
198006,66.9,1.5
198106,67.9,2.5
198206,63.1,-2.3
198306,62.9,-2.5
198406,66,0.6
198506,64.5,-0.9
198606,67.5,2.1
198706,65.6,0.2
198806,62.3,-3.1
198906,64.5,-0.9
199006,66.9,1.5
199106,67.7,2.3
199206,64.1,-1.3
199306,66.5,1.1
199406,68.4,3.0
199506,63.6,-1.8
199606,65.7,0.3
199706,64.1,-1.3
199806,69.2,3.8
199906,66.8,1.4
200006,65.6,0.2
200106,64.7,-0.7
200206,66.1,0.7
200306,63.3,-2.1
200406,66.8,1.4
200506,66,0.6
200606,64.7,-0.7
200706,66.8,1.4
200806,67.5,2.1
200906,67.9,2.5
201006,71.1,5.7
201106,70.2,4.8
201206,65.1,-0.3
201306,66.7,1.3
201406,67.9,2.5
201506,68.5,3.1
