California, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,58,-0.6
189608,58.8,0.2
189708,60,1.4
189808,59.9,1.3
189908,54.3,-4.3
190008,55.5,-3.1
190108,59.7,1.1
190208,57,-1.6
190308,57.3,-1.3
190408,59.8,1.2
190508,57.6,-1.0
190608,58.8,0.2
190708,56.3,-2.3
190808,58.1,-0.5
190908,57.5,-1.1
191008,56.5,-2.1
191108,54.9,-3.7
191208,55.8,-2.8
191308,60.6,2.0
191408,58.2,-0.4
191508,58.4,-0.2
191608,56.8,-1.8
191708,59.1,0.5
191808,57.3,-1.3
191908,58.2,-0.4
192008,59,0.4
192108,57.3,-1.3
192208,57.8,-0.8
192308,57.4,-1.2
192408,56.5,-2.1
192508,56.5,-2.1
192608,57.8,-0.8
192708,56.9,-1.7
192808,57,-1.6
192908,59.9,1.3
193008,58.1,-0.5
193108,60.6,2.0
193208,57.3,-1.3
193308,59.3,0.7
193408,59.9,1.3
193508,59.3,0.7
193608,59.9,1.3
193708,59,0.4
193808,58.3,-0.3
193908,59.8,1.2
194008,58.8,0.2
194108,57.5,-1.1
194208,58.7,0.1
194308,56.3,-2.3
194408,56.2,-2.4
194508,58.1,-0.5
194608,58.8,0.2
194708,56.4,-2.2
194808,56.2,-2.4
194908,56.2,-2.4
195008,58.2,-0.4
195108,57.8,-0.8
195208,58.8,0.2
195308,57.2,-1.4
195408,55.8,-2.8
195508,59,0.4
195608,56,-2.6
195708,56.8,-1.8
195808,62.7,4.1
195908,58.5,-0.1
196008,58,-0.6
196108,61.3,2.7
196208,58.4,-0.2
196308,58.1,-0.5
196408,59.1,0.5
196508,59.9,1.3
196608,60.6,2.0
196708,62.5,3.9
196808,57.5,-1.1
196908,59.9,1.3
197008,59.7,1.1
197108,61.5,2.9
197208,59.3,0.7
197308,58.4,-0.2
197408,58.7,0.1
197508,57.3,-1.3
197608,56.3,-2.3
197708,61,2.4
197808,59.1,0.5
197908,57.8,-0.8
198008,58.2,-0.4
198108,60.1,1.5
198208,59.7,1.1
198308,60.6,2.0
198408,60.8,2.2
198508,57.5,-1.1
198608,61,2.4
198708,59.1,0.5
198808,59.7,1.1
198908,57.5,-1.1
199008,59.8,1.2
199108,59,0.4
199208,61.3,2.7
199308,58.5,-0.1
199408,60.3,1.7
199508,59.8,1.2
199608,61.1,2.5
199708,60.5,1.9
199808,61.7,3.1
199908,58.2,-0.4
200008,60.1,1.5
200108,60.6,2.0
200208,58.8,0.2
200308,60.8,2.2
200408,60,1.4
200508,60.6,2.0
200608,58.5,-0.1
200708,61.1,2.5
200808,61.6,3.0
200908,59.5,0.9
201008,58.2,-0.4
201108,59.8,1.2
201208,62.7,4.1
201308,59.8,1.2
201408,60.8,2.2
201508,62,3.4
