Delaware, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,40.7,-0.3
189604,43.8,2.8
189704,39.4,-1.6
189804,38.7,-2.3
189904,39.6,-1.4
190004,40.9,-0.1
190104,40,-1.0
190204,40.1,-0.9
190304,42.2,1.2
190404,38.1,-2.9
190504,39.9,-1.1
190604,40.6,-0.4
190704,35.9,-5.1
190804,41.5,0.5
190904,41.5,0.5
191004,43.5,2.5
191104,37.4,-3.6
191204,42.3,1.3
191304,43.6,2.6
191404,39.5,-1.5
191504,42.9,1.9
191604,40,-1.0
191704,41.1,0.1
191804,41.3,0.3
191904,40.1,-0.9
192004,40.2,-0.8
192104,45.9,4.9
192204,41.9,0.9
192304,39.5,-1.5
192404,38.2,-2.8
192504,41.6,0.6
192604,37.5,-3.5
192704,37.8,-3.2
192804,37.9,-3.1
192904,43.5,2.5
193004,37.7,-3.3
193104,39.4,-1.6
193204,37.9,-3.1
193304,41.2,0.2
193404,39.3,-1.7
193504,40.1,-0.9
193604,38.7,-2.3
193704,41.3,0.3
193804,42.7,1.7
193904,40.4,-0.6
194004,36.7,-4.3
194104,42.8,1.8
194204,41.6,0.6
194304,36.1,-4.9
194404,39.6,-1.4
194504,44.1,3.1
194604,39.8,-1.2
194704,41.5,0.5
194804,41.3,0.3
194904,40.9,-0.1
195004,37.7,-3.3
195104,40.2,-0.8
195204,44.2,3.2
195304,42.4,1.4
195404,44.2,3.2
195504,44.1,3.1
195604,38.9,-2.1
195704,43.8,2.8
195804,42.9,1.9
195904,43.5,2.5
196004,44.2,3.2
196104,39,-2.0
196204,42.3,1.3
196304,40.9,-0.1
196404,39.7,-1.3
196504,38.8,-2.2
196604,38.2,-2.8
196704,39.9,-1.1
196804,40.6,-0.4
196904,42.8,1.8
197004,40.7,-0.3
197104,37.5,-3.5
197204,38.5,-2.5
197304,43,2.0
197404,43,2.0
197504,37.5,-3.5
197604,42.1,1.1
197704,43,2.0
197804,40.6,-0.4
197904,41.3,0.3
198004,43.8,2.8
198104,44.5,3.5
198204,38.3,-2.7
198304,41,0.0
198404,41,0.0
198504,43.2,2.2
198604,41.4,0.4
198704,41.6,0.6
198804,40.6,-0.4
198904,40.7,-0.3
199004,42.7,1.7
199104,44.2,3.2
199204,40.6,-0.4
199304,41.3,0.3
199404,45.8,4.8
199504,41.1,0.1
199604,42.9,1.9
199704,40.4,-0.6
199804,44.1,3.1
199904,41.4,0.4
200004,42.6,1.6
200104,42.3,1.3
200204,45.8,4.8
200304,41.8,0.8
200404,44.4,3.4
200504,42.6,1.6
200604,44.4,3.4
200704,40.8,-0.2
200804,44.9,3.9
200904,44,3.0
201004,45.2,4.2
201104,46.6,5.6
201204,43.3,2.3
201304,43.5,2.5
201404,41.9,0.9
201504,43.1,2.1
