Georgia, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,44,0.8
189603,41.6,-1.6
189703,49.8,6.6
189803,49.2,6.0
189903,44.8,1.6
190003,42.1,-1.1
190103,41,-2.2
190203,43.1,-0.1
190303,50.7,7.5
190403,44.9,1.7
190503,46.8,3.6
190603,40.5,-2.7
190703,50.8,7.6
190803,49.7,6.5
190903,43.5,0.3
191003,46,2.8
191103,43,-0.2
191203,42.3,-0.9
191303,45,1.8
191403,38.4,-4.8
191503,35,-8.2
191603,39.9,-3.3
191703,44.2,1.0
191803,48.8,5.6
191903,45.5,2.3
192003,40.6,-2.6
192103,50.5,7.3
192203,45.3,2.1
192303,44.4,1.2
192403,39.5,-3.7
192503,43.4,0.2
192603,37.5,-5.7
192703,45.2,2.0
192803,44.4,1.2
192903,47.3,4.1
193003,40.6,-2.6
193103,37.9,-5.3
193203,38.9,-4.3
193303,42.3,-0.9
193403,40.5,-2.7
193503,47.7,4.5
193603,45.1,1.9
193703,40.2,-3.0
193803,48.2,5.0
193903,45.5,2.3
194003,40.5,-2.7
194103,37.1,-6.1
194203,41.9,-1.3
194303,41.6,-1.6
194403,43.8,0.6
194503,50.3,7.1
194603,47.6,4.4
194703,36.4,-6.8
194803,47.4,4.2
194903,41.6,-1.6
195003,40.4,-2.8
195103,44.2,1.0
195203,42.3,-0.9
195303,45.5,2.3
195403,42.5,-0.7
195503,45.1,1.9
195603,41.5,-1.7
195703,42.7,-0.5
195803,41.5,-1.7
195903,40.9,-2.3
196003,33.6,-9.6
196103,45.6,2.4
196203,40.3,-2.9
196303,44.8,1.6
196403,42.3,-0.9
196503,42.1,-1.1
196603,40.2,-3.0
196703,44.7,1.5
196803,38.6,-4.6
196903,36.5,-6.7
197003,43,-0.2
197103,37.9,-5.3
197203,42.7,-0.5
197303,49.5,6.3
197403,46.7,3.5
197503,42,-1.2
197603,46.9,3.7
197703,46.7,3.5
197803,40,-3.2
197903,43.3,0.1
198003,42.2,-1.0
198103,39.1,-4.1
198203,46.7,3.5
198303,42.5,-0.7
198403,41.5,-1.7
198503,45.4,2.2
198603,42.4,-0.8
198703,43.8,0.6
198803,42.2,-1.0
198903,46.8,3.6
199003,46.6,3.4
199103,45.8,2.6
199203,42.3,-0.9
199303,41.3,-1.9
199403,44.3,1.1
199503,47.1,3.9
199603,39.5,-3.7
199703,49.8,6.6
199803,42.4,-0.8
199903,39.6,-3.6
200003,46,2.8
200103,42.7,-0.5
200203,43,-0.2
200303,48.7,5.5
200403,45.4,2.2
200503,42,-1.2
200603,43.1,-0.1
200703,45.9,2.7
200803,41.6,-1.6
200903,44.6,1.4
201003,40.5,-2.7
201103,45.6,2.4
201203,52.8,9.6
201303,38.1,-5.1
201403,40.4,-2.8
201503,47.3,4.1
201603,48.4,5.2
