Georgia, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,66.1,2.7
189609,64.2,0.8
189709,62.7,-0.7
189809,66,2.6
189909,61.1,-2.3
190009,65.8,2.4
190109,62.5,-0.9
190209,62.8,-0.6
190309,61.4,-2.0
190409,63.9,0.5
190509,65.6,2.2
190609,67.8,4.4
190709,65.2,1.8
190809,62,-1.4
190909,63,-0.4
191009,64.3,0.9
191109,68,4.6
191209,67.9,4.5
191309,61.6,-1.8
191409,61.7,-1.7
191509,65.1,1.7
191609,61.1,-2.3
191709,62.1,-1.3
191809,59,-4.4
191909,62,-1.4
192009,65.1,1.7
192109,67.7,4.3
192209,63.6,0.2
192309,64.9,1.5
192409,61.8,-1.6
192509,69.5,6.1
192609,67.6,4.2
192709,63.3,-0.1
192809,62.7,-0.7
192909,64.3,0.9
193009,66.6,3.2
193109,65.3,1.9
193209,63.9,0.5
193309,65.9,2.5
193409,63.4,0.0
193509,63.2,-0.2
193609,65.6,2.2
193709,61.7,-1.7
193809,62.3,-1.1
193909,65.3,1.9
194009,59.5,-3.9
194109,64.9,1.5
194209,62.5,-0.9
194309,60.4,-3.0
194409,65,1.6
194509,66.2,2.8
194609,62.4,-1.0
194709,64.2,0.8
194809,62.2,-1.2
194909,61.8,-1.6
195009,62,-1.4
195109,64.7,1.3
195209,61.8,-1.6
195309,61.8,-1.6
195409,64.2,0.8
195509,65,1.6
195609,59.7,-3.7
195709,65,1.6
195809,63,-0.4
195909,64.2,0.8
196009,64.5,1.1
196109,63.3,-0.1
196209,62.2,-1.2
196309,61.4,-2.0
196409,62.4,-1.0
196509,64.5,1.1
196609,62.1,-1.3
196709,57.1,-6.3
196809,60.9,-2.5
196909,62.1,-1.3
197009,65.6,2.2
197109,65,1.6
197209,63.3,-0.1
197309,66.3,2.9
197409,62.7,-0.7
197509,62.4,-1.0
197609,61.4,-2.0
197709,65.8,2.4
197809,64.7,1.3
197909,65,1.6
198009,66.2,2.8
198109,59.5,-3.9
198209,61.2,-2.2
198309,61,-2.4
198409,59.9,-3.5
198509,61.5,-1.9
198609,65.8,2.4
198709,63.2,-0.2
198809,65,1.6
198909,63.9,0.5
199009,62.7,-0.7
199109,62.6,-0.8
199209,64.4,1.0
199309,63.9,0.5
199409,61.8,-1.6
199509,63,-0.4
199609,62.4,-1.0
199709,63,-0.4
199809,65.9,2.5
199909,60.8,-2.6
200009,63.1,-0.3
200109,61.2,-2.2
200209,67.7,4.3
200309,62.2,-1.2
200409,64.9,1.5
200509,65.6,2.2
200609,62.3,-1.1
200709,64.9,1.5
200809,64.3,0.9
200909,65.5,2.1
201009,63.6,0.2
201109,62.4,-1.0
201209,63,-0.4
201309,64.4,1.0
201409,66.3,2.9
201509,64.5,1.1
