Georgia, Minimum Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189511,42.8,0.9
189611,48.1,6.2
189711,43.6,1.7
189811,41,-0.9
189911,43.8,1.9
190011,43.8,1.9
190111,35.6,-6.3
190211,46.5,4.6
190311,40.9,-1.0
190411,40.1,-1.8
190511,42.5,0.6
190611,41.5,-0.4
190711,41.1,-0.8
190811,43.9,2.0
190911,44.5,2.6
191011,37.9,-4.0
191111,39.7,-2.2
191211,37,-4.9
191311,40.6,-1.3
191411,39.4,-2.5
191511,43.6,1.7
191611,41,-0.9
191711,37,-4.9
191811,41.2,-0.7
191911,46.2,4.3
192011,40,-1.9
192111,46.7,4.8
192211,44.1,2.2
192311,39.2,-2.7
192411,41.5,-0.4
192511,40.5,-1.4
192611,39,-2.9
192711,46.2,4.3
192811,40.4,-1.5
192911,46.3,4.4
193011,42.5,0.6
193111,45.4,3.5
193211,39.5,-2.4
193311,39.3,-2.6
193411,43.1,1.2
193511,44.9,3.0
193611,40.8,-1.1
193711,38.7,-3.2
193811,43.8,1.9
193911,38.2,-3.7
194011,41.9,0.0
194111,41.2,-0.7
194211,42.3,0.4
194311,36.6,-5.3
194411,40.6,-1.3
194511,42.2,0.3
194611,49.2,7.3
194711,42.5,0.6
194811,46.4,4.5
194911,37.8,-4.1
195011,35.6,-6.3
195111,37.8,-4.1
195211,40.4,-1.5
195311,39,-2.9
195411,38.4,-3.5
195511,39.1,-2.8
195611,38.9,-3.0
195711,45.1,3.2
195811,44.4,2.5
195911,40.7,-1.2
196011,41.7,-0.2
196111,45.7,3.8
196211,39.8,-2.1
196311,40.3,-1.6
196411,44.5,2.6
196511,44.2,2.3
196611,41.4,-0.5
196711,38.1,-3.8
196811,39.6,-2.3
196911,37.8,-4.1
197011,37.2,-4.7
197111,40.9,-1.0
197211,43.1,1.2
197311,44.8,2.9
197411,39.9,-2.0
197511,43.1,1.2
197611,35.6,-6.3
197711,46.5,4.6
197811,47.4,5.5
197911,43.5,1.6
198011,40.5,-1.4
198111,41.1,-0.8
198211,45.9,4.0
198311,40.7,-1.2
198411,38.9,-3.0
198511,53.8,11.9
198611,51.9,10.0
198711,43.9,2.0
198811,44.9,3.0
198911,42.9,1.0
199011,42.4,0.5
199111,39.5,-2.4
199211,44.6,2.7
199311,41.8,-0.1
199411,47.6,5.7
199511,38.5,-3.4
199611,41,-0.9
199711,40.4,-1.5
199811,48.1,6.2
199911,44.4,2.5
200011,41.8,-0.1
200111,45.8,3.9
200211,40.8,-1.1
200311,46.5,4.6
200411,47.1,5.2
200511,44,2.1
200611,41.6,-0.3
200711,40,-1.9
200811,38.8,-3.1
200911,44,2.1
201011,41.3,-0.6
201111,43.5,1.6
201211,39.4,-2.5
201311,41.6,-0.3
201411,36.6,-5.3
201511,49.7,7.8
