Iowa, Minimum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,58.1,-4.1
189607,60.2,-2.0
189707,62.9,0.7
189807,59.8,-2.4
189907,60.2,-2.0
190007,61.4,-0.8
190107,67.7,5.5
190207,62,-0.2
190307,61.3,-0.9
190407,59,-3.2
190507,59.5,-2.7
190607,58,-4.2
190707,62.5,0.3
190807,61.3,-0.9
190907,61.5,-0.7
191007,60.6,-1.6
191107,61,-1.2
191207,61.9,-0.3
191307,62.9,0.7
191407,63.5,1.3
191507,59,-3.2
191607,66.3,4.1
191707,61.9,-0.3
191807,60.1,-2.1
191907,64.2,2.0
192007,60,-2.2
192107,65.1,2.9
192207,59.6,-2.6
192307,63.7,1.5
192407,57.2,-5.0
192507,60.6,-1.6
192607,62.4,0.2
192707,58.9,-3.3
192807,61.7,-0.5
192907,62.2,0.0
193007,63.6,1.4
193107,63.3,1.1
193207,62.9,0.7
193307,62.9,0.7
193407,65.5,3.3
193507,67.2,5.0
193607,66.9,4.7
193707,62.3,0.1
193807,63.5,1.3
193907,63.1,0.9
194007,63.1,0.9
194107,62,-0.2
194207,62.1,-0.1
194307,62.9,0.7
194407,59.8,-2.4
194507,59.4,-2.8
194607,61.6,-0.6
194707,59.8,-2.4
194807,62.3,0.1
194907,64.2,2.0
195007,57.3,-4.9
195107,60.6,-1.6
195207,62.1,-0.1
195307,62.1,-0.1
195407,64.4,2.2
195507,67.4,5.2
195607,60,-2.2
195707,65.9,3.7
195807,59.5,-2.7
195907,59.7,-2.5
196007,60,-2.2
196107,60.6,-1.6
196207,60.4,-1.8
196307,62.7,0.5
196407,64.2,2.0
196507,61.5,-0.7
196607,64.6,2.4
196707,58.4,-3.8
196807,61.2,-1.0
196907,64,1.8
197007,61.5,-0.7
197107,58.5,-3.7
197207,61,-1.2
197307,62.9,0.7
197407,64.5,2.3
197507,62.2,0.0
197607,62.3,0.1
197707,64.4,2.2
197807,62.4,0.2
197907,61.4,-0.8
198007,64.6,2.4
198107,63.5,1.3
198207,63.3,1.1
198307,65.6,3.4
198407,60.4,-1.8
198507,60.5,-1.7
198607,65.1,2.9
198707,65.5,3.3
198807,62.7,0.5
198907,63.8,1.6
199007,62.5,0.3
199107,62.4,0.2
199207,59,-3.2
199307,63.5,1.3
199407,59.8,-2.4
199507,62.7,0.5
199607,59.8,-2.4
199707,63,0.8
199807,63.7,1.5
199907,66.3,4.1
200007,62.6,0.4
200107,64.7,2.5
200207,65.6,3.4
200307,62.2,0.0
200407,60.5,-1.7
200507,63.5,1.3
200607,64.6,2.4
200707,62.2,0.0
200807,62.7,0.5
200907,57.7,-4.5
201007,65.1,2.9
201107,68.3,6.1
201207,67.1,4.9
201307,61.2,-1.0
201407,58.5,-3.7
201507,62,-0.2
