Iowa, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,58.6,-1.2
189608,59.2,-0.6
189708,55.8,-4.0
189808,59.3,-0.5
189908,61.5,1.7
190008,65.4,5.6
190108,58.9,-0.9
190208,58.4,-1.4
190308,58.1,-1.7
190408,56.1,-3.7
190508,62.2,2.4
190608,62.3,2.5
190708,59,-0.8
190808,57.6,-2.2
190908,63.3,3.5
191008,59.3,-0.5
191108,58.3,-1.5
191208,58.8,-1.0
191308,62.6,2.8
191408,59.9,0.1
191508,53.8,-6.0
191608,60.7,0.9
191708,55.7,-4.1
191808,62.6,2.8
191908,58.1,-1.7
192008,55.6,-4.2
192108,59.7,-0.1
192208,60.8,1.0
192308,58.1,-1.7
192408,59.7,-0.1
192508,58.9,-0.9
192608,61.1,1.3
192708,54,-5.8
192808,60.2,0.4
192908,58.5,-1.3
193008,60.6,0.8
193108,58.7,-1.1
193208,60.2,0.4
193308,57.3,-2.5
193408,58.7,-1.1
193508,60.7,0.9
193608,63.9,4.1
193708,64.7,4.9
193808,62.7,2.9
193908,57.8,-2.0
194008,59.9,0.1
194108,61.5,1.7
194208,60,0.2
194308,62.3,2.5
194408,60.2,0.4
194508,60.2,0.4
194608,56.8,-3.0
194708,66.5,6.7
194808,61.2,1.4
194908,59.9,0.1
195008,55.5,-4.3
195108,58.8,-1.0
195208,57.9,-1.9
195308,59.3,-0.5
195408,60.5,0.7
195508,62.4,2.6
195608,60.5,0.7
195708,60.6,0.8
195808,60,0.2
195908,65,5.2
196008,61.3,1.5
196108,59.7,-0.1
196208,59,-0.8
196308,59.1,-0.7
196408,56.5,-3.3
196508,58.2,-1.6
196608,56,-3.8
196708,55.2,-4.6
196808,60.4,0.6
196908,60,0.2
197008,60.2,0.4
197108,57,-2.8
197208,60.8,1.0
197308,61.9,2.1
197408,57.2,-2.6
197508,62,2.2
197608,58,-1.8
197708,57.7,-2.1
197808,59.3,-0.5
197908,60.7,0.9
198008,62.4,2.6
198108,59.1,-0.7
198208,59.9,0.1
198308,65.7,5.9
198408,60.8,1.0
198508,56.9,-2.9
198608,56.3,-3.5
198708,59.9,0.1
198808,63.2,3.4
198908,59.9,0.1
199008,61.7,1.9
199108,60.6,0.8
199208,54.8,-5.0
199308,62.2,2.4
199408,57.4,-2.4
199508,66.2,6.4
199608,59.5,-0.3
199708,59.1,-0.7
199808,63.4,3.6
199908,59.3,-0.5
200008,62.5,2.7
200108,61.5,1.7
200208,60.1,0.3
200308,61.9,2.1
200408,55.4,-4.4
200508,60,0.2
200608,62.3,2.5
200708,64.4,4.6
200808,58.4,-1.4
200908,58,-1.8
201008,64,4.2
201108,60.9,1.1
201208,57.6,-2.2
201308,60.4,0.6
201408,62,2.2
201508,58.6,-1.2
