Idaho, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,11.6,-2.2
189601,19.3,5.5
189701,13.6,-0.2
189801,7.1,-6.7
189901,18.6,4.8
190001,19.6,5.8
190101,16.9,3.1
190201,12,-1.8
190301,17.1,3.3
190401,14.2,0.4
190501,17.5,3.7
190601,15.1,1.3
190701,10.9,-2.9
190801,14.9,1.1
190901,17.4,3.6
191001,9.1,-4.7
191101,16.4,2.6
191201,15.4,1.6
191301,10.7,-3.1
191401,19.6,5.8
191501,11,-2.8
191601,6.1,-7.7
191701,6.4,-7.4
191801,19.5,5.7
191901,13.4,-0.4
192001,13.8,0.0
192101,17.5,3.7
192201,4.2,-9.6
192301,18.1,4.3
192401,8.4,-5.4
192501,17,3.2
192601,13.4,-0.4
192701,15.8,2.0
192801,16.3,2.5
192901,3.9,-9.9
193001,.2,-13.6
193101,13.4,-0.4
193201,9,-4.8
193301,13.7,-0.1
193401,23.7,9.9
193501,14.6,0.8
193601,14.2,0.4
193701,-3.4,-17.2
193801,17.4,3.6
193901,17.8,4.0
194001,16.4,2.6
194101,16.3,2.5
194201,8,-5.8
194301,12.6,-1.2
194401,8.4,-5.4
194501,17.4,3.6
194601,13,-0.8
194701,8.4,-5.4
194801,14.2,0.4
194901,-6.5,-20.3
195001,8.7,-5.1
195101,12.7,-1.1
195201,10.8,-3.0
195301,27.4,13.6
195401,19,5.2
195501,10,-3.8
195601,18.1,4.3
195701,4.1,-9.7
195801,14.5,0.7
195901,19,5.2
196001,10.3,-3.5
196101,14.4,0.6
196201,7.3,-6.5
196301,7.5,-6.3
196401,12,-1.8
196501,20.2,6.4
196601,17.4,3.6
196701,22,8.2
196801,12.5,-1.3
196901,16.9,3.1
197001,20.1,6.3
197101,18.4,4.6
197201,13.9,0.1
197301,12.5,-1.3
197401,13.2,-0.6
197501,13.4,-0.4
197601,16.4,2.6
197701,9.8,-4.0
197801,21.4,7.6
197901,1.8,-12.0
198001,13.9,0.1
198101,21.6,7.8
198201,12.7,-1.1
198301,21.3,7.5
198401,12.3,-1.5
198501,8.2,-5.6
198601,17.2,3.4
198701,12.3,-1.5
198801,12.7,-1.1
198901,12.2,-1.6
199001,19.5,5.7
199101,12,-1.8
199201,17.4,3.6
199301,10.5,-3.3
199401,21.2,7.4
199501,19.6,5.8
199601,16.3,2.5
199701,16.4,2.6
199801,20.7,6.9
199901,19.9,6.1
200001,18.4,4.6
200101,14.1,0.3
200201,16.1,2.3
200301,24.2,10.4
200401,15.1,1.3
200501,18.5,4.7
200601,20.7,6.9
200701,10.6,-3.2
200801,11.2,-2.6
200901,16.3,2.5
201001,20.7,6.9
201101,16,2.2
201201,17.7,3.9
201301,11.3,-2.5
201401,18.7,4.9
201501,20.7,6.9
201601,18.4,4.6
