Idaho, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,19.7,-2.7
189603,20.6,-1.8
189703,16.2,-6.2
189803,18,-4.4
189903,21.9,-0.5
190003,25.9,3.5
190103,22.4,0.0
190203,21,-1.4
190303,21.4,-1.0
190403,23.5,1.1
190503,26.8,4.4
190603,18.4,-4.0
190703,27.4,5.0
190803,23.2,0.8
190903,23.9,1.5
191003,28,5.6
191103,22.4,0.0
191203,19.9,-2.5
191303,20.3,-2.1
191403,23.7,1.3
191503,25.4,3.0
191603,25.5,3.1
191703,13,-9.4
191803,24.4,2.0
191903,22.4,0.0
192003,21.9,-0.5
192103,25.7,3.3
192203,16.9,-5.5
192303,18.1,-4.3
192403,20.1,-2.3
192503,24.4,2.0
192603,23.7,1.3
192703,22.5,0.1
192803,24.5,2.1
192903,22.7,0.3
193003,23.3,0.9
193103,22.1,-0.3
193203,21.8,-0.6
193303,20.8,-1.6
193403,28.7,6.3
193503,21,-1.4
193603,20,-2.4
193703,22.2,-0.2
193803,23.7,1.3
193903,22.3,-0.1
194003,25.9,3.5
194103,24.3,1.9
194203,18.3,-4.1
194303,17.3,-5.1
194403,18.1,-4.3
194503,21.7,-0.7
194603,25,2.6
194703,25.2,2.8
194803,19.2,-3.2
194903,23.7,1.3
195003,22.2,-0.2
195103,17.8,-4.6
195203,17.2,-5.2
195303,23.2,0.8
195403,19.6,-2.8
195503,15.5,-6.9
195603,20,-2.4
195703,23.9,1.5
195803,21.1,-1.3
195903,21.8,-0.6
196003,21.4,-1.0
196103,24.4,2.0
196203,19.1,-3.3
196303,22.9,0.5
196403,16.3,-6.1
196503,15.6,-6.8
196603,20.7,-1.7
196703,23.1,0.7
196803,25.3,2.9
196903,16.6,-5.8
197003,21.9,-0.5
197103,19.9,-2.5
197203,26.1,3.7
197303,22.8,0.4
197403,24.3,1.9
197503,21.7,-0.7
197603,16.8,-5.6
197703,20.7,-1.7
197803,26.4,4.0
197903,22.6,0.2
198003,23.4,1.0
198103,25.2,2.8
198203,24.8,2.4
198303,27.7,5.3
198403,24,1.6
198503,16.6,-5.8
198603,28.9,6.5
198703,25.5,3.1
198803,23.1,0.7
198903,25.4,3.0
199003,24.5,2.1
199103,23.3,0.9
199203,28.6,6.2
199303,25.8,3.4
199403,24.5,2.1
199503,24.2,1.8
199603,24.2,1.8
199703,23.7,1.3
199803,24,1.6
199903,22.5,0.1
200003,23.3,0.9
200103,25.8,3.4
200203,20,-2.4
200303,26.7,4.3
200403,27.2,4.8
200503,25,2.6
200603,22.6,0.2
200703,27.2,4.8
200803,19.9,-2.5
200903,21.3,-1.1
201003,24.1,1.7
201103,24.6,2.2
201203,26.3,3.9
201303,23.8,1.4
201403,25.7,3.3
201503,28.2,5.8
