Illinois, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,61,1.0
189606,59.9,-0.1
189706,59.3,-0.7
189806,61.9,1.9
189906,61.2,1.2
190006,59.1,-0.9
190106,61.4,1.4
190206,58,-2.0
190306,54.2,-5.8
190406,57.6,-2.4
190506,59.7,-0.3
190606,58.3,-1.7
190706,56.7,-3.3
190806,58.6,-1.4
190906,60.4,0.4
191006,56.4,-3.6
191106,62.4,2.4
191206,55.9,-4.1
191306,59.9,-0.1
191406,62.6,2.6
191506,56.6,-3.4
191606,55.6,-4.4
191706,56.9,-3.1
191806,59.4,-0.6
191906,63.4,3.4
192006,59.2,-0.8
192106,64.3,4.3
192206,60.6,0.6
192306,61.5,1.5
192406,58.7,-1.3
192506,62.1,2.1
192606,55.2,-4.8
192706,56.6,-3.4
192806,55.8,-4.2
192906,57,-3.0
193006,58.5,-1.5
193106,62.6,2.6
193206,61.4,1.4
193306,63.5,3.5
193406,64.4,4.4
193506,57.3,-2.7
193606,57.3,-2.7
193706,60,0.0
193806,59,-1.0
193906,62.3,2.3
194006,60.7,0.7
194106,61.2,1.2
194206,61.4,1.4
194306,64.2,4.2
194406,63.5,3.5
194506,57.6,-2.4
194606,59.9,-0.1
194706,58.9,-1.1
194806,59.1,-0.9
194906,63.1,3.1
195006,59.3,-0.7
195106,58.7,-1.3
195206,65,5.0
195306,64,4.0
195406,63.6,3.6
195506,56.8,-3.2
195606,61.2,1.2
195706,61.4,1.4
195806,56.4,-3.6
195906,60.9,0.9
196006,59,-1.0
196106,57.6,-2.4
196206,60.1,0.1
196306,59.9,-0.1
196406,61.3,1.3
196506,59.6,-0.4
196606,58.6,-1.4
196706,61.3,1.3
196806,61.2,1.2
196906,57.5,-2.5
197006,60,0.0
197106,63.8,3.8
197206,56.2,-3.8
197306,61.7,1.7
197406,57,-3.0
197506,61.8,1.8
197606,59.2,-0.8
197706,59.2,-0.8
197806,60.3,0.3
197906,60,0.0
198006,58.6,-1.4
198106,62.6,2.6
198206,55.9,-4.1
198306,60.6,0.6
198406,63.5,3.5
198506,58.3,-1.7
198606,61.7,1.7
198706,62.8,2.8
198806,59,-1.0
198906,59.5,-0.5
199006,61.3,1.3
199106,63.9,3.9
199206,56.8,-3.2
199306,60.1,0.1
199406,62.3,2.3
199506,61.2,1.2
199606,61.4,1.4
199706,60.6,0.6
199806,62,2.0
199906,62.1,2.1
200006,60.1,0.1
200106,59.3,-0.7
200206,63.1,3.1
200306,56.8,-3.2
200406,59.5,-0.5
200506,63.4,3.4
200606,60.2,0.2
200706,61.5,1.5
200806,62.6,2.6
200906,62.3,2.3
201006,64.9,4.9
201106,62.8,2.8
201206,59.8,-0.2
201306,61.4,1.4
201406,63.2,3.2
201506,62.4,2.4
