Maryland, Minimum Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189511,34.7,-0.3
189611,38.7,3.7
189711,35.3,0.3
189811,33.3,-1.7
189911,33.7,-1.3
190011,38.5,3.5
190111,29.8,-5.2
190211,39.8,4.8
190311,29.3,-5.7
190411,31.4,-3.6
190511,31.5,-3.5
190611,34.6,-0.4
190711,34.1,-0.9
190811,32.6,-2.4
190911,37.4,2.4
191011,31.5,-3.5
191111,32.2,-2.8
191211,34.7,-0.3
191311,35.6,0.6
191411,32,-3.0
191511,33.3,-1.7
191611,33.6,-1.4
191711,29.6,-5.4
191811,34,-1.0
191911,35.1,0.1
192011,35.3,0.3
192111,37.2,2.2
192211,35.5,0.5
192311,34.2,-0.8
192411,34,-1.0
192511,32.8,-2.2
192611,32.1,-2.9
192711,38.9,3.9
192811,36.9,1.9
192911,37.3,2.3
193011,34.5,-0.5
193111,40.3,5.3
193211,32.4,-2.6
193311,32.2,-2.8
193411,36.7,1.7
193511,39.7,4.7
193611,32.6,-2.4
193711,33.4,-1.6
193811,34.8,-0.2
193911,32.3,-2.7
194011,35.9,0.9
194111,34.3,-0.7
194211,35.7,0.7
194311,32.3,-2.7
194411,35.1,0.1
194511,36.6,1.6
194611,38,3.0
194711,33.9,-1.1
194811,39.5,4.5
194911,34.3,-0.7
195011,33.8,-1.2
195111,30.7,-4.3
195211,36,1.0
195311,33.2,-1.8
195411,33.1,-1.9
195511,31.7,-3.3
195611,35,0.0
195711,36.8,1.8
195811,36.4,1.4
195911,33.8,-1.2
196011,34.7,-0.3
196111,38.4,3.4
196211,32.8,-2.2
196311,38,3.0
196411,35.5,0.5
196511,35.1,0.1
196611,35,0.0
196711,31.2,-3.8
196811,37.9,2.9
196911,34.1,-0.9
197011,37.5,2.5
197111,35.1,0.1
197211,34.1,-0.9
197311,36.8,1.8
197411,35.3,0.3
197511,39,4.0
197611,28.9,-6.1
197711,39.8,4.8
197811,37.4,2.4
197911,39.3,4.3
198011,33.1,-1.9
198111,35.4,0.4
198211,37.9,2.9
198311,36.3,1.3
198411,32.9,-2.1
198511,43.6,8.6
198611,34.9,-0.1
198711,36.7,1.7
198811,35.8,0.8
198911,34.8,-0.2
199011,36.7,1.7
199111,35.6,0.6
199211,37.8,2.8
199311,35.1,0.1
199411,39.3,4.3
199511,31.8,-3.2
199611,31.6,-3.4
199711,35.3,0.3
199811,35.3,0.3
199911,40.2,5.2
200011,33.3,-1.7
200111,38.5,3.5
200211,35.9,0.9
200311,40.4,5.4
200411,38.8,3.8
200511,37.2,2.2
200611,40,5.0
200711,36.1,1.1
200811,35.9,0.9
200911,41,6.0
201011,35.9,0.9
201111,38.8,3.8
201211,33.4,-1.6
201311,33.5,-1.5
201411,33.2,-1.8
201511,40.2,5.2
