Maine, Minimum Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189510,28.2,-6.1
189610,32.9,-1.4
189710,31.5,-2.8
189810,34.3,0.0
189910,35,0.7
190010,38,3.7
190110,33.3,-1.0
190210,33.4,-0.9
190310,34,-0.3
190410,32.7,-1.6
190510,30.7,-3.6
190610,33.3,-1.0
190710,30,-4.3
190810,34.2,-0.1
190910,36.5,2.2
191010,34.5,0.2
191110,32.1,-2.2
191210,35.3,1.0
191310,42.2,7.9
191410,34.9,0.6
191510,35.6,1.3
191610,33,-1.3
191710,33.6,-0.7
191810,34.5,0.2
191910,32.7,-1.6
192010,38.4,4.1
192110,34.3,0.0
192210,34,-0.3
192310,34.2,-0.1
192410,33.7,-0.6
192510,28.6,-5.7
192610,33.4,-0.9
192710,37.5,3.2
192810,33.5,-0.8
192910,33.6,-0.7
193010,34.7,0.4
193110,36.3,2.0
193210,37.4,3.1
193310,33.9,-0.4
193410,31.8,-2.5
193510,32.4,-1.9
193610,32.5,-1.8
193710,34.1,-0.2
193810,35.3,1.0
193910,33.8,-0.5
194010,30.1,-4.2
194110,33.1,-1.2
194210,34.3,0.0
194310,36,1.7
194410,33.7,-0.6
194510,32.4,-1.9
194610,34.3,0.0
194710,37,2.7
194810,32.2,-2.1
194910,35.3,1.0
195010,34.8,0.5
195110,34.7,0.4
195210,32,-2.3
195310,34.1,-0.2
195410,38.1,3.8
195510,34.6,0.3
195610,32.9,-1.4
195710,35.6,1.3
195810,32.6,-1.7
195910,35.4,1.1
196010,32.4,-1.9
196110,37.7,3.4
196210,35,0.7
196310,36.1,1.8
196410,33.2,-1.1
196510,33.5,-0.8
196610,33.8,-0.5
196710,37,2.7
196810,38.3,4.0
196910,33.9,-0.4
197010,37.6,3.3
197110,38.1,3.8
197210,31.2,-3.1
197310,35.1,0.8
197410,29.7,-4.6
197510,35,0.7
197610,32.5,-1.8
197710,35.4,1.1
197810,33.3,-1.0
197910,36.8,2.5
198010,33.3,-1.0
198110,32.9,-1.4
198210,33.6,-0.7
198310,34.1,-0.2
198410,34.4,0.1
198510,35.1,0.8
198610,33.4,-0.9
198710,33.8,-0.5
198810,33.5,-0.8
198910,34.5,0.2
199010,38.3,4.0
199110,37,2.7
199210,33,-1.3
199310,31,-3.3
199410,35.1,0.8
199510,38.7,4.4
199610,33.9,-0.4
199710,33.6,-0.7
199810,37.1,2.8
199910,32.3,-2.0
200010,34.4,0.1
200110,36,1.7
200210,32.5,-1.8
200310,35.4,1.1
200410,35.3,1.0
200510,39.7,5.4
200610,35.9,1.6
200710,39.9,5.6
200810,34.7,0.4
200910,33.7,-0.6
201010,36.5,2.2
201110,39.7,5.4
201210,39.3,5.0
201310,37,2.7
201410,40.1,5.8
201510,33,-1.3
