Maine, Minimum Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189511,23.3,-1.2
189611,23.2,-1.3
189711,22.3,-2.2
189811,25.1,0.6
189911,22.2,-2.3
190011,24.3,-0.2
190111,18.2,-6.3
190211,25,0.5
190311,20.5,-4.0
190411,18.1,-6.4
190511,21.5,-3.0
190611,24.9,0.4
190711,22.8,-1.7
190811,23.1,-1.4
190911,26.3,1.8
191011,26,1.5
191111,21.6,-2.9
191211,25.1,0.6
191311,26,1.5
191411,19.4,-5.1
191511,25.7,1.2
191611,20.3,-4.2
191711,19.1,-5.4
191811,25.6,1.1
191911,24,-0.5
192011,20.3,-4.2
192111,20.6,-3.9
192211,24.2,-0.3
192311,24.9,0.4
192411,23.9,-0.6
192511,22.1,-2.4
192611,23.3,-1.2
192711,26.7,2.2
192811,21.9,-2.6
192911,22.9,-1.6
193011,25,0.5
193111,28.7,4.2
193211,20.4,-4.1
193311,14.8,-9.7
193411,26.9,2.4
193511,26.4,1.9
193611,18.1,-6.4
193711,25.3,0.8
193811,23.8,-0.7
193911,20.2,-4.3
194011,24.6,0.1
194111,24.3,-0.2
194211,22.9,-1.6
194311,23.8,-0.7
194411,26.9,2.4
194511,24.2,-0.3
194611,25.4,0.9
194711,22.9,-1.6
194811,30.6,6.1
194911,21.3,-3.2
195011,29,4.5
195111,21.4,-3.1
195211,25.3,0.8
195311,29.1,4.6
195411,26.6,2.1
195511,25.7,1.2
195611,23.6,-0.9
195711,29.3,4.8
195811,24.5,0.0
195911,24.9,0.4
196011,27.8,3.3
196111,28.7,4.2
196211,22.7,-1.8
196311,29.8,5.3
196411,22.6,-1.9
196511,21.7,-2.8
196611,29.2,4.7
196711,23.5,-1.0
196811,22.8,-1.7
196911,29,4.5
197011,26.9,2.4
197111,21.9,-2.6
197211,23.4,-1.1
197311,25,0.5
197411,24.9,0.4
197511,27.8,3.3
197611,22.8,-1.7
197711,27.6,3.1
197811,20.6,-3.9
197911,29.9,5.4
198011,23.7,-0.8
198111,26.7,2.2
198211,27.9,3.4
198311,27.7,3.2
198411,25.6,1.1
198511,24.8,0.3
198611,20.7,-3.8
198711,22.8,-1.7
198811,28.1,3.6
198911,22.3,-2.2
199011,27.4,2.9
199111,27.9,3.4
199211,23.6,-0.9
199311,23.8,-0.7
199411,27,2.5
199511,23.2,-1.3
199611,23,-1.5
199711,23.9,-0.6
199811,27.5,3.0
199911,29.2,4.7
200011,29.7,5.2
200111,29.9,5.4
200211,23.6,-0.9
200311,27.1,2.6
200411,25.2,0.7
200511,27.3,2.8
200611,31.8,7.3
200711,24.2,-0.3
200811,27.9,3.4
200911,29.7,5.2
201011,26.7,2.2
201111,29,4.5
201211,24.5,0.0
201311,24,-0.5
201411,24.2,-0.3
201511,28.6,4.1
