Minnesota, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,10.6,-4.5
189603,6.4,-8.7
189703,7.2,-7.9
189803,15.9,0.8
189903,-.9,-16.0
190003,10.1,-5.0
190103,14.5,-0.6
190203,20.4,5.3
190303,17.7,2.6
190403,12.1,-3.0
190503,20.7,5.6
190603,8.2,-6.9
190703,14.2,-0.9
190803,12.9,-2.2
190903,14.6,-0.5
191003,26.3,11.2
191103,18,2.9
191203,6,-9.1
191303,6.6,-8.5
191403,14.3,-0.8
191503,14.3,-0.8
191603,9.4,-5.7
191703,12.7,-2.4
191803,21.4,6.3
191903,13.6,-1.5
192003,14.4,-0.7
192103,15.6,0.5
192203,17.3,2.2
192303,3.7,-11.4
192403,15.9,0.8
192503,17,1.9
192603,10.7,-4.4
192703,20.6,5.5
192803,14.2,-0.9
192903,19,3.9
193003,14.8,-0.3
193103,16.9,1.8
193203,7.1,-8.0
193303,15.1,0.0
193403,10.7,-4.4
193503,17.7,2.6
193603,15.6,0.5
193703,10.4,-4.7
193803,21.4,6.3
193903,10.9,-4.2
194003,10.5,-4.6
194103,13.7,-1.4
194203,22.2,7.1
194303,6.2,-8.9
194403,11.5,-3.6
194503,22.7,7.6
194603,25,9.9
194703,13.4,-1.7
194803,10.4,-4.7
194903,13,-2.1
195003,8.9,-6.2
195103,7.2,-7.9
195203,11.9,-3.2
195303,17.5,2.4
195403,13,-2.1
195503,5.9,-9.2
195603,9.7,-5.4
195703,13.4,-1.7
195803,18.6,3.5
195903,16.8,1.7
196003,4.5,-10.6
196103,22.2,7.1
196203,15.2,0.1
196303,18.8,3.7
196403,8.6,-6.5
196503,3.7,-11.4
196603,20.6,5.5
196703,15.4,0.3
196803,20.9,5.8
196903,7.7,-7.4
197003,8.4,-6.7
197103,14.4,-0.7
197203,12.7,-2.4
197303,27.4,12.3
197403,13.9,-1.2
197503,8.4,-6.7
197603,14.5,-0.6
197703,23.4,8.3
197803,13.5,-1.6
197903,14.1,-1.0
198003,10.2,-4.9
198103,21.5,6.4
198203,14.9,-0.2
198303,22.4,7.3
198403,11.6,-3.5
198503,22.7,7.6
198603,19.9,4.8
198703,23.1,8.0
198803,18.7,3.6
198903,11.7,-3.4
199003,20.4,5.3
199103,18.8,3.7
199203,20.3,5.2
199303,15.1,0.0
199403,20.8,5.7
199503,19.8,4.7
199603,8.7,-6.4
199703,14,-1.1
199803,19.4,4.3
199903,20.3,5.2
200003,25.4,10.3
200103,14.4,-0.7
200203,9.7,-5.4
200303,14.7,-0.4
200403,21.3,6.2
200503,14.9,-0.2
200603,20.9,5.8
200703,22,6.9
200803,13.4,-1.7
200903,16.1,1.0
201003,25.9,10.8
201103,13.7,-1.4
201203,30.9,15.8
201303,10.1,-5.0
201403,8.7,-6.4
201503,19.4,4.3
