Minnesota, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,42.1,0.3
189605,47.7,5.9
189705,39.4,-2.4
189805,41.1,-0.7
189905,41.3,-0.5
190005,42.4,0.6
190105,43.2,1.4
190205,45.1,3.3
190305,43.3,1.5
190405,40.9,-0.9
190505,38.8,-3.0
190605,40.6,-1.2
190705,32.1,-9.7
190805,40.8,-1.0
190905,39.1,-2.7
191005,36.9,-4.9
191105,43.8,2.0
191205,42.4,0.6
191305,39.2,-2.6
191405,43.7,1.9
191505,39,-2.8
191605,40.4,-1.4
191705,36.2,-5.6
191805,41.7,-0.1
191905,42,0.2
192005,41,-0.8
192105,43.1,1.3
192205,47.2,5.4
192305,41,-0.8
192405,34.3,-7.5
192505,37.1,-4.7
192605,43.2,1.4
192705,39.9,-1.9
192805,42.6,0.8
192905,37.2,-4.6
193005,42,0.2
193105,39.5,-2.3
193205,42.8,1.0
193305,42.9,1.1
193405,46.8,5.0
193505,38.8,-3.0
193605,45.8,4.0
193705,43.7,1.9
193805,41.7,-0.1
193905,44.9,3.1
194005,39.6,-2.2
194105,47.1,5.3
194205,40.1,-1.7
194305,39.4,-2.4
194405,45.6,3.8
194505,36.1,-5.7
194605,39,-2.8
194705,37.3,-4.5
194805,41,-0.8
194905,43.6,1.8
195005,39.7,-2.1
195105,44.9,3.1
195205,41.4,-0.4
195305,41.4,-0.4
195405,37.7,-4.1
195505,45.4,3.6
195605,40.8,-1.0
195705,40.9,-0.9
195805,41,-0.8
195905,43.9,2.1
196005,41.6,-0.2
196105,38.7,-3.1
196205,45.8,4.0
196305,40.9,-0.9
196405,45.3,3.5
196505,43.9,2.1
196605,37.5,-4.3
196705,36.3,-5.5
196805,39.6,-2.2
196905,43.1,1.3
197005,41.5,-0.3
197105,38.6,-3.2
197205,46.3,4.5
197305,40.7,-1.1
197405,40.1,-1.7
197505,44.6,2.8
197605,39.9,-1.9
197705,50.9,9.1
197805,44.9,3.1
197905,38.5,-3.3
198005,44.2,2.4
198105,41.3,-0.5
198205,46.5,4.7
198305,38.4,-3.4
198405,40.4,-1.4
198505,46.1,4.3
198605,44.2,2.4
198705,46.5,4.7
198805,47.1,5.3
198905,42.1,0.3
199005,40,-1.8
199105,48.3,6.5
199205,44,2.2
199305,42.4,0.6
199405,43.8,2.0
199505,41.5,-0.3
199605,40.5,-1.3
199705,37.8,-4.0
199805,47,5.2
199905,45.9,4.1
200005,44.5,2.7
200105,45.3,3.5
200205,37.3,-4.5
200305,41.9,0.1
200405,39.9,-1.9
200505,42.4,0.6
200605,45.8,4.0
200705,46.3,4.5
200805,39,-2.8
200905,40.2,-1.6
201005,44.2,2.4
201105,42.8,1.0
201205,46.4,4.6
201305,42,0.2
201405,43.3,1.5
201505,42.6,0.8
