New Mexico, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,51.7,-1.2
189606,56,3.1
189706,53.6,0.7
189806,54.5,1.6
189906,53.1,0.2
190006,54.2,1.3
190106,52.5,-0.4
190206,54.8,1.9
190306,51.7,-1.2
190406,52.7,-0.2
190506,54.5,1.6
190606,52,-0.9
190706,49.1,-3.8
190806,50.7,-2.2
190906,53.3,0.4
191006,54.4,1.5
191106,54.1,1.2
191206,51.6,-1.3
191306,52,-0.9
191406,55.1,2.2
191506,51.4,-1.5
191606,52.3,-0.6
191706,51.1,-1.8
191806,56.4,3.5
191906,51.1,-1.8
192006,52.2,-0.7
192106,52.4,-0.5
192206,54.3,1.4
192306,53,0.1
192406,54.1,1.2
192506,55,2.1
192606,53,0.1
192706,52.4,-0.5
192806,52.2,-0.7
192906,52.5,-0.4
193006,53.9,1.0
193106,54,1.1
193206,51.2,-1.7
193306,54,1.1
193406,53,0.1
193506,53.1,0.2
193606,54.6,1.7
193706,52.9,0.0
193806,54.2,1.3
193906,53.2,0.3
194006,53,0.1
194106,50.7,-2.2
194206,51.7,-1.2
194306,53.5,0.6
194406,51.6,-1.3
194506,48.8,-4.1
194606,53.6,0.7
194706,51.5,-1.4
194806,53.6,0.7
194906,52.5,-0.4
195006,52.8,-0.1
195106,50.3,-2.6
195206,55.5,2.6
195306,55.1,2.2
195406,53.2,0.3
195506,50.8,-2.1
195606,56.3,3.4
195706,53.3,0.4
195806,55.7,2.8
195906,55.2,2.3
196006,54.3,1.4
196106,53.3,0.4
196206,50.6,-2.3
196306,51.6,-1.3
196406,51.6,-1.3
196506,50.7,-2.2
196606,53.1,0.2
196706,53,0.1
196806,52.3,-0.6
196906,51.4,-1.5
197006,51.4,-1.5
197106,52.1,-0.8
197206,53,0.1
197306,50.2,-2.7
197406,53.8,0.9
197506,50.1,-2.8
197606,51.5,-1.4
197706,54.3,1.4
197806,54.3,1.4
197906,51,-1.9
198006,54,1.1
198106,55.1,2.2
198206,51,-1.9
198306,49.7,-3.2
198406,53.8,0.9
198506,52.9,0.0
198606,54.2,1.3
198706,52.1,-0.8
198806,53.9,1.0
198906,52.7,-0.2
199006,57,4.1
199106,51.8,-1.1
199206,50.9,-2.0
199306,52.3,-0.6
199406,56.5,3.6
199506,51.1,-1.8
199606,56.1,3.2
199706,52.6,-0.3
199806,51.8,-1.1
199906,52.3,-0.6
200006,55.6,2.7
200106,54.6,1.7
200206,56.4,3.5
200306,52.9,0.0
200406,52.9,0.0
200506,52.6,-0.3
200606,56.4,3.5
200706,53.2,0.3
200806,54.4,1.5
200906,53.9,1.0
201006,55.7,2.8
201106,54.8,1.9
201206,56.5,3.6
201306,56.8,3.9
201406,55.6,2.7
201506,56.4,3.5
