New Mexico, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,55.6,-1.3
189608,57.3,0.4
189708,57,0.1
189808,57.7,0.8
189908,57.1,0.2
190008,56,-0.9
190108,59.2,2.3
190208,57.2,0.3
190308,57.8,0.9
190408,57.1,0.2
190508,56.4,-0.5
190608,55.8,-1.1
190708,58.1,1.2
190808,56.9,0.0
190908,58.6,1.7
191008,58.5,1.6
191108,56.8,-0.1
191208,56.7,-0.2
191308,57,0.1
191408,56.3,-0.6
191508,54.7,-2.2
191608,57.1,0.2
191708,56.4,-0.5
191808,57,0.1
191908,57.4,0.5
192008,55,-1.9
192108,57.5,0.6
192208,58.5,1.6
192308,57.2,0.3
192408,56.6,-0.3
192508,56.1,-0.8
192608,55.3,-1.6
192708,56.4,-0.5
192808,55.7,-1.2
192908,57.2,0.3
193008,56.6,-0.3
193108,55.8,-1.1
193208,57.5,0.6
193308,57,0.1
193408,59.1,2.2
193508,58.2,1.3
193608,57.5,0.6
193708,58.3,1.4
193808,56.5,-0.4
193908,55.6,-1.3
194008,55.9,-1.0
194108,55.8,-1.1
194208,56.2,-0.7
194308,59,2.1
194408,56.9,0.0
194508,58.2,1.3
194608,58.1,1.2
194708,57.7,0.8
194808,56.7,-0.2
194908,54.9,-2.0
195008,53.5,-3.4
195108,57.9,1.0
195208,58.4,1.5
195308,55.8,-1.1
195408,56.9,0.0
195508,57.8,0.9
195608,54.7,-2.2
195708,57.7,0.8
195808,57.8,0.9
195908,57.9,1.0
196008,56.3,-0.6
196108,56.8,-0.1
196208,55.5,-1.4
196308,57.7,0.8
196408,56.9,0.0
196508,55.5,-1.4
196608,56.4,-0.5
196708,55.4,-1.5
196808,55.2,-1.7
196908,59.4,2.5
197008,57.5,0.6
197108,55.6,-1.3
197208,55.9,-1.0
197308,54.7,-2.2
197408,54.5,-2.4
197508,55,-1.9
197608,55.1,-1.8
197708,58.9,2.0
197808,55.2,-1.7
197908,54.3,-2.6
198008,57.3,0.4
198108,56.3,-0.6
198208,58.8,1.9
198308,58.3,1.4
198408,57.3,0.4
198508,56.5,-0.4
198608,57.7,0.8
198708,56,-0.9
198808,58.1,1.2
198908,56.6,-0.3
199008,54.9,-2.0
199108,57.1,0.2
199208,55.6,-1.3
199308,57.4,0.5
199408,59,2.1
199508,59.4,2.5
199608,57.5,0.6
199708,57.8,0.9
199808,57.4,0.5
199908,57.7,0.8
200008,58.2,1.3
200108,57.3,0.4
200208,57.8,0.9
200308,59.1,2.2
200408,55.1,-1.8
200508,57.3,0.4
200608,58.7,1.8
200708,59.5,2.6
200808,57.5,0.6
200908,56.6,-0.3
201008,58,1.1
201108,61.4,4.5
201208,59.1,2.2
201308,58.5,1.6
201408,57.3,0.4
201508,58.8,1.9
