Nevada, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,45,-0.8
189609,47.1,1.3
189709,47.2,1.4
189809,46.1,0.3
189909,47.1,1.3
190009,42.6,-3.2
190109,43.5,-2.3
190209,46,0.2
190309,44.6,-1.2
190409,48.3,2.5
190509,45.8,0.0
190609,44.7,-1.1
190709,43.5,-2.3
190809,44.6,-1.2
190909,45.5,-0.3
191009,46.5,0.7
191109,43,-2.8
191209,40.1,-5.7
191309,46.7,0.9
191409,45.5,-0.3
191509,44.5,-1.3
191609,44.2,-1.6
191709,45.7,-0.1
191809,47.6,1.8
191909,46.5,0.7
192009,46.1,0.3
192109,43.8,-2.0
192209,47.7,1.9
192309,46.7,0.9
192409,44.3,-1.5
192509,43.5,-2.3
192609,42.2,-3.6
192709,44.3,-1.5
192809,45.2,-0.6
192909,43.7,-2.1
193009,45.5,-0.3
193109,45.2,-0.6
193209,46.6,0.8
193309,45.2,-0.6
193409,45.3,-0.5
193509,48.2,2.4
193609,43.6,-2.2
193709,47.3,1.5
193809,48.7,2.9
193909,47.4,1.6
194009,46.9,1.1
194109,40.8,-5.0
194209,43.7,-2.1
194309,47.7,1.9
194409,45.3,-0.5
194509,44,-1.8
194609,43.9,-1.9
194709,46,0.2
194809,45.2,-0.6
194909,46.5,0.7
195009,46.9,1.1
195109,45.9,0.1
195209,47.3,1.5
195309,47.1,1.3
195409,43.6,-2.2
195509,45.7,-0.1
195609,46.2,0.4
195709,45,-0.8
195809,46.1,0.3
195909,45.4,-0.4
196009,48.4,2.6
196109,43.2,-2.6
196209,46.6,0.8
196309,50.3,4.5
196409,42.4,-3.4
196509,41.1,-4.7
196609,47.7,1.9
196709,49.6,3.8
196809,44.9,-0.9
196909,48.6,2.8
197009,41.2,-4.6
197109,42.7,-3.1
197209,44.9,-0.9
197309,43.8,-2.0
197409,46.2,0.4
197509,47.3,1.5
197609,48.7,2.9
197709,46.6,0.8
197809,44.6,-1.2
197909,48.2,2.4
198009,46.8,1.0
198109,49.2,3.4
198209,47.4,1.6
198309,49,3.2
198409,47.8,2.0
198509,42.9,-2.9
198609,42.6,-3.2
198709,47.5,1.7
198809,45.4,-0.4
198909,46.3,0.5
199009,50.4,4.6
199109,48.7,2.9
199209,47.8,2.0
199309,45.4,-0.4
199409,47.6,1.8
199509,47.9,2.1
199609,45.1,-0.7
199709,48.9,3.1
199809,49.7,3.9
199909,46.6,0.8
200009,46.1,0.3
200109,48.8,3.0
200209,47.4,1.6
200309,48.5,2.7
200409,45.5,-0.3
200509,43.7,-2.1
200609,45.1,-0.7
200709,45.8,0.0
200809,47.1,1.3
200909,50.1,4.3
201009,45.9,0.1
201109,49.3,3.5
201209,50,4.2
201309,48.9,3.1
201409,50.6,4.8
201509,50,4.2
