New York, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,44.8,2.0
189605,48.1,5.3
189705,43.3,0.5
189805,45.3,2.5
189905,44.3,1.5
190005,41.6,-1.2
190105,44.7,1.9
190205,42,-0.8
190305,43.1,0.3
190405,46,3.2
190505,43.2,0.4
190605,43.1,0.3
190705,37.7,-5.1
190805,46.7,3.9
190905,43.3,0.5
191005,41.9,-0.9
191105,48,5.2
191205,44.4,1.6
191305,41.8,-1.0
191405,44.1,1.3
191505,39.3,-3.5
191605,43.6,0.8
191705,37.4,-5.4
191805,47.2,4.4
191905,43.6,0.8
192005,40.4,-2.4
192105,43.9,1.1
192205,44.6,1.8
192305,38,-4.8
192405,39.2,-3.6
192505,37.7,-5.1
192605,38.3,-4.5
192705,41.5,-1.3
192805,40.7,-2.1
192905,40.7,-2.1
193005,44.3,1.5
193105,43.4,0.6
193205,42.7,-0.1
193305,45.5,2.7
193405,42.2,-0.6
193505,38,-4.8
193605,44.2,1.4
193705,43.6,0.8
193805,42.1,-0.7
193905,43.7,0.9
194005,44.2,1.4
194105,42.4,-0.4
194205,47.1,4.3
194305,44,1.2
194405,47.6,4.8
194505,40.8,-2.0
194605,42,-0.8
194705,42.3,-0.5
194805,42,-0.8
194905,42.6,-0.2
195005,42.9,0.1
195105,42.8,0.0
195205,40.1,-2.7
195305,45.7,2.9
195405,41,-1.8
195505,45,2.2
195605,38.4,-4.4
195705,42.1,-0.7
195805,39.6,-3.2
195905,44.9,2.1
196005,46.2,3.4
196105,40.9,-1.9
196205,45.1,2.3
196305,40.2,-2.6
196405,44.7,1.9
196505,43.7,0.9
196605,38.6,-4.2
196705,36.5,-6.3
196805,40.8,-2.0
196905,41.5,-1.3
197005,44.6,1.8
197105,41,-1.8
197205,44.2,1.4
197305,42.5,-0.3
197405,40.8,-2.0
197505,47,4.2
197605,41,-1.8
197705,43.6,0.8
197805,44.4,1.6
197905,44.9,2.1
198005,43.5,0.7
198105,42.5,-0.3
198205,45.1,2.3
198305,41.2,-1.6
198405,41.2,-1.6
198505,44.1,1.3
198605,46.3,3.5
198705,44.2,1.4
198805,44.9,2.1
198905,44.4,1.6
199005,41.5,-1.3
199105,47.8,5.0
199205,42,-0.8
199305,43,0.2
199405,40.6,-2.2
199505,42.7,-0.1
199605,41.7,-1.1
199705,39.2,-3.6
199805,48.8,6.0
199905,44.7,1.9
200005,45.8,3.0
200105,45.1,2.3
200205,40.3,-2.5
200305,43.4,0.6
200405,47.1,4.3
200505,39.6,-3.2
200605,44.7,1.9
200705,42.6,-0.2
200805,39.6,-3.2
200905,43.4,0.6
201005,46.2,3.4
201105,48.1,5.3
201205,49.1,6.3
201305,45,2.2
201405,45.5,2.7
201505,47.8,5.0
