New York, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,54.8,-0.2
189608,55.9,0.9
189708,53.5,-1.5
189808,58.4,3.4
189908,55.2,0.2
190008,58.8,3.8
190108,58,3.0
190208,53.3,-1.7
190308,51.5,-3.5
190408,53.3,-1.7
190508,54.2,-0.8
190608,58,3.0
190708,52.1,-2.9
190808,53.7,-1.3
190908,52.9,-2.1
191008,53.9,-1.1
191108,56.2,1.2
191208,52.6,-2.4
191308,53.8,-1.2
191408,55.3,0.3
191508,54.6,-0.4
191608,56.2,1.2
191708,56.6,1.6
191808,55.6,0.6
191908,53.6,-1.4
192008,56.8,1.8
192108,53.2,-1.8
192208,53.9,-1.1
192308,51,-4.0
192408,53.7,-1.3
192508,53.4,-1.6
192608,56.9,1.9
192708,50.8,-4.2
192808,58.7,3.7
192908,50.8,-4.2
193008,52.8,-2.2
193108,55.8,0.8
193208,55,0.0
193308,55,0.0
193408,51.2,-3.8
193508,55.6,0.6
193608,55,0.0
193708,59.6,4.6
193808,58.1,3.1
193908,57.4,2.4
194008,53.5,-1.5
194108,52.1,-2.9
194208,55.1,0.1
194308,55.4,0.4
194408,56.4,1.4
194508,55.2,0.2
194608,52.1,-2.9
194708,60,5.0
194808,56,1.0
194908,56.3,1.3
195008,54.1,-0.9
195108,53.5,-1.5
195208,55.2,0.2
195308,53.6,-1.4
195408,52.8,-2.2
195508,59.8,4.8
195608,54.5,-0.5
195708,51.5,-3.5
195808,54,-1.0
195908,59.4,4.4
196008,54.3,-0.7
196108,56.6,1.6
196208,54.4,-0.6
196308,52,-3.0
196408,51,-4.0
196508,54.7,-0.3
196608,54.8,-0.2
196708,55.2,0.2
196808,54.2,-0.8
196908,56.3,1.3
197008,55.2,0.2
197108,53.6,-1.4
197208,54.1,-0.9
197308,59.1,4.1
197408,55.4,0.4
197508,56,1.0
197608,53.9,-1.1
197708,55.2,0.2
197808,56.9,1.9
197908,55.4,0.4
198008,58.8,3.8
198108,54.9,-0.1
198208,51.9,-3.1
198308,56.8,1.8
198408,58.3,3.3
198508,54.6,-0.4
198608,54.1,-0.9
198708,53.8,-1.2
198808,58.1,3.1
198908,55,0.0
199008,57.1,2.1
199108,57.6,2.6
199208,53.9,-1.1
199308,56.7,1.7
199408,54.3,-0.7
199508,56.6,1.6
199608,56.4,1.4
199708,54.2,-0.8
199808,57.2,2.2
199908,54.8,-0.2
200008,55.5,0.5
200108,58.3,3.3
200208,57,2.0
200308,59,4.0
200408,56.3,1.3
200508,59.2,4.2
200608,56.2,1.2
200708,56.5,1.5
200808,54.2,-0.8
200908,57.9,2.9
201008,58,3.0
201108,57.3,2.3
201208,57,2.0
201308,55.1,0.1
201408,54.8,-0.2
201508,56.5,1.5
