South Carolina, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,49,-0.2
189604,53.7,4.5
189704,49.4,0.2
189804,45.1,-4.1
189904,47.9,-1.3
190004,50.2,1.0
190104,43.8,-5.4
190204,47,-2.2
190304,47.7,-1.5
190404,46.2,-3.0
190504,49.9,0.7
190604,49.9,0.7
190704,43.5,-5.7
190804,54.1,4.9
190904,51.2,2.0
191004,48.5,-0.7
191104,48.1,-1.1
191204,52.1,2.9
191304,47.4,-1.8
191404,50.1,0.9
191504,47.7,-1.5
191604,47.3,-1.9
191704,50.7,1.5
191804,48.9,-0.3
191904,47.9,-1.3
192004,49.4,0.2
192104,49.7,0.5
192204,52,2.8
192304,48,-1.2
192404,48.8,-0.4
192504,51.2,2.0
192604,46.3,-2.9
192704,50.6,1.4
192804,48,-1.2
192904,51.9,2.7
193004,49.9,0.7
193104,47.6,-1.6
193204,48.4,-0.8
193304,48.5,-0.7
193404,50.4,1.2
193504,50.7,1.5
193604,47.8,-1.4
193704,48,-1.2
193804,49.6,0.4
193904,49,-0.2
194004,47.1,-2.1
194104,51.4,2.2
194204,48.5,-0.7
194304,47.4,-1.8
194404,48.5,-0.7
194504,54,4.8
194604,50,0.8
194704,52.8,3.6
194804,52.9,3.7
194904,48.7,-0.5
195004,46.2,-3.0
195104,48.6,-0.6
195204,48.3,-0.9
195304,47.9,-1.3
195404,53.7,4.5
195504,53,3.8
195604,47.7,-1.5
195704,51.4,2.2
195804,50,0.8
195904,51.2,2.0
196004,50.6,1.4
196104,44.6,-4.6
196204,46.6,-2.6
196304,51,1.8
196404,50.6,1.4
196504,51.3,2.1
196604,48.3,-0.9
196704,51.7,2.5
196804,50,0.8
196904,50,0.8
197004,51.8,2.6
197104,46.3,-2.9
197204,48.3,-0.9
197304,48.1,-1.1
197404,48.7,-0.5
197504,48.2,-1.0
197604,47.1,-2.1
197704,51.4,2.2
197804,49.6,0.4
197904,50.6,1.4
198004,49.5,0.3
198104,52.2,3.0
198204,48.3,-0.9
198304,45.1,-4.1
198404,48.3,-0.9
198504,49.6,0.4
198604,48,-1.2
198704,46.2,-3.0
198804,48.1,-1.1
198904,48.3,-0.9
199004,47.9,-1.3
199104,54.2,5.0
199204,48,-1.2
199304,44.8,-4.4
199404,50.5,1.3
199504,50.5,1.3
199604,47.8,-1.4
199704,45.9,-3.3
199804,50.5,1.3
199904,53.3,4.1
200004,47.8,-1.4
200104,50.4,1.2
200204,55.1,5.9
200304,50,0.8
200404,48.4,-0.8
200504,47.4,-1.8
200604,52,2.8
200704,46.9,-2.3
200804,49.6,0.4
200904,48.8,-0.4
201004,50,0.8
201104,52,2.8
201204,51.4,2.2
201304,50.2,1.0
201404,50.6,1.4
201504,53.6,4.4
