Tennessee, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,46,0.8
189604,51.5,6.3
189704,45.6,0.4
189804,41.2,-4.0
189904,46.2,1.0
190004,45.9,0.7
190104,41.4,-3.8
190204,43.8,-1.4
190304,44.4,-0.8
190404,41.4,-3.8
190504,46,0.8
190604,45.8,0.6
190704,39.7,-5.5
190804,48.5,3.3
190904,45.5,0.3
191004,44.4,-0.8
191104,45.6,0.4
191204,48.3,3.1
191304,44.8,-0.4
191404,45.7,0.5
191504,45.9,0.7
191604,44.2,-1.0
191704,44.5,-0.7
191804,45.3,0.1
191904,44.9,-0.3
192004,43.8,-1.4
192104,45.2,0.0
192204,49.5,4.3
192304,43.7,-1.5
192404,45.4,0.2
192504,49.9,4.7
192604,40.7,-4.5
192704,49.9,4.7
192804,42.7,-2.5
192904,49,3.8
193004,46.5,1.3
193104,43.6,-1.6
193204,46.1,0.9
193304,45.1,-0.1
193404,45.3,0.1
193504,46.6,1.4
193604,42.4,-2.8
193704,44.8,-0.4
193804,47.6,2.4
193904,43.3,-1.9
194004,44.7,-0.5
194104,48,2.8
194204,45.6,0.4
194304,44.4,-0.8
194404,44.3,-0.9
194504,47.2,2.0
194604,48.2,3.0
194704,47.9,2.7
194804,49.3,4.1
194904,44.5,-0.7
195004,41.1,-4.1
195104,43.7,-1.5
195204,44,-1.2
195304,42.6,-2.6
195404,50.3,5.1
195504,49,3.8
195604,43.7,-1.5
195704,48.7,3.5
195804,45.3,0.1
195904,45.4,0.2
196004,45.6,0.4
196104,41.5,-3.7
196204,42.2,-3.0
196304,47.6,2.4
196404,48.8,3.6
196504,48.5,3.3
196604,45.4,0.2
196704,48.7,3.5
196804,46.3,1.1
196904,46.2,1.0
197004,46.7,1.5
197104,41.6,-3.6
197204,45.9,0.7
197304,45.3,0.1
197404,43.7,-1.5
197504,43.2,-2.0
197604,42.9,-2.3
197704,47.6,2.4
197804,46.1,0.9
197904,46.2,1.0
198004,43.1,-2.1
198104,50.1,4.9
198204,42.1,-3.1
198304,40.5,-4.7
198404,45.3,0.1
198504,46.8,1.6
198604,44.9,-0.3
198704,42,-3.2
198804,43.4,-1.8
198904,43.7,-1.5
199004,43.3,-1.9
199104,49.8,4.6
199204,44.7,-0.5
199304,42.6,-2.6
199404,46.7,1.5
199504,45.1,-0.1
199604,41.3,-3.9
199704,40.3,-4.9
199804,45.7,0.5
199904,49.8,4.6
200004,43.3,-1.9
200104,49.2,4.0
200204,48.5,3.3
200304,47.3,2.1
200404,44.9,-0.3
200504,45.6,0.4
200604,50.6,5.4
200704,42.8,-2.4
200804,45.4,0.2
200904,44.9,-0.3
201004,46.7,1.5
201104,48.6,3.4
201204,47.3,2.1
201304,44.8,-0.4
201404,45.2,0.0
201504,48.5,3.3
