Washington, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,27.6,-1.9
189603,26.5,-3.0
189703,23.8,-5.7
189803,26.7,-2.8
189903,27.7,-1.8
190003,33.2,3.7
190103,30.3,0.8
190203,29.6,0.1
190303,26.9,-2.6
190403,27.3,-2.2
190503,33.8,4.3
190603,27.4,-2.1
190703,28.7,-0.8
190803,29.4,-0.1
190903,29.1,-0.4
191003,32.7,3.2
191103,28.2,-1.3
191203,25.8,-3.7
191303,26.8,-2.7
191403,31.3,1.8
191503,32.9,3.4
191603,30.4,0.9
191703,24.1,-5.4
191803,29.6,0.1
191903,29.1,-0.4
192003,29.3,-0.2
192103,30.2,0.7
192203,26,-3.5
192303,27.5,-2.0
192403,28.5,-1.0
192503,30.5,1.0
192603,31.4,1.9
192703,28.6,-0.9
192803,31.6,2.1
192903,30.4,0.9
193003,29.9,0.4
193103,31.1,1.6
193203,30.8,1.3
193303,29.2,-0.3
193403,32.9,3.4
193503,27.4,-2.1
193603,27.6,-1.9
193703,31.1,1.6
193803,29.6,0.1
193903,29.7,0.2
194003,33,3.5
194103,32.1,2.6
194203,28.2,-1.3
194303,26.1,-3.4
194403,26.8,-2.7
194503,29,-0.5
194603,30.4,0.9
194703,31.1,1.6
194803,27.1,-2.4
194903,29.7,0.2
195003,28.8,-0.7
195103,25,-4.5
195203,28.1,-1.4
195303,30,0.5
195403,25.2,-4.3
195503,23.8,-5.7
195603,27.2,-2.3
195703,30.1,0.6
195803,29,-0.5
195903,30,0.5
196003,28.5,-1.0
196103,31.4,1.9
196203,27,-2.5
196303,30.1,0.6
196403,28,-1.5
196503,25.6,-3.9
196603,29.1,-0.4
196703,28.7,-0.8
196803,32.4,2.9
196903,27.8,-1.7
197003,28.8,-0.7
197103,26.5,-3.0
197203,31.4,1.9
197303,30.9,1.4
197403,29.9,0.4
197503,27.4,-2.1
197603,26.5,-3.0
197703,29.6,0.1
197803,32.2,2.7
197903,30.2,0.7
198003,30.2,0.7
198103,31.6,2.1
198203,29.1,-0.4
198303,34.2,4.7
198403,33.2,3.7
198503,26.9,-2.6
198603,33.8,4.3
198703,32.8,3.3
198803,30.2,0.7
198903,29.5,0.0
199003,30.8,1.3
199103,28.6,-0.9
199203,33.9,4.4
199303,30.5,1.0
199403,31.4,1.9
199503,30.2,0.7
199603,30.1,0.6
199703,30.8,1.3
199803,32.4,2.9
199903,29.8,0.3
200003,30.4,0.9
200103,30.6,1.1
200203,27.5,-2.0
200303,32.9,3.4
200403,32.7,3.2
200503,32.6,3.1
200603,30.1,0.6
200703,32.6,3.1
200803,28.4,-1.1
200903,27.2,-2.3
201003,31.1,1.6
201103,30.9,1.4
201203,29.5,0.0
201303,30.9,1.4
201403,31.2,1.7
201503,34.7,5.2
201603,33.2,3.7
