Arkansas, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,1.97,-3.07
189604,3.82,-1.22
189704,4.34,-0.70
189804,3.08,-1.96
189904,3.18,-1.86
190004,4.95,-0.09
190104,3.69,-1.35
190204,2.97,-2.07
190304,1.79,-3.25
190404,4.02,-1.02
190504,6.47,1.43
190604,2.5,-2.54
190704,5.54,0.50
190804,6.37,1.33
190904,4.72,-0.32
191004,5.31,0.27
191104,9.83,4.79
191204,8.22,3.18
191304,5.07,0.03
191404,4.8,-0.24
191504,2.92,-2.12
191604,3.69,-1.35
191704,5.68,0.64
191804,7.59,2.55
191904,3.72,-1.32
192004,5.6,0.56
192104,8.16,3.12
192204,5.37,0.33
192304,6.48,1.44
192404,4.82,-0.22
192504,2.44,-2.60
192604,2.58,-2.46
192704,12.39,7.35
192804,8.77,3.73
192904,5.44,0.40
193004,1.39,-3.65
193104,2.67,-2.37
193204,2.79,-2.25
193304,4.78,-0.26
193404,3.3,-1.74
193504,4.67,-0.37
193604,2.58,-2.46
193704,3.26,-1.78
193804,4.91,-0.13
193904,7.11,2.07
194004,6.89,1.85
194104,5,-0.04
194204,8.23,3.19
194304,3.21,-1.83
194404,6.45,1.41
194504,7.73,2.69
194604,5.43,0.39
194704,5.71,0.67
194804,3.53,-1.51
194904,2.81,-2.23
195004,3.21,-1.83
195104,4.31,-0.73
195204,5.72,0.68
195304,7.27,2.23
195404,3.86,-1.18
195504,4.76,-0.28
195604,4.42,-0.62
195704,11.8,6.76
195804,7.16,2.12
195904,3.53,-1.51
196004,2.18,-2.86
196104,3.03,-2.01
196204,2.98,-2.06
196304,3.62,-1.42
196404,8.11,3.07
196504,2.55,-2.49
196604,8.5,3.46
196704,5.36,0.32
196804,5.36,0.32
196904,3.99,-1.05
197004,6.9,1.86
197104,2.51,-2.53
197204,3.6,-1.44
197304,10.07,5.03
197404,5.81,0.77
197504,3.64,-1.40
197604,2.44,-2.60
197704,3.84,-1.20
197804,3.06,-1.98
197904,7.83,2.79
198004,4.52,-0.52
198104,2.54,-2.50
198204,5.29,0.25
198304,5.79,0.75
198404,4.02,-1.02
198504,5.49,0.45
198604,6.41,1.37
198704,1.17,-3.87
198804,3.56,-1.48
198904,2.09,-2.95
199004,6.14,1.10
199104,12.28,7.24
199204,2.61,-2.43
199304,5.96,0.92
199404,4.25,-0.79
199504,6.03,0.99
199604,4.52,-0.52
199704,7.72,2.68
199804,3.23,-1.81
199904,5.59,0.55
200004,3.61,-1.43
200104,2.34,-2.70
200204,3.33,-1.71
200304,2.6,-2.44
200404,6.28,1.24
200504,4.12,-0.92
200604,4.56,-0.48
200704,4.22,-0.82
200804,8.13,3.09
200904,5.21,0.17
201004,3.06,-1.98
201104,10.6,5.56
201204,2.56,-2.48
201304,5.23,0.19
201404,5.54,0.50
201504,5.75,0.71
