Connecticut, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,2.84,-0.86
189606,3.08,-0.62
189706,3.39,-0.31
189806,1.83,-1.87
189906,3.41,-0.29
190006,2.55,-1.15
190106,1.56,-2.14
190206,4.24,0.54
190306,9.44,5.74
190406,2.83,-0.87
190506,4.64,0.94
190606,3.72,0.02
190706,3.5,-0.20
190806,1.89,-1.81
190906,2.85,-0.85
191006,4.22,0.52
191106,2.54,-1.16
191206,.87,-2.83
191306,1.45,-2.25
191406,2.16,-1.54
191506,1.81,-1.89
191606,4.47,0.77
191706,4.16,0.46
191806,4.09,0.39
191906,2.32,-1.38
192006,6.74,3.04
192106,3.13,-0.57
192206,6.78,3.08
192306,4.15,0.45
192406,2.04,-1.66
192506,3.31,-0.39
192606,2.02,-1.68
192706,3.08,-0.62
192806,5.75,2.05
192906,2.12,-1.58
193006,4.24,0.54
193106,5.76,2.06
193206,3.8,0.10
193306,2.21,-1.49
193406,4.13,0.43
193506,5.18,1.48
193606,4.41,0.71
193706,5.12,1.42
193806,6.83,3.13
193906,3.34,-0.36
194006,3.91,0.21
194106,4.69,0.99
194206,3.93,0.23
194306,3.16,-0.54
194406,3.99,0.29
194506,4.89,1.19
194606,3.31,-0.39
194706,3.91,0.21
194806,5.04,1.34
194906,.51,-3.19
195006,3.93,0.23
195106,3.16,-0.54
195206,4.76,1.06
195306,2.43,-1.27
195406,2.15,-1.55
195506,3.09,-0.61
195606,3.15,-0.55
195706,1.34,-2.36
195806,2.53,-1.17
195906,4.76,1.06
196006,2.96,-0.74
196106,2.98,-0.72
196206,3.98,0.28
196306,3.48,-0.22
196406,2.1,-1.60
196506,1.75,-1.95
196606,1.92,-1.78
196706,3.51,-0.19
196806,6.2,2.50
196906,2.61,-1.09
197006,2.9,-0.80
197106,1.51,-2.19
197206,11.52,7.82
197306,4.92,1.22
197406,2.93,-0.77
197506,4.42,0.72
197606,2.32,-1.38
197706,4.13,0.43
197806,2.68,-1.02
197906,1.49,-2.21
198006,3.48,-0.22
198106,3.23,-0.47
198206,12.09,8.39
198306,3.11,-0.59
198406,4,0.30
198506,4.45,0.75
198606,5.26,1.56
198706,2.74,-0.96
198806,1.08,-2.62
198906,6.37,2.67
199006,2.31,-1.39
199106,1.71,-1.99
199206,6.88,3.18
199306,2.71,-0.99
199406,3.66,-0.04
199506,1.68,-2.02
199606,2.97,-0.73
199706,1.93,-1.77
199806,7.42,3.72
199906,.85,-2.85
200006,6.22,2.52
200106,6.4,2.70
200206,5.03,1.33
200306,7.18,3.48
200406,1.99,-1.71
200506,2.39,-1.31
200606,9.21,5.51
200706,3.54,-0.16
200806,4.69,0.99
200906,6.94,3.24
201006,3.36,-0.34
201106,6.15,2.45
201206,4.3,0.60
201306,10.6,6.90
201406,2.41,-1.29
201506,6.21,2.51
