Florida, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,4.96,0.97
189605,2.39,-1.60
189705,1.57,-2.42
189805,1.43,-2.56
189905,1.25,-2.74
190005,4.55,0.56
190105,4.32,0.33
190205,2.32,-1.67
190305,4.9,0.91
190405,2.65,-1.34
190505,5.93,1.94
190605,6.97,2.98
190705,5.8,1.81
190805,3.01,-0.98
190905,4.48,0.49
191005,2.91,-1.08
191105,4.81,0.82
191205,5.37,1.38
191305,3.39,-0.60
191405,2.01,-1.98
191505,6.06,2.07
191605,3.66,-0.33
191705,2.6,-1.39
191805,2.49,-1.50
191905,6.01,2.02
192005,4.71,0.72
192105,5.48,1.49
192205,7.25,3.26
192305,8.28,4.29
192405,2.82,-1.17
192505,5.31,1.32
192605,2.62,-1.37
192705,1.1,-2.89
192805,3.6,-0.39
192905,4.95,0.96
193005,4.08,0.09
193105,3.08,-0.91
193205,6.1,2.11
193305,2.91,-1.08
193405,6.85,2.86
193505,3.92,-0.07
193605,4.1,0.11
193705,3.46,-0.53
193805,4.08,0.09
193905,4.43,0.44
194005,2.07,-1.92
194105,1.34,-2.65
194205,3.44,-0.55
194305,4.63,0.64
194405,2.9,-1.09
194505,1.8,-2.19
194605,7.48,3.49
194705,4.79,0.80
194805,2.49,-1.50
194905,2.27,-1.72
195005,3.3,-0.69
195105,2.46,-1.53
195205,3.97,-0.02
195305,1.4,-2.59
195405,4.38,0.39
195505,3.08,-0.91
195605,3.73,-0.26
195705,6.4,2.41
195805,5.31,1.32
195905,6.65,2.66
196005,2.81,-1.18
196105,3.89,-0.10
196205,2.07,-1.92
196305,4.8,0.81
196405,3.13,-0.86
196505,.88,-3.11
196605,5.88,1.89
196705,2.21,-1.78
196805,6.01,2.02
196905,5.09,1.10
197005,4.49,0.50
197105,3.28,-0.71
197205,5.05,1.06
197305,4.04,0.05
197405,3.96,-0.03
197505,5.58,1.59
197605,8.84,4.85
197705,3.3,-0.69
197805,5.44,1.45
197905,6.85,2.86
198005,4.59,0.60
198105,2.43,-1.56
198205,4.99,1.00
198305,1.95,-2.04
198405,5.12,1.13
198505,2.68,-1.31
198605,2.33,-1.66
198705,4.23,0.24
198805,2.62,-1.37
198905,2.73,-1.26
199005,2.88,-1.11
199105,7.37,3.38
199205,1.86,-2.13
199305,2.52,-1.47
199405,2.7,-1.29
199505,3.38,-0.61
199605,3.86,-0.13
199705,3.53,-0.46
199805,1.79,-2.20
199905,3.8,-0.19
200005,.91,-3.08
200105,2.35,-1.64
200205,2.36,-1.63
200305,4.25,0.26
200405,1.77,-2.22
200505,3.96,-0.03
200605,2.67,-1.32
200705,1.37,-2.62
200805,1.58,-2.41
200905,8.91,4.92
201005,4.22,0.23
201105,1.61,-2.38
201205,5.29,1.30
201305,4.62,0.63
201405,4.74,0.75
201505,2.39,-1.60
