Georgia, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,3.01,-1.06
189612,3.31,-0.76
189712,3.37,-0.70
189812,3.76,-0.31
189912,2.97,-1.10
190012,5.5,1.43
190112,5.33,1.26
190212,4.53,0.46
190312,2.33,-1.74
190412,3.31,-0.76
190512,8.23,4.16
190612,3.21,-0.86
190712,6.49,2.42
190812,3.29,-0.78
190912,3.44,-0.63
191012,2.78,-1.29
191112,6.65,2.58
191212,3.59,-0.48
191312,3.03,-1.04
191412,4.41,0.34
191512,4.23,0.16
191612,3.72,-0.35
191712,1.67,-2.40
191812,5.96,1.89
191912,4.28,0.21
192012,5.61,1.54
192112,2.01,-2.06
192212,5.5,1.43
192312,3.76,-0.31
192412,6.19,2.12
192512,4.29,0.22
192612,3.65,-0.42
192712,7.36,3.29
192812,1.95,-2.12
192912,3.77,-0.30
193012,3.33,-0.74
193112,6.39,2.32
193212,5.88,1.81
193312,1.79,-2.28
193412,2.4,-1.67
193512,2.76,-1.31
193612,5.67,1.60
193712,1.98,-2.09
193812,2.66,-1.41
193912,3.17,-0.90
194012,3.98,-0.09
194112,7.14,3.07
194212,6.03,1.96
194312,3.79,-0.28
194412,1.84,-2.23
194512,7.6,3.53
194612,1,-3.07
194712,5.58,1.51
194812,5.21,1.14
194912,2.47,-1.60
195012,3.95,-0.12
195112,5.97,1.90
195212,4,-0.07
195312,8.63,4.56
195412,3.18,-0.89
195512,.95,-3.12
195612,3.45,-0.62
195712,2.83,-1.24
195812,2.81,-1.26
195912,2.56,-1.51
196012,1.99,-2.08
196112,6.63,2.56
196212,2.6,-1.47
196312,3.93,-0.14
196412,6.4,2.33
196512,2.53,-1.54
196612,3.73,-0.34
196712,5.13,1.06
196812,4.72,0.65
196912,4.47,0.40
197012,3.95,-0.12
197112,5.25,1.18
197212,6.32,2.25
197312,4.91,0.84
197412,4.61,0.54
197512,3.9,-0.17
197612,4.85,0.78
197712,4.58,0.51
197812,3.41,-0.66
197912,2.29,-1.78
198012,1.1,-2.97
198112,6.15,2.08
198212,6.24,2.17
198312,7.45,3.38
198412,1.79,-2.28
198512,3.09,-0.98
198612,4.53,0.46
198712,2.46,-1.61
198812,1.37,-2.70
198912,5.34,1.27
199012,3.35,-0.72
199112,3.46,-0.61
199212,3.66,-0.41
199312,3.15,-0.92
199412,3.11,-0.96
199512,2.74,-1.33
199612,3.84,-0.23
199712,6.36,2.29
199812,2.54,-1.53
199912,2.18,-1.89
200012,3.34,-0.73
200112,1.75,-2.32
200212,5.26,1.19
200312,2.48,-1.59
200412,3.02,-1.05
200512,4.19,0.12
200612,3.46,-0.61
200712,5.52,1.45
200812,4.38,0.31
200912,9.08,5.01
201012,2.27,-1.80
201112,3.23,-0.84
201212,4.93,0.86
201312,6.39,2.32
201412,5.31,1.24
201512,8.48,4.41
