Idaho, Precipitation, July
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189507,.8,-0.03
189607,.92,0.09
189707,1.04,0.21
189807,.96,0.13
189907,.35,-0.48
190007,.22,-0.61
190107,.29,-0.54
190207,1.46,0.63
190307,.9,0.07
190407,1.17,0.34
190507,.4,-0.43
190607,.28,-0.55
190707,1.07,0.24
190807,.75,-0.08
190907,1.87,1.04
191007,.42,-0.41
191107,.26,-0.57
191207,1.51,0.68
191307,1.98,1.15
191407,.89,0.06
191507,1.69,0.86
191607,1.37,0.54
191707,.35,-0.48
191807,1.11,0.28
191907,.27,-0.56
192007,.44,-0.39
192107,.43,-0.40
192207,.68,-0.15
192307,1.2,0.37
192407,.67,-0.16
192507,1.01,0.18
192607,.77,-0.06
192707,.33,-0.50
192807,.61,-0.22
192907,.22,-0.61
193007,.51,-0.32
193107,.43,-0.40
193207,1.27,0.44
193307,.23,-0.60
193407,.28,-0.55
193507,.39,-0.44
193607,.93,0.10
193707,1.15,0.32
193807,1.58,0.75
193907,.8,-0.03
194007,.81,-0.02
194107,.94,0.11
194207,.52,-0.31
194307,.75,-0.08
194407,.57,-0.26
194507,.45,-0.38
194607,.83,0.00
194707,.24,-0.59
194807,1.13,0.30
194907,.35,-0.48
195007,.83,0.00
195107,.84,0.01
195207,.77,-0.06
195307,.14,-0.69
195407,.84,0.01
195507,1.29,0.46
195607,.7,-0.13
195707,.38,-0.45
195807,1.01,0.18
195907,.22,-0.61
196007,.35,-0.48
196107,.56,-0.27
196207,.76,-0.07
196307,.3,-0.53
196407,.86,0.03
196507,.84,0.01
196607,.32,-0.51
196707,.7,-0.13
196807,.37,-0.46
196907,.49,-0.34
197007,1.19,0.36
197107,.46,-0.37
197207,.56,-0.27
197307,.94,0.11
197407,.77,-0.06
197507,1.43,0.60
197607,1.01,0.18
197707,1.44,0.61
197807,1.25,0.42
197907,.58,-0.25
198007,1.05,0.22
198107,.73,-0.10
198207,1.81,0.98
198307,2.2,1.37
198407,1.46,0.63
198507,.91,0.08
198607,1.01,0.18
198707,1.98,1.15
198807,.31,-0.52
198907,.48,-0.35
199007,.76,-0.07
199107,.52,-0.31
199207,1.22,0.39
199307,1.98,1.15
199407,.53,-0.30
199507,1.39,0.56
199607,.48,-0.35
199707,1.79,0.96
199807,1.18,0.35
199907,.26,-0.57
200007,.35,-0.48
200107,1.12,0.29
200207,.51,-0.32
200307,.3,-0.53
200407,.91,0.08
200507,.35,-0.48
200607,.46,-0.37
200707,.38,-0.45
200807,.31,-0.52
200907,.71,-0.12
201007,.52,-0.31
201107,.55,-0.28
201207,.93,0.10
201307,.53,-0.30
201407,.39,-0.44
201507,1.37,0.54
