Kansas, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,.62,-0.05
189601,.63,-0.04
189701,.96,0.29
189801,1.47,0.80
189901,.3,-0.37
190001,.2,-0.47
190101,.37,-0.30
190201,.76,0.09
190301,.28,-0.39
190401,.37,-0.30
190501,.84,0.17
190601,.61,-0.06
190701,1.72,1.05
190801,.17,-0.50
190901,.45,-0.22
191001,.93,0.26
191101,.21,-0.46
191201,.16,-0.51
191301,.44,-0.23
191401,.14,-0.53
191501,1.14,0.47
191601,1.79,1.12
191701,.3,-0.37
191801,.66,-0.01
191901,.08,-0.59
192001,.25,-0.42
192101,1.03,0.36
192201,.39,-0.28
192301,.13,-0.54
192401,.39,-0.28
192501,.39,-0.28
192601,.79,0.12
192701,.39,-0.28
192801,.1,-0.57
192901,1.04,0.37
193001,.89,0.22
193101,.23,-0.44
193201,1.37,0.70
193301,.22,-0.45
193401,.44,-0.23
193501,.54,-0.13
193601,.67,0.00
193701,1.29,0.62
193801,.38,-0.29
193901,.79,0.12
194001,.8,0.13
194101,1.74,1.07
194201,.35,-0.32
194301,.17,-0.50
194401,1.09,0.42
194501,.93,0.26
194601,1.13,0.46
194701,.55,-0.12
194801,.56,-0.11
194901,2.76,2.09
195001,.26,-0.41
195101,.75,0.08
195201,.32,-0.35
195301,.19,-0.48
195401,.12,-0.55
195501,.83,0.16
195601,.65,-0.02
195701,.35,-0.32
195801,.85,0.18
195901,.68,0.01
196001,1.42,0.75
196101,.06,-0.61
196201,.91,0.24
196301,.58,-0.09
196401,.27,-0.40
196501,.98,0.31
196601,.35,-0.32
196701,.6,-0.07
196801,.25,-0.42
196901,.47,-0.20
197001,.18,-0.49
197101,.95,0.28
197201,.23,-0.44
197301,1.55,0.88
197401,.56,-0.11
197501,1,0.33
197601,.15,-0.52
197701,.65,-0.02
197801,.36,-0.31
197901,1.72,1.05
198001,1.14,0.47
198101,.21,-0.46
198201,.89,0.22
198301,.66,-0.01
198401,.4,-0.27
198501,1.1,0.43
198601,0,-0.67
198701,.81,0.14
198801,.81,0.14
198901,.66,-0.01
199001,1.25,0.58
199101,.52,-0.15
199201,1.1,0.43
199301,1.48,0.81
199401,.6,-0.07
199501,.92,0.25
199601,.43,-0.24
199701,.22,-0.45
199801,.6,-0.07
199901,1.35,0.68
200001,.42,-0.25
200101,1.31,0.64
200201,1.06,0.39
200301,.18,-0.49
200401,.83,0.16
200501,1.77,1.10
200601,.3,-0.37
200701,.89,0.22
200801,.4,-0.27
200901,.08,-0.59
201001,.48,-0.19
201101,.46,-0.21
201201,.07,-0.60
201301,.84,0.17
201401,.24,-0.43
201501,.37,-0.30
