Kansas, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,5.1,1.09
189606,4.06,0.05
189706,3.59,-0.42
189806,4.5,0.49
189906,5.28,1.27
190006,3.62,-0.39
190106,2.08,-1.93
190206,5.72,1.71
190306,2.37,-1.64
190406,6.38,2.37
190506,3.63,-0.38
190606,3.46,-0.55
190706,4.68,0.67
190806,7.48,3.47
190906,5.52,1.51
191006,1.91,-2.10
191106,.63,-3.38
191206,3.84,-0.17
191306,2.47,-1.54
191406,3.71,-0.30
191506,6.31,2.30
191606,5.83,1.82
191706,2.02,-1.99
191806,1.34,-2.67
191906,4.32,0.31
192006,2.77,-1.24
192106,4.9,0.89
192206,2.32,-1.69
192306,5.99,1.98
192406,2.08,-1.93
192506,3.79,-0.22
192606,2.78,-1.23
192706,5.8,1.79
192806,7.23,3.22
192906,3.98,-0.03
193006,3.77,-0.24
193106,2.14,-1.87
193206,5.64,1.63
193306,.87,-3.14
193406,2.83,-1.18
193506,5.03,1.02
193606,1.37,-2.64
193706,3.32,-0.69
193806,3.88,-0.13
193906,4.43,0.42
194006,2.54,-1.47
194106,6.21,2.20
194206,6.25,2.24
194306,4.86,0.85
194406,2.76,-1.25
194506,4.39,0.38
194606,2.88,-1.13
194706,4.94,0.93
194806,6.44,2.43
194906,5.95,1.94
195006,2.85,-1.16
195106,9.36,5.35
195206,.9,-3.11
195306,2.24,-1.77
195406,2.45,-1.56
195506,3.75,-0.26
195606,2.24,-1.77
195706,6.95,2.94
195806,4.26,0.25
195906,2.13,-1.88
196006,3.9,-0.11
196106,3.95,-0.06
196206,5.57,1.56
196306,3.74,-0.27
196406,4.09,0.08
196506,8.15,4.14
196606,3.12,-0.89
196706,8.17,4.16
196806,3.05,-0.96
196906,4.72,0.71
197006,4.36,0.35
197106,3.54,-0.47
197206,2.91,-1.10
197306,1.82,-2.19
197406,3.38,-0.63
197506,5.93,1.92
197606,2.19,-1.82
197706,4.64,0.63
197806,3.36,-0.65
197906,4.05,0.04
198006,1.98,-2.03
198106,3.84,-0.17
198206,4.91,0.90
198306,4.27,0.26
198406,4.34,0.33
198506,4.11,0.10
198606,3.84,-0.17
198706,3.93,-0.08
198806,1.75,-2.26
198906,6.03,2.02
199006,2.96,-1.05
199106,2.61,-1.40
199206,5.81,1.80
199306,4.27,0.26
199406,2.97,-1.04
199506,4.84,0.83
199606,4.11,0.10
199706,4.25,0.24
199806,2.9,-1.11
199906,5.31,1.30
200006,4.25,0.24
200106,3.81,-0.20
200206,2.74,-1.27
200306,4.19,0.18
200406,5.34,1.33
200506,6.03,2.02
200606,3.02,-0.99
200706,5.69,1.68
200806,4.81,0.80
200906,4.71,0.70
201006,4.7,0.69
201106,2.66,-1.35
201206,2.16,-1.85
201306,2.78,-1.23
201406,7.58,3.57
201506,3.34,-0.67
