Kentucky, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,3.2,-1.14
189605,4.75,0.41
189705,3.71,-0.63
189805,4.6,0.26
189905,4.79,0.45
190005,3.68,-0.66
190105,2.78,-1.56
190205,3.49,-0.85
190305,2.93,-1.41
190405,3.11,-1.23
190505,5.52,1.18
190605,2.72,-1.62
190705,5.13,0.79
190805,4.42,0.08
190905,4.51,0.17
191005,4.95,0.61
191105,2.13,-2.21
191205,4.54,0.20
191305,3.17,-1.17
191405,2.19,-2.15
191505,6.67,2.33
191605,4.14,-0.20
191705,3.54,-0.80
191805,4.01,-0.33
191905,6.07,1.73
192005,4.07,-0.27
192105,2.37,-1.97
192205,4.05,-0.29
192305,3.83,-0.51
192405,5.27,0.93
192505,2.54,-1.80
192605,2.39,-1.95
192705,7.3,2.96
192805,3.74,-0.60
192905,7.16,2.82
193005,3.03,-1.31
193105,2.71,-1.63
193205,1.42,-2.92
193305,6.79,2.45
193405,1.83,-2.51
193505,7.42,3.08
193605,1.5,-2.84
193705,4.1,-0.24
193805,5.65,1.31
193905,1.9,-2.44
194005,3.48,-0.86
194105,1.15,-3.19
194205,3.39,-0.95
194305,5.29,0.95
194405,3.62,-0.72
194505,4.71,0.37
194605,5.76,1.42
194705,5.64,1.30
194805,3.36,-0.98
194905,2.74,-1.60
195005,6,1.66
195105,2.58,-1.76
195205,4.03,-0.31
195305,5.46,1.12
195405,3.13,-1.21
195505,4.26,-0.08
195605,3.66,-0.68
195705,5.55,1.21
195805,4.67,0.33
195905,4.53,0.19
196005,3.51,-0.83
196105,6,1.66
196205,4.36,0.02
196305,3.86,-0.48
196405,2.27,-2.07
196505,2.21,-2.13
196605,3.78,-0.56
196705,6.75,2.41
196805,6.84,2.50
196905,3.12,-1.22
197005,2.84,-1.50
197105,5.64,1.30
197205,3.86,-0.48
197305,6.62,2.28
197405,5.96,1.62
197505,3.89,-0.45
197605,3.97,-0.37
197705,2.18,-2.16
197805,5.57,1.23
197905,4.85,0.51
198005,3.65,-0.69
198105,6.27,1.93
198205,4.19,-0.15
198305,9.92,5.58
198405,8.43,4.09
198505,4.41,0.07
198605,4.76,0.42
198705,2.9,-1.44
198805,2.78,-1.56
198905,4.61,0.27
199005,6.58,2.24
199105,4.17,-0.17
199205,4.31,-0.03
199305,3.33,-1.01
199405,3.22,-1.12
199505,9.13,4.79
199605,7.12,2.78
199705,5.45,1.11
199805,5.08,0.74
199905,2.89,-1.45
200005,4.66,0.32
200105,4.57,0.23
200205,6.23,1.89
200305,6.8,2.46
200405,8.28,3.94
200505,2.44,-1.90
200605,4.3,-0.04
200705,2.05,-2.29
200805,4.97,0.63
200905,6.61,2.27
201005,8.21,3.87
201105,6.75,2.41
201205,4.25,-0.09
201305,4.44,0.10
201405,3.65,-0.69
201505,2.67,-1.67
