Kentucky, Precipitation, July
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189507,5.89,1.55
189607,7.35,3.01
189707,4.44,0.10
189807,4.49,0.15
189907,3.59,-0.75
190007,4.37,0.03
190107,1.65,-2.69
190207,2.16,-2.18
190307,3.66,-0.68
190407,3.4,-0.94
190507,5.53,1.19
190607,5.95,1.61
190707,4.87,0.53
190807,4.12,-0.22
190907,6.23,1.89
191007,8.25,3.91
191107,2.34,-2.00
191207,5.61,1.27
191307,2.71,-1.63
191407,3.31,-1.03
191507,5.59,1.25
191607,4.18,-0.16
191707,4.49,0.15
191807,3.52,-0.82
191907,2.39,-1.95
192007,3.9,-0.44
192107,3.15,-1.19
192207,5.28,0.94
192307,3.63,-0.71
192407,3.83,-0.51
192507,3.48,-0.86
192607,4.07,-0.27
192707,3.66,-0.68
192807,4.06,-0.28
192907,3.87,-0.47
193007,1.44,-2.90
193107,4.09,-0.25
193207,4.24,-0.10
193307,6.45,2.11
193407,4.29,-0.05
193507,5.02,0.68
193607,3.85,-0.49
193707,3.26,-1.08
193807,6.96,2.62
193907,4.97,0.63
194007,2.81,-1.53
194107,6.33,1.99
194207,4.59,0.25
194307,3.96,-0.38
194407,1.7,-2.64
194507,3.36,-0.98
194607,4.09,-0.25
194707,3.74,-0.60
194807,5.03,0.69
194907,4.35,0.01
195007,6.3,1.96
195107,3.07,-1.27
195207,2.73,-1.61
195307,3.52,-0.82
195407,3.19,-1.15
195507,4.06,-0.28
195607,6,1.66
195707,3.08,-1.26
195807,7.89,3.55
195907,4.8,0.46
196007,3.54,-0.80
196107,6.07,1.73
196207,4.34,0.00
196307,5.54,1.20
196407,4.27,-0.07
196507,5.15,0.81
196607,4.4,0.06
196707,7.09,2.75
196807,4.71,0.37
196907,3.85,-0.49
197007,3.19,-1.15
197107,6.34,2.00
197207,5.68,1.34
197307,5.48,1.14
197407,2.67,-1.67
197507,3.24,-1.10
197607,4.59,0.25
197707,4.68,0.34
197807,5.51,1.17
197907,6.7,2.36
198007,4.82,0.48
198107,5.28,0.94
198207,4.23,-0.11
198307,2.8,-1.54
198407,4.74,0.40
198507,4.13,-0.21
198607,4.1,-0.24
198707,4.86,0.52
198807,5.21,0.87
198907,4.71,0.37
199007,3.79,-0.55
199107,3.72,-0.62
199207,6.51,2.17
199307,3.12,-1.22
199407,4.22,-0.12
199507,3.19,-1.15
199607,5.63,1.29
199707,2.4,-1.94
199807,4.92,0.58
199907,2.13,-2.21
200007,4.72,0.38
200107,6.33,1.99
200207,3.4,-0.94
200307,4.67,0.33
200407,5.26,0.92
200507,4.23,-0.11
200607,4.53,0.19
200707,4.28,-0.06
200807,4.65,0.31
200907,6.66,2.32
201007,4.58,0.24
201107,3.94,-0.40
201207,5.54,1.20
201307,6.42,2.08
201407,3.67,-0.67
201507,9.37,5.03
