North Carolina, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,6.51,2.60
189601,2.72,-1.19
189701,2.24,-1.67
189801,2.67,-1.24
189901,3.8,-0.11
190001,3.54,-0.37
190101,3.1,-0.81
190201,2.66,-1.25
190301,3.66,-0.25
190401,2.92,-0.99
190501,2.99,-0.92
190601,5.55,1.64
190701,.82,-3.09
190801,4.52,0.61
190901,2.01,-1.90
191001,3.33,-0.58
191101,3.02,-0.89
191201,3.82,-0.09
191301,4.3,0.39
191401,2.65,-1.26
191501,6.19,2.28
191601,2.87,-1.04
191701,4.06,0.15
191801,4.59,0.68
191901,4.61,0.70
192001,2.89,-1.02
192101,4.01,0.10
192201,4.61,0.70
192301,3.71,-0.20
192401,4.44,0.53
192501,6.21,2.30
192601,4.97,1.06
192701,1.23,-2.68
192801,1.45,-2.46
192901,3.65,-0.26
193001,3.93,0.02
193101,2.18,-1.73
193201,4.68,0.77
193301,2.89,-1.02
193401,1.99,-1.92
193501,3.84,-0.07
193601,7.63,3.72
193701,7.79,3.88
193801,2.84,-1.07
193901,3.72,-0.19
194001,3,-0.91
194101,1.96,-1.95
194201,2.34,-1.57
194301,4.36,0.45
194401,3.77,-0.14
194501,2.14,-1.77
194601,4.19,0.28
194701,5.74,1.83
194801,4.36,0.45
194901,2.73,-1.18
195001,2.82,-1.09
195101,1.57,-2.34
195201,3.6,-0.31
195301,3.78,-0.13
195401,6.25,2.34
195501,2.66,-1.25
195601,1.79,-2.12
195701,3.47,-0.44
195801,4.05,0.14
195901,2.62,-1.29
196001,4.94,1.03
196101,2.7,-1.21
196201,5.78,1.87
196301,4,0.09
196401,5.41,1.50
196501,2.15,-1.76
196601,5.23,1.32
196701,3.1,-0.81
196801,4.3,0.39
196901,2.75,-1.16
197001,2.33,-1.58
197101,4.27,0.36
197201,4.27,0.36
197301,3.81,-0.10
197401,4.58,0.67
197501,5.61,1.70
197601,3.71,-0.20
197701,3.03,-0.88
197801,7.19,3.28
197901,6.22,2.31
198001,4.53,0.62
198101,1.05,-2.86
198201,5.55,1.64
198301,3.04,-0.87
198401,3.33,-0.58
198501,3.82,-0.09
198601,1.71,-2.20
198701,6.26,2.35
198801,3.59,-0.32
198901,2.48,-1.43
199001,3.83,-0.08
199101,5.15,1.24
199201,3.9,-0.01
199301,5.81,1.90
199401,5.06,1.15
199501,5.4,1.49
199601,5.26,1.35
199701,3.63,-0.28
199801,7.68,3.77
199901,5.73,1.82
200001,4.92,1.01
200101,2.02,-1.89
200201,4.97,1.06
200301,2.2,-1.71
200401,1.57,-2.34
200501,2.58,-1.33
200601,3.31,-0.60
200701,3.64,-0.27
200801,1.87,-2.04
200901,2.83,-1.08
201001,5,1.09
201101,1.95,-1.96
201201,2.86,-1.05
201301,4.69,0.78
201401,3.29,-0.62
201501,3.95,0.04
