North Dakota, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,.24,-0.25
189612,.38,-0.11
189712,.33,-0.16
189812,.25,-0.24
189912,.4,-0.09
190012,.35,-0.14
190112,.91,0.42
190212,.63,0.14
190312,.85,0.36
190412,.77,0.28
190512,.15,-0.34
190612,1.06,0.57
190712,.28,-0.21
190812,.35,-0.14
190912,1.19,0.70
191012,.41,-0.08
191112,.44,-0.05
191212,.43,-0.06
191312,.09,-0.40
191412,.54,0.05
191512,.55,0.06
191612,1.15,0.66
191712,.7,0.21
191812,.95,0.46
191912,.53,0.04
192012,.33,-0.16
192112,.43,-0.06
192212,.78,0.29
192312,.34,-0.15
192412,.51,0.02
192512,.37,-0.12
192612,.59,0.10
192712,.74,0.25
192812,.33,-0.16
192912,.79,0.30
193012,.18,-0.31
193112,.29,-0.20
193212,.19,-0.30
193312,.91,0.42
193412,.31,-0.18
193512,.51,0.02
193612,.42,-0.07
193712,.56,0.07
193812,.31,-0.18
193912,.3,-0.19
194012,.41,-0.08
194112,.14,-0.35
194212,.54,0.05
194312,.14,-0.35
194412,.05,-0.44
194512,.69,0.20
194612,.6,0.11
194712,.44,-0.05
194812,.71,0.22
194912,.68,0.19
195012,.57,0.08
195112,.74,0.25
195212,.17,-0.32
195312,.6,0.11
195412,.09,-0.40
195512,.36,-0.13
195612,.43,-0.06
195712,.23,-0.26
195812,.25,-0.24
195912,.27,-0.22
196012,.62,0.13
196112,.42,-0.07
196212,.28,-0.21
196312,.52,0.03
196412,.64,0.15
196512,.49,0.00
196612,.36,-0.13
196712,.77,0.28
196812,.74,0.25
196912,.74,0.25
197012,.35,-0.14
197112,.34,-0.15
197212,.83,0.34
197312,.65,0.16
197412,.37,-0.12
197512,.53,0.04
197612,.4,-0.09
197712,1.03,0.54
197812,.54,0.05
197912,.24,-0.25
198012,.29,-0.20
198112,.43,-0.06
198212,.59,0.10
198312,.42,-0.07
198412,.45,-0.04
198512,.45,-0.04
198612,.08,-0.41
198712,.22,-0.27
198812,.81,0.32
198912,.19,-0.30
199012,.48,-0.01
199112,.26,-0.23
199212,.47,-0.02
199312,.63,0.14
199412,.33,-0.16
199512,.55,0.06
199612,.87,0.38
199712,.13,-0.36
199812,.3,-0.19
199912,.24,-0.25
200012,.45,-0.04
200112,.34,-0.15
200212,.63,0.14
200312,.62,0.13
200412,.47,-0.02
200512,.62,0.13
200612,.67,0.18
200712,.37,-0.12
200812,1.27,0.78
200912,1.1,0.61
201012,1.24,0.75
201112,.32,-0.17
201212,.44,-0.05
201312,.88,0.39
201412,.17,-0.32
201512,.57,0.08
