Pennsylvania, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,3.89,-0.28
189606,4.39,0.22
189706,3.15,-1.02
189806,3.05,-1.12
189906,3.69,-0.48
190006,3.63,-0.54
190106,3.93,-0.24
190206,5.99,1.82
190306,6.58,2.41
190406,3.78,-0.39
190506,5.01,0.84
190606,4.78,0.61
190706,4.88,0.71
190806,2.54,-1.63
190906,4.47,0.30
191006,4.08,-0.09
191106,4.73,0.56
191206,3.1,-1.07
191306,2.41,-1.76
191406,3.88,-0.29
191506,4.34,0.17
191606,6.77,2.60
191706,5.69,1.52
191806,3.63,-0.54
191906,3.81,-0.36
192006,5.04,0.87
192106,3.13,-1.04
192206,5.31,1.14
192306,2.94,-1.23
192406,5.35,1.18
192506,3.28,-0.89
192606,3.74,-0.43
192706,3.64,-0.53
192806,8.02,3.85
192906,3.52,-0.65
193006,4.3,0.13
193106,3.68,-0.49
193206,3.21,-0.96
193306,2.61,-1.56
193406,3.56,-0.61
193506,4.17,0.00
193606,3.82,-0.35
193706,4.8,0.63
193806,4.96,0.79
193906,4.39,0.22
194006,4.25,0.08
194106,4.98,0.81
194206,3.73,-0.44
194306,3.5,-0.67
194406,4.65,0.48
194506,4.21,0.04
194606,6.06,1.89
194706,4.13,-0.04
194806,5.2,1.03
194906,2.02,-2.15
195006,3.75,-0.42
195106,5.8,1.63
195206,2.05,-2.12
195306,2.77,-1.40
195406,3.29,-0.88
195506,3.53,-0.64
195606,4.44,0.27
195706,4.5,0.33
195806,4.25,0.08
195906,3.68,-0.49
196006,3.96,-0.21
196106,4.11,-0.06
196206,3,-1.17
196306,2.94,-1.23
196406,3.53,-0.64
196506,2.12,-2.05
196606,1.27,-2.90
196706,2.47,-1.70
196806,4,-0.17
196906,4.08,-0.09
197006,4.3,0.13
197106,2.71,-1.46
197206,11.22,7.05
197306,4.96,0.79
197406,4.81,0.64
197506,5.96,1.79
197606,4.75,0.58
197706,4.09,-0.08
197806,3.92,-0.25
197906,2.49,-1.68
198006,4.08,-0.09
198106,5.71,1.54
198206,6.24,2.07
198306,4.97,0.80
198406,4.82,0.65
198506,3.53,-0.64
198606,4.71,0.54
198706,4.13,-0.04
198806,1.33,-2.84
198906,7.06,2.89
199006,3.17,-1.00
199106,1.59,-2.58
199206,2.39,-1.78
199306,3.69,-0.48
199406,4.81,0.64
199506,3.7,-0.47
199606,5.57,1.40
199706,3.44,-0.73
199806,5.15,0.98
199906,2.37,-1.80
200006,5.3,1.13
200106,4.1,-0.07
200206,4.85,0.68
200306,6.11,1.94
200406,4.4,0.23
200506,2.74,-1.43
200606,7.67,3.50
200706,3.7,-0.47
200806,4.12,-0.05
200906,4.91,0.74
201006,3.63,-0.54
201106,3.18,-0.99
201206,3.3,-0.87
201306,6.11,1.94
201406,5.31,1.14
201506,8.36,4.19
