Rhode Island, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,4.84,0.78
189604,1.25,-2.81
189704,3.81,-0.25
189804,5.6,1.54
189904,2.21,-1.85
190004,2.66,-1.40
190104,9.08,5.02
190204,3.91,-0.15
190304,3.95,-0.11
190404,8.55,4.49
190504,2.6,-1.46
190604,3.18,-0.88
190704,3.34,-0.72
190804,2.11,-1.95
190904,5.64,1.58
191004,2.24,-1.82
191104,3.81,-0.25
191204,4.02,-0.04
191304,6,1.94
191404,4.88,0.82
191504,1.83,-2.23
191604,3.99,-0.07
191704,2.87,-1.19
191804,4.7,0.64
191904,3.67,-0.39
192004,5.61,1.55
192104,4.42,0.36
192204,2.57,-1.49
192304,5.88,1.82
192404,5.94,1.88
192504,2.47,-1.59
192604,2.22,-1.84
192704,1.82,-2.24
192804,4.99,0.93
192904,7.44,3.38
193004,1.58,-2.48
193104,2.73,-1.33
193204,1.88,-2.18
193304,6.67,2.61
193404,5.01,0.95
193504,3.82,-0.24
193604,3.41,-0.65
193704,4.84,0.78
193804,2.89,-1.17
193904,4.89,0.83
194004,6.15,2.09
194104,1.62,-2.44
194204,.85,-3.21
194304,3.44,-0.62
194404,4.04,-0.02
194504,2.88,-1.18
194604,2.57,-1.49
194704,4.94,0.88
194804,3.98,-0.08
194904,4.3,0.24
195004,3.1,-0.96
195104,3.29,-0.77
195204,3.8,-0.26
195304,5.98,1.92
195404,5.03,0.97
195504,3.29,-0.77
195604,3.24,-0.82
195704,4.24,0.18
195804,7.2,3.14
195904,3.99,-0.07
196004,3.49,-0.57
196104,6.13,2.07
196204,3.6,-0.46
196304,1.44,-2.62
196404,6.04,1.98
196504,2.91,-1.15
196604,1.35,-2.71
196704,4.35,0.29
196804,1.69,-2.37
196904,4.58,0.52
197004,3.98,-0.08
197104,2.54,-1.52
197204,3.99,-0.07
197304,6.58,2.52
197404,3.38,-0.68
197504,3.18,-0.88
197604,2.15,-1.91
197704,3.98,-0.08
197804,2.18,-1.88
197904,5.1,1.04
198004,5.52,1.46
198104,4.25,0.19
198204,4.38,0.32
198304,10.6,6.54
198404,4.67,0.61
198504,1.52,-2.54
198604,1.86,-2.20
198704,8.29,4.23
198804,2.88,-1.18
198904,5.04,0.98
199004,5.29,1.23
199104,4.12,0.06
199204,2.5,-1.56
199304,4.91,0.85
199404,2.21,-1.85
199504,2.86,-1.20
199604,6.16,2.10
199704,4.72,0.66
199804,5.29,1.23
199904,1.4,-2.66
200004,5.95,1.89
200104,2.03,-2.03
200204,3.62,-0.44
200304,4.86,0.80
200404,7.85,3.79
200504,5.42,1.36
200604,2.97,-1.09
200704,8.16,4.10
200804,4.17,0.11
200904,5.55,1.49
201004,1.96,-2.10
201104,5.35,1.29
201204,3.22,-0.84
201304,1.8,-2.26
201404,4.58,0.52
201504,2.49,-1.57
