South Carolina, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,4.55,0.97
189605,2.96,-0.62
189705,2.54,-1.04
189805,1.35,-2.23
189905,1.9,-1.68
190005,2.4,-1.18
190105,6.94,3.36
190205,2.48,-1.10
190305,3.27,-0.31
190405,2.16,-1.42
190505,5.37,1.79
190605,3.31,-0.27
190705,4.36,0.78
190805,2.86,-0.72
190905,4.67,1.09
191005,3.67,0.09
191105,.56,-3.02
191205,4.06,0.48
191305,2.19,-1.39
191405,.8,-2.78
191505,7.16,3.58
191605,2.45,-1.13
191705,2.94,-0.64
191805,3.47,-0.11
191905,4.62,1.04
192005,1.83,-1.75
192105,5.22,1.64
192205,6.25,2.67
192305,6.45,2.87
192405,4.45,0.87
192505,2.14,-1.44
192605,1.28,-2.30
192705,1.78,-1.80
192805,4.74,1.16
192905,6.52,2.94
193005,2.21,-1.37
193105,4.28,0.70
193205,3.18,-0.40
193305,3.21,-0.37
193405,5.79,2.21
193505,2.31,-1.27
193605,.62,-2.96
193705,1.92,-1.66
193805,4,0.42
193905,3.56,-0.02
194005,2.82,-0.76
194105,.41,-3.17
194205,4.32,0.74
194305,2.96,-0.62
194405,2.09,-1.49
194505,2.95,-0.63
194605,4.42,0.84
194705,3.23,-0.35
194805,5.63,2.05
194905,3.48,-0.10
195005,4.36,0.78
195105,.83,-2.75
195205,3.72,0.14
195305,3.76,0.18
195405,3.27,-0.31
195505,4.15,0.57
195605,2.69,-0.89
195705,6,2.42
195805,3.34,-0.24
195905,4.61,1.03
196005,2.33,-1.25
196105,3.99,0.41
196205,2.01,-1.57
196305,3.46,-0.12
196405,2.75,-0.83
196505,2.17,-1.41
196605,6.05,2.47
196705,5.49,1.91
196805,3.49,-0.09
196905,4.33,0.75
197005,3.31,-0.27
197105,4.17,0.59
197205,6.16,2.58
197305,3.93,0.35
197405,5.03,1.45
197505,6.56,2.98
197605,7.42,3.84
197705,2.89,-0.69
197805,4.28,0.70
197905,5.72,2.14
198005,4.14,0.56
198105,3.35,-0.23
198205,2.91,-0.67
198305,2.13,-1.45
198405,6.02,2.44
198505,3.09,-0.49
198605,2.94,-0.64
198705,1.98,-1.60
198805,2.5,-1.08
198905,3.64,0.06
199005,3.44,-0.14
199105,5.12,1.54
199205,3.49,-0.09
199305,2.32,-1.26
199405,2.02,-1.56
199505,2.83,-0.75
199605,2.84,-0.74
199705,2.43,-1.15
199805,3.65,0.07
199905,2.38,-1.20
200005,1.21,-2.37
200105,2.61,-0.97
200205,3.49,-0.09
200305,5.72,2.14
200405,2.89,-0.69
200505,3.77,0.19
200605,2.54,-1.04
200705,1.44,-2.14
200805,2.74,-0.84
200905,5.68,2.10
201005,3.6,0.02
201105,2.95,-0.63
201205,5.72,2.14
201305,3.56,-0.02
201405,3.97,0.39
201505,1.63,-1.95
