Tennessee, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,3.74,-0.77
189604,3.68,-0.83
189704,6.31,1.80
189804,4.24,-0.27
189904,3.49,-1.02
190004,4.73,0.22
190104,4.88,0.37
190204,2.71,-1.80
190304,4.62,0.11
190404,3.17,-1.34
190504,3.37,-1.14
190604,2.42,-2.09
190704,4.28,-0.23
190804,5.14,0.63
190904,5.37,0.86
191004,4.8,0.29
191104,8.46,3.95
191204,9.67,5.16
191304,3.01,-1.50
191404,4.14,-0.37
191504,1.11,-3.40
191604,2.69,-1.82
191704,4.19,-0.32
191804,5.62,1.11
191904,3.24,-1.27
192004,8.13,3.62
192104,5.31,0.80
192204,5.4,0.89
192304,5.31,0.80
192404,4.76,0.25
192504,3.28,-1.23
192604,2.5,-2.01
192704,7.35,2.84
192804,5.87,1.36
192904,5.19,0.68
193004,1.53,-2.98
193104,3.51,-1.00
193204,4.92,0.41
193304,4.07,-0.44
193404,2.27,-2.24
193504,4.7,0.19
193604,4.28,-0.23
193704,4.26,-0.25
193804,4.51,0.00
193904,5.17,0.66
194004,4.53,0.02
194104,3.67,-0.84
194204,2.73,-1.78
194304,3.76,-0.75
194404,5.37,0.86
194504,5.19,0.68
194604,3.22,-1.29
194704,4.1,-0.41
194804,2.86,-1.65
194904,3.9,-0.61
195004,2.19,-2.32
195104,4.82,0.31
195204,2.65,-1.86
195304,5.37,0.86
195404,4.19,-0.32
195504,5.75,1.24
195604,5.85,1.34
195704,5.33,0.82
195804,6.49,1.98
195904,3.82,-0.69
196004,2.28,-2.23
196104,4.15,-0.36
196204,4.91,0.40
196304,3.8,-0.71
196404,8.13,3.62
196504,4.6,0.09
196604,4.88,0.37
196704,3.46,-1.05
196804,5.28,0.77
196904,5.88,1.37
197004,7.45,2.94
197104,3.12,-1.39
197204,4.21,-0.30
197304,6.71,2.20
197404,4.92,0.41
197504,2.89,-1.62
197604,1.31,-3.20
197704,6.76,2.25
197804,3,-1.51
197904,7.41,2.90
198004,4.43,-0.08
198104,4.22,-0.29
198204,5.12,0.61
198304,7.68,3.17
198404,5.63,1.12
198504,3.26,-1.25
198604,1.82,-2.69
198704,2.88,-1.63
198804,3.46,-1.05
198904,3.51,-1.00
199004,3.65,-0.86
199104,5.9,1.39
199204,2.13,-2.38
199304,4.2,-0.31
199404,6.55,2.04
199504,3.51,-1.00
199604,4.26,-0.25
199704,4.17,-0.34
199804,8.4,3.89
199904,4.01,-0.50
200004,6.44,1.93
200104,2.93,-1.58
200204,2.43,-2.08
200304,5.14,0.63
200404,4.92,0.41
200504,6.05,1.54
200604,5.49,0.98
200704,3.74,-0.77
200804,5.76,1.25
200904,4.33,-0.18
201004,3.09,-1.42
201104,9.83,5.32
201204,2.01,-2.50
201304,7.88,3.37
201404,5.81,1.30
201504,5.96,1.45
