Vermont, Precipitation, July
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189507,3.34,-0.81
189607,3.98,-0.17
189707,10.09,5.94
189807,2.38,-1.77
189907,4.8,0.65
190007,3.98,-0.17
190107,4.47,0.32
190207,4.99,0.84
190307,4.95,0.80
190407,3.93,-0.22
190507,6.15,2.00
190607,3.75,-0.40
190707,4.29,0.14
190807,2.86,-1.29
190907,2.66,-1.49
191007,2.44,-1.71
191107,4.08,-0.07
191207,2.83,-1.32
191307,4.06,-0.09
191407,4.02,-0.13
191507,8.4,4.25
191607,3.56,-0.59
191707,3.4,-0.75
191807,3.04,-1.11
191907,2.77,-1.38
192007,4.96,0.81
192107,4.22,0.07
192207,2.33,-1.82
192307,3.46,-0.69
192407,3.86,-0.29
192507,5.33,1.18
192607,4.35,0.20
192707,4.33,0.18
192807,3.68,-0.47
192907,2.28,-1.87
193007,4.45,0.30
193107,7.08,2.93
193207,5.74,1.59
193307,2.86,-1.29
193407,3.39,-0.76
193507,5.27,1.12
193607,3.79,-0.36
193707,3.92,-0.23
193807,6.68,2.53
193907,2.76,-1.39
194007,4.06,-0.09
194107,5.62,1.47
194207,2.85,-1.30
194307,4.68,0.53
194407,4.21,0.06
194507,6.23,2.08
194607,3.63,-0.52
194707,6.42,2.27
194807,3.86,-0.29
194907,4.09,-0.06
195007,3.12,-1.03
195107,5.53,1.38
195207,2.89,-1.26
195307,2.74,-1.41
195407,3.41,-0.74
195507,2.35,-1.80
195607,4.08,-0.07
195707,4.85,0.70
195807,5.49,1.34
195907,1.91,-2.24
196007,4.33,0.18
196107,4.28,0.13
196207,5.13,0.98
196307,2.94,-1.21
196407,3.38,-0.77
196507,3.01,-1.14
196607,3.56,-0.59
196707,4.29,0.14
196807,2.92,-1.23
196907,4.84,0.69
197007,2.48,-1.67
197107,4.5,0.35
197207,5.95,1.80
197307,4.03,-0.12
197407,5.44,1.29
197507,4.69,0.54
197607,5.97,1.82
197707,2.37,-1.78
197807,3.3,-0.85
197907,3.33,-0.82
198007,4.06,-0.09
198107,4.87,0.72
198207,2.42,-1.73
198307,2.86,-1.29
198407,5.59,1.44
198507,3.23,-0.92
198607,5.63,1.48
198707,3.93,-0.22
198807,4.76,0.61
198907,3.44,-0.71
199007,3.76,-0.39
199107,2.65,-1.50
199207,4.36,0.21
199307,3.47,-0.68
199407,4.68,0.53
199507,4.82,0.67
199607,7.44,3.29
199707,4.56,0.41
199807,5.14,0.99
199907,3.79,-0.36
200007,4.95,0.80
200107,3.38,-0.77
200207,3.32,-0.83
200307,4.42,0.27
200407,5.54,1.39
200507,4.22,0.07
200607,5.01,0.86
200707,5.81,1.66
200807,7.26,3.11
200907,7.06,2.91
201007,3.98,-0.17
201107,3.43,-0.72
201207,3.54,-0.61
201307,6.33,2.18
201407,6.27,2.12
201507,4.08,-0.07
