Wyoming, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,2.41,0.57
189606,1.47,-0.37
189706,1.3,-0.54
189806,1.34,-0.50
189906,2.34,0.50
190006,.51,-1.33
190106,1.97,0.13
190206,1.39,-0.45
190306,1.16,-0.68
190406,1.84,0.00
190506,1.93,0.09
190606,1.31,-0.53
190706,1.9,0.06
190806,2.54,0.70
190906,2.03,0.19
191006,.97,-0.87
191106,1.6,-0.24
191206,1.3,-0.54
191306,2.01,0.17
191406,1.37,-0.47
191506,2.75,0.91
191606,.93,-0.91
191706,.91,-0.93
191806,1.61,-0.23
191906,.5,-1.34
192006,1.28,-0.56
192106,2.21,0.37
192206,1.17,-0.67
192306,2.1,0.26
192406,.61,-1.23
192506,2.26,0.42
192606,1.64,-0.20
192706,2.28,0.44
192806,2.84,1.00
192906,1.11,-0.73
193006,.98,-0.86
193106,1.11,-0.73
193206,1.89,0.05
193306,.53,-1.31
193406,1.63,-0.21
193506,.92,-0.92
193606,1.83,-0.01
193706,2.26,0.42
193806,1.44,-0.40
193906,1.73,-0.11
194006,1.36,-0.48
194106,2.69,0.85
194206,1.21,-0.63
194306,2.15,0.31
194406,3.54,1.70
194506,3.72,1.88
194606,1.9,0.06
194706,3.97,2.13
194806,2.65,0.81
194906,2.11,0.27
195006,1.31,-0.53
195106,1.93,0.09
195206,1.51,-0.33
195306,1.55,-0.29
195406,1.26,-0.58
195506,2.12,0.28
195606,.62,-1.22
195706,2.5,0.66
195806,2.03,0.19
195906,1.96,0.12
196006,1.38,-0.46
196106,.98,-0.86
196206,2.32,0.48
196306,2.87,1.03
196406,3.34,1.50
196506,2.74,0.90
196606,1.51,-0.33
196706,4.33,2.49
196806,2.73,0.89
196906,3.5,1.66
197006,2.43,0.59
197106,.94,-0.90
197206,2.13,0.29
197306,1.22,-0.62
197406,1.09,-0.75
197506,2.22,0.38
197606,2.42,0.58
197706,1.06,-0.78
197806,.88,-0.96
197906,1.18,-0.66
198006,.87,-0.97
198106,1.09,-0.75
198206,2.32,0.48
198306,2.05,0.21
198406,1.9,0.06
198506,1.52,-0.32
198606,2.01,0.17
198706,1.52,-0.32
198806,.85,-0.99
198906,1.58,-0.26
199006,1.19,-0.65
199106,2.24,0.40
199206,2.5,0.66
199306,3.36,1.52
199406,.92,-0.92
199506,2.71,0.87
199606,.9,-0.94
199706,2.14,0.30
199806,3.33,1.49
199906,2.17,0.33
200006,1.14,-0.70
200106,1.25,-0.59
200206,.66,-1.18
200306,2.19,0.35
200406,1.66,-0.18
200506,1.88,0.04
200606,.64,-1.20
200706,1.08,-0.76
200806,1.43,-0.41
200906,3.22,1.38
201006,2.63,0.79
201106,1.59,-0.25
201206,.45,-1.39
201306,.68,-1.16
201406,1.77,-0.07
201506,1.89,0.05
