Florida, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,79.4,0.3
189609,79.1,0.0
189709,77,-2.1
189809,79.8,0.7
189909,78.3,-0.8
190009,80.2,1.1
190109,78.8,-0.3
190209,78.7,-0.4
190309,77.4,-1.7
190409,79.1,0.0
190509,80.3,1.2
190609,80.2,1.1
190709,79.5,0.4
190809,78,-1.1
190909,78.3,-0.8
191009,78.8,-0.3
191109,80.5,1.4
191209,79.8,0.7
191309,77.2,-1.9
191409,77.1,-2.0
191509,80,0.9
191609,77.7,-1.4
191709,77.4,-1.7
191809,76.7,-2.4
191909,78.9,-0.2
192009,79.3,0.2
192109,81,1.9
192209,78,-1.1
192309,78.9,-0.2
192409,78.1,-1.0
192509,82.3,3.2
192609,80.5,1.4
192709,78.8,-0.3
192809,78.2,-0.9
192909,78.5,-0.6
193009,80,0.9
193109,79.8,0.7
193209,78.5,-0.6
193309,81,1.9
193409,78.8,-0.3
193509,78.2,-0.9
193609,79.9,0.8
193709,77.9,-1.2
193809,78.1,-1.0
193909,79.7,0.6
194009,76.8,-2.3
194109,79.7,0.6
194209,78.9,-0.2
194309,78.1,-1.0
194409,80.4,1.3
194509,80.1,1.0
194609,78.5,-0.6
194709,78.8,-0.3
194809,78.3,-0.8
194909,79.2,0.1
195009,78.2,-0.9
195109,80.3,1.2
195209,78.8,-0.3
195309,78.5,-0.6
195409,80.3,1.2
195509,80.2,1.1
195609,77.2,-1.9
195709,79.3,0.2
195809,80.3,1.2
195909,79.1,0.0
196009,79.1,0.0
196109,79,-0.1
196209,78.8,-0.3
196309,78.6,-0.5
196409,78.5,-0.6
196509,79.2,0.1
196609,78.6,-0.5
196709,76.7,-2.4
196809,78.4,-0.7
196909,78.3,-0.8
197009,80.4,1.3
197109,79,-0.1
197209,79.5,0.4
197309,80,0.9
197409,79.9,0.8
197509,78.5,-0.6
197609,78.1,-1.0
197709,80.3,1.2
197809,79.8,0.7
197909,79.5,0.4
198009,80.5,1.4
198109,77.9,-1.2
198209,78.2,-0.9
198309,77.9,-1.2
198409,77.9,-1.2
198509,78.4,-0.7
198609,80.3,1.2
198709,79.6,0.5
198809,80.3,1.2
198909,79.8,0.7
199009,80,0.9
199109,79.7,0.6
199209,79.4,0.3
199309,79.9,0.8
199409,78.2,-0.9
199509,79.9,0.8
199609,79.1,0.0
199709,79.8,0.7
199809,80.3,1.2
199909,78.9,-0.2
200009,79.5,0.4
200109,77.6,-1.5
200209,81.1,2.0
200309,78.9,-0.2
200409,79.9,0.8
200509,80.8,1.7
200609,79.3,0.2
200709,80.5,1.4
200809,79.7,0.6
200909,80.5,1.4
201009,80.9,1.8
201109,79.7,0.6
201209,79.5,0.4
201309,80,0.9
201409,79.7,0.6
201509,80,0.9
