Iowa, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,71.6,-2.3
189607,72.3,-1.6
189707,75,1.1
189807,72.9,-1.0
189907,72.5,-1.4
190007,73.1,-0.8
190107,82,8.1
190207,72.6,-1.3
190307,72.4,-1.5
190407,70.2,-3.7
190507,70.2,-3.7
190607,70.6,-3.3
190707,73.4,-0.5
190807,72.7,-1.2
190907,71.8,-2.1
191007,74.2,0.3
191107,75,1.1
191207,74.1,0.2
191307,75.7,1.8
191407,76.2,2.3
191507,69,-4.9
191607,79.3,5.4
191707,74,0.1
191807,72.5,-1.4
191907,76.8,2.9
192007,71.7,-2.2
192107,77.3,3.4
192207,70.9,-3.0
192307,75.9,2.0
192407,69.4,-4.5
192507,73.5,-0.4
192607,74.2,0.3
192707,72.3,-1.6
192807,73.3,-0.6
192907,73.5,-0.4
193007,77.3,3.4
193107,76.6,2.7
193207,75.3,1.4
193307,75.5,1.6
193407,78.9,5.0
193507,78.8,4.9
193607,82.7,8.8
193707,75.3,1.4
193807,75.9,2.0
193907,75.6,1.7
194007,76.1,2.2
194107,74.5,0.6
194207,73.6,-0.3
194307,74.7,0.8
194407,72,-1.9
194507,71.4,-2.5
194607,73.1,-0.8
194707,72.1,-1.8
194807,74.3,0.4
194907,75.6,1.7
195007,69,-4.9
195107,71.3,-2.6
195207,73.9,0.0
195307,73.8,-0.1
195407,76.6,2.7
195507,78.9,5.0
195607,71.9,-2.0
195707,77.1,3.2
195807,69.6,-4.3
195907,71.6,-2.3
196007,71.9,-2.0
196107,71.9,-2.0
196207,70.9,-3.0
196307,74,0.1
196407,75.8,1.9
196507,72.5,-1.4
196607,76,2.1
196707,70.5,-3.4
196807,72.4,-1.5
196907,73.9,0.0
197007,73.7,-0.2
197107,69.9,-4.0
197207,71.5,-2.4
197307,73.2,-0.7
197407,77,3.1
197507,74.3,0.4
197607,74.5,0.6
197707,76.6,2.7
197807,72.7,-1.2
197907,72.2,-1.7
198007,76.7,2.8
198107,73.3,-0.6
198207,74.1,0.2
198307,77.2,3.3
198407,72.2,-1.7
198507,72.7,-1.2
198607,75.3,1.4
198707,76.3,2.4
198807,75.5,1.6
198907,75,1.1
199007,72.3,-1.6
199107,73.6,-0.3
199207,68.3,-5.6
199307,71.9,-2.0
199407,70.3,-3.6
199507,73.9,0.0
199607,70.5,-3.4
199707,73.4,-0.5
199807,73.8,-0.1
199907,76.8,2.9
200007,72.2,-1.7
200107,75.1,1.2
200207,76.5,2.6
200307,73.1,-0.8
200407,70.5,-3.4
200507,74.7,0.8
200607,75.9,2.0
200707,73.7,-0.2
200807,73.1,-0.8
200907,68,-5.9
201007,74.6,0.7
201107,78,4.1
201207,79.6,5.7
201307,72.3,-1.6
201407,68.8,-5.1
201507,72,-1.9
