Kansas, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,42,-0.4
189603,37.6,-4.8
189703,41.6,-0.8
189803,41.3,-1.1
189903,35.8,-6.6
190003,41.4,-1.0
190103,40.6,-1.8
190203,44,1.6
190303,40.9,-1.5
190403,45.1,2.7
190503,48.5,6.1
190603,31.6,-10.8
190703,50.5,8.1
190803,46.3,3.9
190903,40.4,-2.0
191003,54.4,12.0
191103,46.4,4.0
191203,30.3,-12.1
191303,38.5,-3.9
191403,42.3,-0.1
191503,31.2,-11.2
191603,46.5,4.1
191703,41.6,-0.8
191803,48.1,5.7
191903,42.6,0.2
192003,43.7,1.3
192103,48.7,6.3
192203,41.5,-0.9
192303,39.4,-3.0
192403,33.9,-8.5
192503,47.3,4.9
192603,39.9,-2.5
192703,41.5,-0.9
192803,45.2,2.8
192903,45.3,2.9
193003,40.7,-1.7
193103,37.6,-4.8
193203,35.5,-6.9
193303,44.8,2.4
193403,42.7,0.3
193503,49.4,7.0
193603,46.9,4.5
193703,38.5,-3.9
193803,49.4,7.0
193903,44,1.6
194003,43.3,0.9
194103,38.9,-3.5
194203,42.9,0.5
194303,38.1,-4.3
194403,37.6,-4.8
194503,48.7,6.3
194603,50.7,8.3
194703,37.6,-4.8
194803,35.4,-7.0
194903,41.4,-1.0
195003,40,-2.4
195103,38.1,-4.3
195203,37.3,-5.1
195303,46.2,3.8
195403,40,-2.4
195503,41.4,-1.0
195603,43.6,1.2
195703,41.3,-1.1
195803,31.9,-10.5
195903,43.2,0.8
196003,31.4,-11.0
196103,43.2,0.8
196203,39.3,-3.1
196303,46.7,4.3
196403,39.6,-2.8
196503,32.6,-9.8
196603,46.1,3.7
196703,47.2,4.8
196803,46.4,4.0
196903,34,-8.4
197003,37.3,-5.1
197103,41.3,-1.1
197203,47.8,5.4
197303,45.4,3.0
197403,46.7,4.3
197503,37.9,-4.5
197603,43.9,1.5
197703,46.3,3.9
197803,41.2,-1.2
197903,43.7,1.3
198003,38.8,-3.6
198103,45.3,2.9
198203,43.2,0.8
198303,41.8,-0.6
198403,38.5,-3.9
198503,46.5,4.1
198603,49.8,7.4
198703,43.8,1.4
198803,43.1,0.7
198903,43.8,1.4
199003,45.3,2.9
199103,46.8,4.4
199203,47.8,5.4
199303,41,-1.4
199403,47.2,4.8
199503,43.3,0.9
199603,37.8,-4.6
199703,46.6,4.2
199803,38.2,-4.2
199903,42.8,0.4
200003,46.3,3.9
200103,41.1,-1.3
200203,39.2,-3.2
200303,44.2,1.8
200403,49.2,6.8
200503,44.7,2.3
200603,45.6,3.2
200703,52.3,9.9
200803,43.3,0.9
200903,44.4,2.0
201003,44.2,1.8
201103,44.1,1.7
201203,55.5,13.1
201303,40.3,-2.1
201403,40.6,-1.8
201503,46.8,4.4
