Massachusetts, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,67.4,-0.2
189608,68.1,0.5
189708,65.6,-2.0
189808,69.1,1.5
189908,66.6,-1.0
190008,68.7,1.1
190108,68.2,0.6
190208,64.3,-3.3
190308,61.4,-6.2
190408,65.2,-2.4
190508,65,-2.6
190608,69.6,2.0
190708,65.5,-2.1
190808,65.4,-2.2
190908,65.5,-2.1
191008,65.3,-2.3
191108,66.4,-1.2
191208,64.5,-3.1
191308,66.9,-0.7
191408,67.1,-0.5
191508,65,-2.6
191608,68.2,0.6
191708,69.6,2.0
191808,68.3,0.7
191908,64.5,-3.1
192008,69.2,1.6
192108,65.2,-2.4
192208,66.5,-1.1
192308,65.2,-2.4
192408,67.1,-0.5
192508,67,-0.6
192608,67.3,-0.3
192708,63.6,-4.0
192808,70.1,2.5
192908,65.3,-2.3
193008,66.4,-1.2
193108,68.2,0.6
193208,68.5,0.9
193308,67.6,0.0
193408,64.8,-2.8
193508,68,0.4
193608,67.8,0.2
193708,71.6,4.0
193808,70.5,2.9
193908,71,3.4
194008,65.1,-2.5
194108,66.2,-1.4
194208,66.8,-0.8
194308,67.2,-0.4
194408,70.5,2.9
194508,66.9,-0.7
194608,64.4,-3.2
194708,70.1,2.5
194808,69.6,2.0
194908,70.3,2.7
195008,66.9,-0.7
195108,66.8,-0.8
195208,68.3,0.7
195308,67.3,-0.3
195408,65.3,-2.3
195508,71.1,3.5
195608,67.4,-0.2
195708,65.1,-2.5
195808,67.6,0.0
195908,70.4,2.8
196008,67.7,0.1
196108,68,0.4
196208,66.3,-1.3
196308,65.8,-1.8
196408,63.1,-4.5
196508,68,0.4
196608,68.1,0.5
196708,67.8,0.2
196808,67,-0.6
196908,70.2,2.6
197008,69.4,1.8
197108,68.5,0.9
197208,66.9,-0.7
197308,71.5,3.9
197408,68.7,1.1
197508,68.3,0.7
197608,67.2,-0.4
197708,68.6,1.0
197808,68.8,1.2
197908,67.8,0.2
198008,70.1,2.5
198108,67.5,-0.1
198208,65.4,-2.2
198308,69.5,1.9
198408,70.6,3.0
198508,67.4,-0.2
198608,66,-1.6
198708,66.4,-1.2
198808,71.6,4.0
198908,68.2,0.6
199008,70,2.4
199108,70,2.4
199208,66.4,-1.2
199308,69.9,2.3
199408,67.2,-0.4
199508,68.9,1.3
199608,69,1.4
199708,67.6,0.0
199808,70.3,2.7
199908,68.5,0.9
200008,67,-0.6
200108,71.7,4.1
200208,71.4,3.8
200308,71.5,3.9
200408,69,1.4
200508,72.1,4.5
200608,68.3,0.7
200708,69.4,1.8
200808,67.2,-0.4
200908,71,3.4
201008,70.1,2.5
201108,69.8,2.2
201208,71.5,3.9
201308,68.1,0.5
201408,67.2,-0.4
201508,71.2,3.6
