Maryland, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,23.6,-10.2
189602,34.2,0.4
189702,34.4,0.6
189802,33.3,-0.5
189902,26,-7.8
190002,31.8,-2.0
190102,27.1,-6.7
190202,27.3,-6.5
190302,35,1.2
190402,26.2,-7.6
190502,24.5,-9.3
190602,32.6,-1.2
190702,27.3,-6.5
190802,29,-4.8
190902,41,7.2
191002,32.7,-1.1
191102,35,1.2
191202,28.7,-5.1
191302,33.6,-0.2
191402,28.1,-5.7
191502,36.6,2.8
191602,31.8,-2.0
191702,31.2,-2.6
191802,33.1,-0.7
191902,34.4,0.6
192002,30.4,-3.4
192102,36.8,3.0
192202,36.2,2.4
192302,30,-3.8
192402,31.7,-2.1
192502,40.1,6.3
192602,33.8,0.0
192702,39.2,5.4
192802,34.7,0.9
192902,32.2,-1.6
193002,38.6,4.8
193102,36,2.2
193202,39.9,6.1
193302,35.8,2.0
193402,21.9,-11.9
193502,32.5,-1.3
193602,25.9,-7.9
193702,34.4,0.6
193802,38.3,4.5
193902,38.8,5.0
194002,33.3,-0.5
194102,30.7,-3.1
194202,31.2,-2.6
194302,35.4,1.6
194402,34.8,1.0
194502,34.5,0.7
194602,35.8,2.0
194702,28.7,-5.1
194802,33.4,-0.4
194902,40.5,6.7
195002,35.1,1.3
195102,35.6,1.8
195202,37.3,3.5
195302,38.9,5.1
195402,40.1,6.3
195502,34.2,0.4
195602,37.8,4.0
195702,38.1,4.3
195802,28,-5.8
195902,34.9,1.1
196002,35,1.2
196102,35.8,2.0
196202,32,-1.8
196302,27.4,-6.4
196402,32.3,-1.5
196502,34.2,0.4
196602,32.7,-1.1
196702,30.4,-3.4
196802,29.7,-4.1
196902,32.5,-1.3
197002,33.2,-0.6
197102,35,1.2
197202,32.2,-1.6
197302,32.9,-0.9
197402,33.9,0.1
197502,36.1,2.3
197602,42.2,8.4
197702,34.1,0.3
197802,24.4,-9.4
197902,23.3,-10.5
198002,29.9,-3.9
198102,37.4,3.6
198202,34.6,0.8
198302,34.4,0.6
198402,39.7,5.9
198502,34.8,1.0
198602,32.7,-1.1
198702,32.8,-1.0
198802,34.8,1.0
198902,35,1.2
199002,41.9,8.1
199102,39.6,5.8
199202,37.5,3.7
199302,31.4,-2.4
199402,32.8,-1.0
199502,31.8,-2.0
199602,34.1,0.3
199702,40,6.2
199802,40.5,6.7
199902,37.5,3.7
200002,38.7,4.9
200102,38.1,4.3
200202,39.9,6.1
200302,31,-2.8
200402,34.5,0.7
200502,36.6,2.8
200602,36.1,2.3
200702,28.3,-5.5
200802,37.2,3.4
200902,37.2,3.4
201002,30.8,-3.0
201102,37.6,3.8
201202,40.5,6.7
201302,34.5,0.7
201402,32.8,-1.0
201502,25.3,-8.5
