Maryland, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,60.8,-1.5
189605,67,4.7
189705,60.5,-1.8
189805,62.4,0.1
189905,62.7,0.4
190005,62.7,0.4
190105,60.8,-1.5
190205,63.2,0.9
190305,63,0.7
190405,63.1,0.8
190505,64,1.7
190605,63,0.7
190705,57.9,-4.4
190805,63.3,1.0
190905,61.8,-0.5
191005,60,-2.3
191105,67,4.7
191205,63.3,1.0
191305,62,-0.3
191405,64.5,2.2
191505,60.4,-1.9
191605,64.3,2.0
191705,57.1,-5.2
191805,67.3,5.0
191905,62.3,0.0
192005,57.9,-4.4
192105,60.8,-1.5
192205,64.3,2.0
192305,60.7,-1.6
192405,58.5,-3.8
192505,58.5,-3.8
192605,61.5,-0.8
192705,61.1,-1.2
192805,60,-2.3
192905,61.5,-0.8
193005,64.5,2.2
193105,61.8,-0.5
193205,61.5,-0.8
193305,64.8,2.5
193405,63.7,1.4
193505,59,-3.3
193605,64.3,2.0
193705,62.8,0.5
193805,61,-1.3
193905,64.3,2.0
194005,61.6,-0.7
194105,63.8,1.5
194205,65.8,3.5
194305,64.4,2.1
194405,68,5.7
194505,59.8,-2.5
194605,62.3,0.0
194705,62,-0.3
194805,61.9,-0.4
194905,62.6,0.3
195005,61.2,-1.1
195105,61.8,-0.5
195205,61.1,-1.2
195305,66.4,4.1
195405,59.9,-2.4
195505,64.3,2.0
195605,60.8,-1.5
195705,63.8,1.5
195805,61.4,-0.9
195905,65.9,3.6
196005,60.5,-1.8
196105,59,-3.3
196205,65.4,3.1
196305,61,-1.3
196405,63.8,1.5
196505,66.2,3.9
196605,60.8,-1.5
196705,56.4,-5.9
196805,59.2,-3.1
196905,63,0.7
197005,64.5,2.2
197105,59.7,-2.6
197205,61.5,-0.8
197305,59.7,-2.6
197405,61.6,-0.7
197505,64.5,2.2
197605,60.6,-1.7
197705,64.6,2.3
197805,60.4,-1.9
197905,62.9,0.6
198005,64,1.7
198105,60.9,-1.4
198205,64.7,2.4
198305,60.6,-1.7
198405,61.4,-0.9
198505,64.3,2.0
198605,64.8,2.5
198705,64,1.7
198805,62.5,0.2
198905,60.9,-1.4
199005,61,-1.3
199105,68.8,6.5
199205,59.2,-3.1
199305,64,1.7
199405,59.3,-3.0
199505,61.9,-0.4
199605,60.4,-1.9
199705,59.1,-3.2
199805,65.3,3.0
199905,63.2,0.9
200005,64.9,2.6
200105,62.6,0.3
200205,62.1,-0.2
200305,59.8,-2.5
200405,69.3,7.0
200505,58.7,-3.6
200605,62.1,-0.2
200705,64.6,2.3
200805,60.4,-1.9
200905,63.4,1.1
201005,65.7,3.4
201105,65.8,3.5
201205,67.7,5.4
201305,62.8,0.5
201405,64.2,1.9
201505,67.7,5.4
