Maine, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,38.1,-0.2
189604,38.3,0.0
189704,38.3,0.0
189804,36.3,-2.0
189904,39,0.7
190004,39.5,1.2
190104,40.4,2.1
190204,39.2,0.9
190304,38.9,0.6
190404,36.5,-1.8
190504,38.2,-0.1
190604,35.7,-2.6
190704,35.1,-3.2
190804,35.2,-3.1
190904,35.6,-2.7
191004,43,4.7
191104,36.3,-2.0
191204,36.5,-1.8
191304,40.3,2.0
191404,33.6,-4.7
191504,40.6,2.3
191604,39.2,0.9
191704,36.5,-1.8
191804,39,0.7
191904,37.3,-1.0
192004,35.9,-2.4
192104,42.8,4.5
192204,39.6,1.3
192304,34.7,-3.6
192404,35.9,-2.4
192504,38.6,0.3
192604,31.8,-6.5
192704,38.4,0.1
192804,35.7,-2.6
192904,36.8,-1.5
193004,36.5,-1.8
193104,41,2.7
193204,37.9,-0.4
193304,38.4,0.1
193404,39.9,1.6
193504,37.9,-0.4
193604,37,-1.3
193704,39.1,0.8
193804,40.6,2.3
193904,34.8,-3.5
194004,35.7,-2.6
194104,42.6,4.3
194204,40.1,1.8
194304,33.7,-4.6
194404,34.9,-3.4
194504,43.6,5.3
194604,36.8,-1.5
194704,34.7,-3.6
194804,38,-0.3
194904,41.7,3.4
195004,37,-1.3
195104,41.5,3.2
195204,40.4,2.1
195304,41,2.7
195404,38,-0.3
195504,39.7,1.4
195604,36.6,-1.7
195704,39.2,0.9
195804,40.9,2.6
195904,39.4,1.1
196004,38,-0.3
196104,37.2,-1.1
196204,38,-0.3
196304,37.6,-0.7
196404,37.5,-0.8
196504,36.9,-1.4
196604,37.2,-1.1
196704,35.7,-2.6
196804,41.9,3.6
196904,36.5,-1.8
197004,38.1,-0.2
197104,37.2,-1.1
197204,34.7,-3.6
197304,39.9,1.6
197404,38.2,-0.1
197504,34.9,-3.4
197604,40.5,2.2
197704,37.9,-0.4
197804,36.2,-2.1
197904,39.7,1.4
198004,40.8,2.5
198104,41,2.7
198204,36.3,-2.0
198304,40.7,2.4
198404,39.9,1.6
198504,38.1,-0.2
198604,43.3,5.0
198704,43.4,5.1
198804,39.6,1.3
198904,36.9,-1.4
199004,39.9,1.6
199104,40.9,2.6
199204,36.9,-1.4
199304,39.8,1.5
199404,38.5,0.2
199504,35.8,-2.5
199604,39.1,0.8
199704,36.8,-1.5
199804,41.4,3.1
199904,40.4,2.1
200004,39.1,0.8
200104,38.1,-0.2
200204,39.9,1.6
200304,35.7,-2.6
200404,39.6,1.3
200504,41.1,2.8
200604,42.3,4.0
200704,37,-1.3
200804,41.5,3.2
200904,41.9,3.6
201004,44.9,6.6
201104,39,0.7
201204,42.2,3.9
201304,39.1,0.8
201404,38.7,0.4
201504,37.8,-0.5
