Minnesota, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189511,24.9,-3.0
189611,14.8,-13.1
189711,22.9,-5.0
189811,23.8,-4.1
189911,36.6,8.7
190011,22.6,-5.3
190111,25.6,-2.3
190211,30.3,2.4
190311,24.1,-3.8
190411,34.1,6.2
190511,30.1,2.2
190611,28,0.1
190711,29.2,1.3
190811,31.4,3.5
190911,30.9,3.0
191011,23.1,-4.8
191111,17.9,-10.0
191211,31.7,3.8
191311,34.5,6.6
191411,30.3,2.4
191511,29.3,1.4
191611,28.4,0.5
191711,33.6,5.7
191811,32.2,4.3
191911,20.3,-7.6
192011,27.4,-0.5
192111,21.2,-6.7
192211,33.8,5.9
192311,34.1,6.2
192411,27.1,-0.8
192511,27.3,-0.6
192611,21.4,-6.5
192711,23.4,-4.5
192811,31.4,3.5
192911,23.5,-4.4
193011,30.4,2.5
193111,33.8,5.9
193211,24,-3.9
193311,24.2,-3.7
193411,33.2,5.3
193511,20.9,-7.0
193611,24,-3.9
193711,26.2,-1.7
193811,25.2,-2.7
193911,33.3,5.4
194011,23.4,-4.5
194111,30.5,2.6
194211,27.7,-0.2
194311,25.5,-2.4
194411,32.8,4.9
194511,26.1,-1.8
194611,27.2,-0.7
194711,22.3,-5.6
194811,29.8,1.9
194911,32.4,4.5
195011,23,-4.9
195111,21.1,-6.8
195211,30.6,2.7
195311,33.8,5.9
195411,33.4,5.5
195511,20.3,-7.6
195611,29.3,1.4
195711,28.5,0.6
195811,29.6,1.7
195911,19.2,-8.7
196011,30.6,2.7
196111,28.7,0.8
196211,33.3,5.4
196311,33.9,6.0
196411,29.9,2.0
196511,27.6,-0.3
196611,24.6,-3.3
196711,27.6,-0.3
196811,30,2.1
196911,29.2,1.3
197011,27.2,-0.7
197111,28.4,0.5
197211,27.5,-0.4
197311,28.8,0.9
197411,30.2,2.3
197511,31.6,3.7
197611,22.9,-5.0
197711,26.9,-1.0
197811,25.5,-2.4
197911,27.3,-0.6
198011,31.9,4.0
198111,35.2,7.3
198211,25.4,-2.5
198311,30.5,2.6
198411,29.2,1.3
198511,18.8,-9.1
198611,23.5,-4.4
198711,33.6,5.7
198811,28.6,0.7
198911,24,-3.9
199011,32.2,4.3
199111,21.5,-6.4
199211,26.9,-1.0
199311,25.3,-2.6
199411,33.4,5.5
199511,21.1,-6.8
199611,20.3,-7.6
199711,24.9,-3.0
199811,31.9,4.0
199911,37.6,9.7
200011,28.4,0.5
200111,40.7,12.8
200211,27.8,-0.1
200311,26.6,-1.3
200411,34,6.1
200511,32.3,4.4
200611,32,4.1
200711,30.4,2.5
200811,30.8,2.9
200911,37.8,9.9
201011,30.7,2.8
201111,32.9,5.0
201211,31,3.1
201311,27.6,-0.3
201411,21.5,-6.4
201511,36.5,8.6
