Montana, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189511,27.1,-2.4
189611,12.9,-16.6
189711,22.5,-7.0
189811,25.4,-4.1
189911,37,7.5
190011,25.4,-4.1
190111,33.4,3.9
190211,27.8,-1.7
190311,26.6,-2.9
190411,37.2,7.7
190511,31.5,2.0
190611,27.7,-1.8
190711,33.2,3.7
190811,32.6,3.1
190911,30.9,1.4
191011,29.8,0.3
191111,21.5,-8.0
191211,34.3,4.8
191311,33.6,4.1
191411,35.1,5.6
191511,30.2,0.7
191611,27.8,-1.7
191711,38.1,8.6
191811,27.8,-1.7
191911,21.5,-8.0
192011,28.4,-1.1
192111,26.8,-2.7
192211,28.7,-0.8
192311,35,5.5
192411,29,-0.5
192511,30.8,1.3
192611,28.8,-0.7
192711,25.4,-4.1
192811,31.4,1.9
192911,27.7,-1.8
193011,29.4,-0.1
193111,26.4,-3.1
193211,31.8,2.3
193311,34.4,4.9
193411,35.7,6.2
193511,24.9,-4.6
193611,30,0.5
193711,29.4,-0.1
193811,26.6,-2.9
193911,35.8,6.3
194011,22.3,-7.2
194111,33,3.5
194211,28.4,-1.1
194311,32.5,3.0
194411,27.7,-1.8
194511,27.1,-2.4
194611,25.2,-4.3
194711,25.6,-3.9
194811,29.6,0.1
194911,39.4,9.9
195011,26.1,-3.4
195111,27.9,-1.6
195211,27.7,-1.8
195311,36.1,6.6
195411,38.1,8.6
195511,17.6,-11.9
195611,30.5,1.0
195711,29.7,0.2
195811,29,-0.5
195911,24.5,-5.0
196011,29.6,0.1
196111,27,-2.5
196211,35,5.5
196311,32.6,3.1
196411,27.4,-2.1
196511,30.7,1.2
196611,27.1,-2.4
196711,30.2,0.7
196811,30.8,1.3
196911,33.7,4.2
197011,27.9,-1.6
197111,31.1,1.6
197211,30.1,0.6
197311,24.5,-5.0
197411,32.1,2.6
197511,28,-1.5
197611,29.7,0.2
197711,26.6,-2.9
197811,22,-7.5
197911,26.9,-2.6
198011,33.7,4.2
198111,34.8,5.3
198211,25.9,-3.6
198311,31.4,1.9
198411,30,0.5
198511,13,-16.5
198611,26.7,-2.8
198711,34.7,5.2
198811,30.6,1.1
198911,33,3.5
199011,33.1,3.6
199111,27.2,-2.3
199211,29.7,0.2
199311,25.2,-4.3
199411,27.5,-2.0
199511,31.4,1.9
199611,22.3,-7.2
199711,30.4,0.9
199811,33.1,3.6
199911,39,9.5
200011,22.1,-7.4
200111,36.3,6.8
200211,33.9,4.4
200311,24,-5.5
200411,33.6,4.1
200511,33.2,3.7
200611,30.3,0.8
200711,31.6,2.1
200811,35.8,6.3
200911,35.2,5.7
201011,26.6,-2.9
201111,30,0.5
201211,32.4,2.9
201311,30.4,0.9
201411,25.3,-4.2
201511,30,0.5
