New Mexico, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,31,-6.8
189602,36.5,-1.3
189702,36.9,-0.9
189802,41,3.2
189902,32.7,-5.1
190002,37.5,-0.3
190102,37.6,-0.2
190202,38.9,1.1
190302,30.9,-6.9
190402,42.7,4.9
190502,33.5,-4.3
190602,38.2,0.4
190702,42.9,5.1
190802,37.6,-0.2
190902,37.4,-0.4
191002,35.3,-2.5
191102,36.8,-1.0
191202,35.4,-2.4
191302,33.9,-3.9
191402,37,-0.8
191502,36.5,-1.3
191602,41.2,3.4
191702,37,-0.8
191802,40.2,2.4
191902,33.4,-4.4
192002,40.7,2.9
192102,38.7,0.9
192202,37.3,-0.5
192302,36,-1.8
192402,38.5,0.7
192502,40.7,2.9
192602,40.8,3.0
192702,41.9,4.1
192802,36.2,-1.6
192902,31.8,-6.0
193002,42,4.2
193102,38.7,0.9
193202,41.2,3.4
193302,31.3,-6.5
193402,41.5,3.7
193502,37.6,-0.2
193602,37.6,-0.2
193702,36.5,-1.3
193802,39,1.2
193902,29.6,-8.2
194002,36.5,-1.3
194102,39.9,2.1
194202,33.8,-4.0
194302,40.7,2.9
194402,37,-0.8
194502,39.9,2.1
194602,37,-0.8
194702,38.2,0.4
194802,35.1,-2.7
194902,35.1,-2.7
195002,41.1,3.3
195102,37.3,-0.5
195202,36.6,-1.2
195302,35.5,-2.3
195402,42.9,5.1
195502,32.7,-5.1
195602,32.8,-5.0
195702,45.2,7.4
195802,39.8,2.0
195902,36.8,-1.0
196002,32.5,-5.3
196102,37.9,0.1
196202,41.3,3.5
196302,38.8,1.0
196402,29.3,-8.5
196502,34.9,-2.9
196602,32.2,-5.6
196702,38.6,0.8
196802,39.5,1.7
196902,37.2,-0.6
197002,40,2.2
197102,36.7,-1.1
197202,39.7,1.9
197302,35.5,-2.3
197402,35.5,-2.3
197502,35.9,-1.9
197602,42.7,4.9
197702,38,0.2
197802,35.8,-2.0
197902,36.1,-1.7
198002,39.4,1.6
198102,39.8,2.0
198202,36.7,-1.1
198302,37.7,-0.1
198402,37.2,-0.6
198502,35.2,-2.6
198602,40.6,2.8
198702,37.2,-0.6
198802,39.1,1.3
198902,37.8,0.0
199002,37,-0.8
199102,40.7,2.9
199202,39.4,1.6
199302,38.2,0.4
199402,37.2,-0.6
199502,44,6.2
199602,42.9,5.1
199702,36.9,-0.9
199802,37.3,-0.5
199902,42.6,4.8
200002,43.7,5.9
200102,39.3,1.5
200202,37,-0.8
200302,38.6,0.8
200402,35,-2.8
200502,40.1,2.3
200602,40.1,2.3
200702,39.2,1.4
200802,39.6,1.8
200902,41.8,4.0
201002,35.1,-2.7
201102,35,-2.8
201202,38.2,0.4
201302,36.1,-1.7
201402,41.9,4.1
201502,41.5,3.7
