Oklahoma, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,77,0.1
189606,78.3,1.4
189706,77.4,0.5
189806,77.5,0.6
189906,76.8,-0.1
190006,77.9,1.0
190106,79.8,2.9
190206,77,0.1
190306,70.3,-6.6
190406,74.7,-2.2
190506,78.4,1.5
190606,75.1,-1.8
190706,75,-1.9
190806,75.4,-1.5
190906,76.7,-0.2
191006,76.6,-0.3
191106,83.8,6.9
191206,73.6,-3.3
191306,76.2,-0.7
191406,81.3,4.4
191506,74.2,-2.7
191606,75.2,-1.7
191706,76.5,-0.4
191806,81.3,4.4
191906,74.4,-2.5
192006,75.3,-1.6
192106,76.1,-0.8
192206,77.4,0.5
192306,76.8,-0.1
192406,80.2,3.3
192506,82.2,5.3
192606,76.4,-0.5
192706,75.7,-1.2
192806,73.8,-3.1
192906,76.8,-0.1
193006,76.7,-0.2
193106,79.3,2.4
193206,76.9,0.0
193306,80.3,3.4
193406,82.2,5.3
193506,74.5,-2.4
193606,80.4,3.5
193706,78.1,1.2
193806,76.7,-0.2
193906,78.3,1.4
194006,75.4,-1.5
194106,74.5,-2.4
194206,76.9,0.0
194306,79.2,2.3
194406,79,2.1
194506,74.7,-2.2
194606,76.5,-0.4
194706,76.9,0.0
194806,77.9,1.0
194906,77.7,0.8
195006,77,0.1
195106,74.9,-2.0
195206,82.4,5.5
195306,84.7,7.8
195406,79,2.1
195506,73.9,-3.0
195606,79.7,2.8
195706,75.3,-1.6
195806,78,1.1
195906,76.8,-0.1
196006,77.4,0.5
196106,74.1,-2.8
196206,74.8,-2.1
196306,78.7,1.8
196406,77.1,0.2
196506,76,-0.9
196606,76.7,-0.2
196706,76.6,-0.3
196806,76.2,-0.7
196906,75.2,-1.7
197006,76.4,-0.5
197106,78.9,2.0
197206,77.7,0.8
197306,75.7,-1.2
197406,74.5,-2.4
197506,75.6,-1.3
197606,74.7,-2.2
197706,79.6,2.7
197806,77.3,0.4
197906,75.4,-1.5
198006,80.3,3.4
198106,78.6,1.7
198206,72.6,-4.3
198306,73,-3.9
198406,78.6,1.7
198506,75.8,-1.1
198606,77.6,0.7
198706,76.3,-0.6
198806,77.6,0.7
198906,73,-3.9
199006,80.4,3.5
199106,77.5,0.6
199206,72.9,-4.0
199306,76.1,-0.8
199406,80.1,3.2
199506,73.6,-3.3
199606,77.5,0.6
199706,74.4,-2.5
199806,79.9,3.0
199906,75.1,-1.8
200006,74,-2.9
200106,76.8,-0.1
200206,77.2,0.3
200306,73.3,-3.6
200406,74.9,-2.0
200506,77.4,0.5
200606,77.9,1.0
200706,74.9,-2.0
200806,78.2,1.3
200906,79.1,2.2
201006,81,4.1
201106,83.4,6.5
201206,79.1,2.2
201306,78.1,1.2
201406,77.3,0.4
201506,78.4,1.5
