Oregon, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189511,34.3,-3.4
189611,32.3,-5.4
189711,36.8,-0.9
189811,34.6,-3.1
189911,40.5,2.8
190011,37.8,0.1
190111,39.7,2.0
190211,36.1,-1.6
190311,38.1,0.4
190411,41.2,3.5
190511,34.9,-2.8
190611,36.9,-0.8
190711,38.3,0.6
190811,39.1,1.4
190911,38.3,0.6
191011,37.1,-0.6
191111,35.9,-1.8
191211,38,0.3
191311,38.7,1.0
191411,38.3,0.6
191511,36.2,-1.5
191611,32.6,-5.1
191711,40.7,3.0
191811,36.1,-1.6
191911,35.2,-2.5
192011,35.9,-1.8
192111,39.3,1.6
192211,33.5,-4.2
192311,39,1.3
192411,36.5,-1.2
192511,37.4,-0.3
192611,41.1,3.4
192711,41.2,3.5
192811,37.7,0.0
192911,35.5,-2.2
193011,35.6,-2.1
193111,33.6,-4.1
193211,41,3.3
193311,38.6,0.9
193411,41.5,3.8
193511,32.9,-4.8
193611,34.8,-2.9
193711,41.1,3.4
193811,33.9,-3.8
193911,39.5,1.8
194011,34.8,-2.9
194111,40.4,2.7
194211,37.5,-0.2
194311,38.7,1.0
194411,35.3,-2.4
194511,36.7,-1.0
194611,35.6,-2.1
194711,37,-0.7
194811,35.7,-2.0
194911,42.7,5.0
195011,40.1,2.4
195111,36.9,-0.8
195211,32.6,-5.1
195311,41.9,4.2
195411,41.8,4.1
195511,34.7,-3.0
195611,36,-1.7
195711,35.5,-2.2
195811,39,1.3
195911,37.7,0.0
196011,37.4,-0.3
196111,35.1,-2.6
196211,40.2,2.5
196311,39.3,1.6
196411,35.9,-1.8
196511,40.7,3.0
196611,40.3,2.6
196711,39.8,2.1
196811,38.4,0.7
196911,39,1.3
197011,39.2,1.5
197111,37.4,-0.3
197211,38.3,0.6
197311,36.9,-0.8
197411,39.4,1.7
197511,36.3,-1.4
197611,41.1,3.4
197711,37.2,-0.5
197811,33.4,-4.3
197911,35.1,-2.6
198011,39.6,1.9
198111,40.1,2.4
198211,34.4,-3.3
198311,39.5,1.8
198411,37.2,-0.5
198511,28.5,-9.2
198611,39.5,1.8
198711,39.2,1.5
198811,37.8,0.1
198911,39.9,2.2
199011,38.9,1.2
199111,39,1.3
199211,36.8,-0.9
199311,33.6,-4.1
199411,31.7,-6.0
199511,43.3,5.6
199611,39.6,1.9
199711,40.8,3.1
199811,38.5,0.8
199911,43.1,5.4
200011,33.8,-3.9
200111,40,2.3
200211,40.7,3.0
200311,34.9,-2.8
200411,38.3,0.6
200511,37.5,-0.2
200611,38.3,0.6
200711,39.1,1.4
200811,42.4,4.7
200911,38.2,0.5
201011,36.7,-1.0
201111,37,-0.7
201211,40.6,2.9
201311,39.4,1.7
201411,38.2,0.5
201511,35.9,-1.8
