Utah, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,59.6,-1.0
189609,59,-1.6
189709,60.6,0.0
189809,59.3,-1.3
189909,62.1,1.5
190009,55.8,-4.8
190109,57.8,-2.8
190209,59.3,-1.3
190309,57.4,-3.2
190409,60.3,-0.3
190509,60,-0.6
190609,58.4,-2.2
190709,58.8,-1.8
190809,58.8,-1.8
190909,59.1,-1.5
191009,62.4,1.8
191109,60.6,0.0
191209,53.7,-6.9
191309,58.8,-1.8
191409,60.6,0.0
191509,58.3,-2.3
191609,58.5,-2.1
191709,60.4,-0.2
191809,60.9,0.3
191909,61.6,1.0
192009,58.8,-1.8
192109,59.2,-1.4
192209,63.2,2.6
192309,58.4,-2.2
192409,59.3,-1.3
192509,58.6,-2.0
192609,58.8,-1.8
192709,59,-1.6
192809,61.6,1.0
192909,58.7,-1.9
193009,59.6,-1.0
193109,61.4,0.8
193209,61.2,0.6
193309,63.8,3.2
193409,60.1,-0.5
193509,63.1,2.5
193609,59.6,-1.0
193709,63,2.4
193809,63.4,2.8
193909,61.3,0.7
194009,61.3,0.7
194109,56.6,-4.0
194209,60.4,-0.2
194309,63.6,3.0
194409,62.1,1.5
194509,59.3,-1.3
194609,61.2,0.6
194709,63.3,2.7
194809,62.9,2.3
194909,62.8,2.2
195009,59.9,-0.7
195109,61.4,0.8
195209,63.1,2.5
195309,63.4,2.8
195409,61.7,1.1
195509,62.1,1.5
195609,63.6,3.0
195709,60.1,-0.5
195809,61.8,1.2
195909,58.9,-1.7
196009,64.1,3.5
196109,55.9,-4.7
196209,62.2,1.6
196309,63.8,3.2
196409,59.4,-1.2
196509,54.9,-5.7
196609,62.2,1.6
196709,61.8,1.2
196809,58.4,-2.2
196909,63.4,2.8
197009,57,-3.6
197109,57,-3.6
197209,59.3,-1.3
197309,58.5,-2.1
197409,61.1,0.5
197509,60.5,-0.1
197609,61.1,0.5
197709,61.9,1.3
197809,59.4,-1.2
197909,64.5,3.9
198009,60.8,0.2
198109,63.2,2.6
198209,60,-0.6
198309,62.8,2.2
198409,61.3,0.7
198509,56.7,-3.9
198609,56.4,-4.2
198709,61.6,1.0
198809,59.6,-1.0
198909,61.7,1.1
199009,65.1,4.5
199109,61.3,0.7
199209,62.2,1.6
199309,60.5,-0.1
199409,63.4,2.8
199509,62.7,2.1
199609,59,-1.6
199709,61.7,1.1
199809,63,2.4
199909,59.8,-0.8
200009,62,1.4
200109,65.2,4.6
200209,61.1,0.5
200309,62.2,1.6
200409,60.2,-0.4
200509,60.8,0.2
200609,58.1,-2.5
200709,61.7,1.1
200809,61.9,1.3
200909,64.3,3.7
201009,63.8,3.2
201109,63.2,2.6
201209,63.6,3.0
201309,61.4,0.8
201409,64.2,3.6
201509,65.5,4.9
