Wisconsin, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,66.2,2.1
189606,66,1.9
189706,62,-2.1
189806,65.9,1.8
189906,65.2,1.1
190006,64.7,0.6
190106,66.2,2.1
190206,60.5,-3.6
190306,60.9,-3.2
190406,63.1,-1.0
190506,62.9,-1.2
190606,63.6,-0.5
190706,63.1,-1.0
190806,63,-1.1
190906,64.6,0.5
191006,66.4,2.3
191106,69.1,5.0
191206,62,-2.1
191306,66.5,2.4
191406,63.1,-1.0
191506,59.1,-5.0
191606,59.1,-5.0
191706,59.6,-4.5
191806,63.2,-0.9
191906,68.7,4.6
192006,65.4,1.3
192106,69.6,5.5
192206,65.5,1.4
192306,68.2,4.1
192406,60.6,-3.5
192506,65,0.9
192606,59.7,-4.4
192706,61.1,-3.0
192806,59.3,-4.8
192906,61.7,-2.4
193006,65.2,1.1
193106,68.4,4.3
193206,67.1,3.0
193306,72,7.9
193406,68.6,4.5
193506,60.1,-4.0
193606,62.2,-1.9
193706,63.5,-0.6
193806,63.4,-0.7
193906,65.5,1.4
194006,63.9,-0.2
194106,65.6,1.5
194206,63.8,-0.3
194306,67,2.9
194406,66.5,2.4
194506,59.1,-5.0
194606,63,-1.1
194706,60.8,-3.3
194806,63.5,-0.6
194906,68,3.9
195006,63.7,-0.4
195106,60.7,-3.4
195206,65.9,1.8
195306,66.1,2.0
195406,66.7,2.6
195506,63.5,-0.6
195606,67.1,3.0
195706,63.9,-0.2
195806,59.3,-4.8
195906,65.7,1.6
196006,61.4,-2.7
196106,64.5,0.4
196206,63.3,-0.8
196306,66.2,2.1
196406,64.7,0.6
196506,62.6,-1.5
196606,65.3,1.2
196706,64.3,0.2
196806,63.6,-0.5
196906,57.4,-6.7
197006,65.8,1.7
197106,67.8,3.7
197206,62.2,-1.9
197306,65.8,1.7
197406,61,-3.1
197506,64.4,0.3
197606,66.6,2.5
197706,63.1,-1.0
197806,63.5,-0.6
197906,63,-1.1
198006,63.1,-1.0
198106,64.4,0.3
198206,58.8,-5.3
198306,64.5,0.4
198406,65.8,1.7
198506,61.2,-2.9
198606,63.9,-0.2
198706,68,3.9
198806,68.3,4.2
198906,62.7,-1.4
199006,64.9,0.8
199106,68.2,4.1
199206,61.6,-2.5
199306,61.5,-2.6
199406,66.5,2.4
199506,68.5,4.4
199606,64.5,0.4
199706,66,1.9
199806,63.5,-0.6
199906,65.4,1.3
200006,62.8,-1.3
200106,64.4,0.3
200206,66.4,2.3
200306,63.1,-1.0
200406,62,-2.1
200506,69.4,5.3
200606,65.1,1.0
200706,66.9,2.8
200806,64.5,0.4
200906,63.6,-0.5
201006,65.1,1.0
201106,64.3,0.2
201206,67.1,3.0
201306,63.9,-0.2
201406,66.4,2.3
201506,63.8,-0.3
