West Virginia, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,60,-0.5
189605,67.7,7.2
189705,57.8,-2.7
189805,62.8,2.3
189905,63.4,2.9
190005,61.7,1.2
190105,60.6,0.1
190205,63.4,2.9
190305,63.7,3.2
190405,60.8,0.3
190505,63.2,2.7
190605,61.4,0.9
190705,58.1,-2.4
190805,62.2,1.7
190905,60,-0.5
191005,57.3,-3.2
191105,64.7,4.2
191205,61.8,1.3
191305,60.2,-0.3
191405,61.1,0.6
191505,59.9,-0.6
191605,63.3,2.8
191705,54.7,-5.8
191805,65.4,4.9
191905,60,-0.5
192005,57.6,-2.9
192105,60.1,-0.4
192205,62.8,2.3
192305,59.2,-1.3
192405,55,-5.5
192505,56.3,-4.2
192605,60.6,0.1
192705,60.6,0.1
192805,58,-2.5
192905,59.5,-1.0
193005,62.5,2.0
193105,59.5,-1.0
193205,60.9,0.4
193305,64,3.5
193405,62,1.5
193505,58.1,-2.4
193605,63,2.5
193705,60.1,-0.4
193805,60.1,-0.4
193905,62.5,2.0
194005,59.5,-1.0
194105,61.5,1.0
194205,62.5,2.0
194305,62.7,2.2
194405,66.7,6.2
194505,57.2,-3.3
194605,59.9,-0.6
194705,59.5,-1.0
194805,59.5,-1.0
194905,61.6,1.1
195005,61.9,1.4
195105,60.8,0.3
195205,60.4,-0.1
195305,65.4,4.9
195405,56.4,-4.1
195505,62.7,2.2
195605,60.6,0.1
195705,62.3,1.8
195805,59.5,-1.0
195905,64.5,4.0
196005,58,-2.5
196105,55.8,-4.7
196205,65.9,5.4
196305,58.5,-2.0
196405,61.9,1.4
196505,65,4.5
196605,58.8,-1.7
196705,55.6,-4.9
196805,57.3,-3.2
196905,61,0.5
197005,63,2.5
197105,56.5,-4.0
197205,59.8,-0.7
197305,57.3,-3.2
197405,60.2,-0.3
197505,63.5,3.0
197605,57.3,-3.2
197705,63,2.5
197805,58.4,-2.1
197905,59.4,-1.1
198005,60.4,-0.1
198105,57.6,-2.9
198205,64.1,3.6
198305,57.6,-2.9
198405,57.7,-2.8
198505,61.7,1.2
198605,61.1,0.6
198705,63.9,3.4
198805,59.7,-0.8
198905,56.4,-4.1
199005,58.9,-1.6
199105,67.1,6.6
199205,57.6,-2.9
199305,60.8,0.3
199405,55.4,-5.1
199505,59.2,-1.3
199605,60.6,0.1
199705,54.8,-5.7
199805,63.5,3.0
199905,60.8,0.3
200005,62.9,2.4
200105,61,0.5
200205,57.9,-2.6
200305,59.8,-0.7
200405,65.9,5.4
200505,56.3,-4.2
200605,57.7,-2.8
200705,62.9,2.4
200805,57.1,-3.4
200905,61.2,0.7
201005,63.4,2.9
201105,62,1.5
201205,65.8,5.3
201305,60.5,0.0
201405,61.7,1.2
201505,64.6,4.1
