Wyoming, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,42,3.2
189604,37,-1.8
189704,37.6,-1.2
189804,41.1,2.3
189904,38.8,0.0
190004,40.6,1.8
190104,38.7,-0.1
190204,37.3,-1.5
190304,37.7,-1.1
190404,40,1.2
190504,37.9,-0.9
190604,40.7,1.9
190704,37.1,-1.7
190804,42,3.2
190904,33.6,-5.2
191004,45,6.2
191104,37.5,-1.3
191204,37.2,-1.6
191304,41.3,2.5
191404,39.5,0.7
191504,46,7.2
191604,38.7,-0.1
191704,33.6,-5.2
191804,33.7,-5.1
191904,39.6,0.8
192004,31.1,-7.7
192104,36.8,-2.0
192204,34.7,-4.1
192304,36.9,-1.9
192404,36.9,-1.9
192504,42.3,3.5
192604,41.4,2.6
192704,37,-1.8
192804,35.9,-2.9
192904,35.8,-3.0
193004,45.5,6.7
193104,39.2,0.4
193204,39.6,0.8
193304,35.5,-3.3
193404,43,4.2
193504,36.1,-2.7
193604,38.3,-0.5
193704,37.3,-1.5
193804,39.5,0.7
193904,42.1,3.3
194004,39.5,0.7
194104,38.3,-0.5
194204,42.4,3.6
194304,45.8,7.0
194404,37.8,-1.0
194504,33.2,-5.6
194604,45.3,6.5
194704,37.9,-0.9
194804,40.4,1.6
194904,43.3,4.5
195004,37.1,-1.7
195104,36.3,-2.5
195204,41.5,2.7
195304,34.6,-4.2
195404,41.5,2.7
195504,38.1,-0.7
195604,37.4,-1.4
195704,35.8,-3.0
195804,36.4,-2.4
195904,38.4,-0.4
196004,40.8,2.0
196104,37.2,-1.6
196204,42.3,3.5
196304,38,-0.8
196404,37.4,-1.4
196504,40.8,2.0
196604,36.2,-2.6
196704,38,-0.8
196804,34.7,-4.1
196904,42.6,3.8
197004,32.9,-5.9
197104,38.1,-0.7
197204,39,0.2
197304,33.4,-5.4
197404,39.4,0.6
197504,33,-5.8
197604,39.9,1.1
197704,42.5,3.7
197804,40.8,2.0
197904,39,0.2
198004,40.1,1.3
198104,44.1,5.3
198204,35.9,-2.9
198304,34.2,-4.6
198404,35.2,-3.6
198504,42.7,3.9
198604,40,1.2
198704,45,6.2
198804,42.2,3.4
198904,41.6,2.8
199004,41.5,2.7
199104,37.6,-1.2
199204,44.5,5.7
199304,38.4,-0.4
199404,40.8,2.0
199504,36.9,-1.9
199604,39.8,1.0
199704,34.2,-4.6
199804,39.5,0.7
199904,36.5,-2.3
200004,42.5,3.7
200104,41.1,2.3
200204,40.1,1.3
200304,42.7,3.9
200404,42.2,3.4
200504,40.3,1.5
200604,43.5,4.7
200704,40.5,1.7
200804,35.7,-3.1
200904,38.4,-0.4
201004,39.2,0.4
201104,37.1,-1.7
201204,44.7,5.9
201304,34.7,-4.1
201404,39.7,0.9
201504,41.3,2.5
