Wyoming, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,53.2,-4.4
189606,60,2.4
189706,58,0.4
189806,58.4,0.8
189906,55.7,-1.9
190006,62.9,5.3
190106,54.8,-2.8
190206,57,-0.6
190306,57,-0.6
190406,55,-2.6
190506,56.3,-1.3
190606,54.4,-3.2
190706,53.7,-3.9
190806,53.8,-3.8
190906,58.3,0.7
191006,60.3,2.7
191106,61,3.4
191206,56.8,-0.8
191306,59,1.4
191406,57.4,-0.2
191506,52.5,-5.1
191606,55,-2.6
191706,54.4,-3.2
191806,62.7,5.1
191906,61.7,4.1
192006,56.1,-1.5
192106,60.6,3.0
192206,60.5,2.9
192306,57.1,-0.5
192406,56.5,-1.1
192506,56.6,-1.0
192606,58.6,1.0
192706,57,-0.6
192806,52.6,-5.0
192906,56,-1.6
193006,56.9,-0.7
193106,62.2,4.6
193206,57.7,0.1
193306,63.5,5.9
193406,58.8,1.2
193506,57.4,-0.2
193606,62.2,4.6
193706,56.6,-1.0
193806,59.4,1.8
193906,55.8,-1.8
194006,61.3,3.7
194106,57.6,0.0
194206,55.6,-2.0
194306,55.5,-2.1
194406,54.7,-2.9
194506,52.2,-5.4
194606,58,0.4
194706,52.9,-4.7
194806,58.4,0.8
194906,56.6,-1.0
195006,55.8,-1.8
195106,51.5,-6.1
195206,60.1,2.5
195306,59,1.4
195406,57.2,-0.4
195506,55.4,-2.2
195606,62.1,4.5
195706,56.4,-1.2
195806,58,0.4
195906,61.5,3.9
196006,59.4,1.8
196106,61.8,4.2
196206,57,-0.6
196306,58,0.4
196406,55.5,-2.1
196506,55.9,-1.7
196606,57.2,-0.4
196706,54.2,-3.4
196806,56.8,-0.8
196906,53.3,-4.3
197006,58.1,0.5
197106,58.7,1.1
197206,59.7,2.1
197306,58.1,0.5
197406,60.6,3.0
197506,54.1,-3.5
197606,56.3,-1.3
197706,63,5.4
197806,57.6,0.0
197906,57.8,0.2
198006,59.3,1.7
198106,58.7,1.1
198206,55.1,-2.5
198306,56.1,-1.5
198406,56.6,-1.0
198506,58.2,0.6
198606,62.3,4.7
198706,60.1,2.5
198806,66.4,8.8
198906,57,-0.6
199006,59.5,1.9
199106,59.2,1.6
199206,58.5,0.9
199306,54.3,-3.3
199406,61.1,3.5
199506,55.4,-2.2
199606,60.6,3.0
199706,60,2.4
199806,52.4,-5.2
199906,56.7,-0.9
200006,58.3,0.7
200106,59.9,2.3
200206,61.3,3.7
200306,56.1,-1.5
200406,56.6,-1.0
200506,57.2,-0.4
200606,62.6,5.0
200706,61,3.4
200806,56.4,-1.2
200906,55.4,-2.2
201006,57.4,-0.2
201106,56.4,-1.2
201206,62.8,5.2
201306,60.7,3.1
201406,56.4,-1.2
201506,63,5.4
