Wyoming, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,52.5,-1.1
189609,50.7,-2.9
189709,57,3.4
189809,53.3,-0.3
189909,54.5,0.9
190009,52.2,-1.4
190109,50.7,-2.9
190209,51.8,-1.8
190309,49.6,-4.0
190409,53.8,0.2
190509,54.8,1.2
190609,53.9,0.3
190709,52.5,-1.1
190809,54.8,1.2
190909,54.1,0.5
191009,54.4,0.8
191109,54.2,0.6
191209,45.4,-8.2
191309,52.5,-1.1
191409,54.1,0.5
191509,50.5,-3.1
191609,52.3,-1.3
191709,54.7,1.1
191809,52.2,-1.4
191909,56.1,2.5
192009,53.3,-0.3
192109,52.1,-1.5
192209,56.5,2.9
192309,53.3,-0.3
192409,52.1,-1.5
192509,53.9,0.3
192609,49.5,-4.1
192709,52.5,-1.1
192809,53.2,-0.4
192909,49.6,-4.0
193009,53.3,-0.3
193109,55.9,2.3
193209,53.8,0.2
193309,56.1,2.5
193409,50.1,-3.5
193509,55.1,1.5
193609,53.7,0.1
193709,56.6,3.0
193809,57.3,3.7
193909,55.8,2.2
194009,58.1,4.5
194109,50.3,-3.3
194209,52.9,-0.7
194309,54.7,1.1
194409,53.7,0.1
194509,50.8,-2.8
194609,53.4,-0.2
194709,55.7,2.1
194809,57.5,3.9
194909,53.6,0.0
195009,51.9,-1.7
195109,50.9,-2.7
195209,56.9,3.3
195309,56.2,2.6
195409,55.9,2.3
195509,54.3,0.7
195609,55.5,1.9
195709,52,-1.6
195809,55.2,1.6
195909,51.9,-1.7
196009,56,2.4
196109,47.7,-5.9
196209,53.9,0.3
196309,58.5,4.9
196409,52.4,-1.2
196509,44.6,-9.0
196609,56.6,3.0
196709,55.6,2.0
196809,52,-1.6
196909,57.4,3.8
197009,50.1,-3.5
197109,49.9,-3.7
197209,51.8,-1.8
197309,51.2,-2.4
197409,51.1,-2.5
197509,52.2,-1.4
197609,54.9,1.3
197709,54.8,1.2
197809,54.5,0.9
197909,57.9,4.3
198009,54.8,1.2
198109,57.1,3.5
198209,52.5,-1.1
198309,54.8,1.2
198409,50.6,-3.0
198509,49.3,-4.3
198609,49.9,-3.7
198709,54.6,1.0
198809,53.4,-0.2
198909,53.9,0.3
199009,59.3,5.7
199109,54.5,0.9
199209,54.5,0.9
199309,51.5,-2.1
199409,57,3.4
199509,54.1,0.5
199609,52.3,-1.3
199709,56.4,2.8
199809,59.9,6.3
199909,51,-2.6
200009,54.1,0.5
200109,58.1,4.5
200209,55.2,1.6
200309,52.9,-0.7
200409,54.2,0.6
200509,55.6,2.0
200609,51.9,-1.7
200709,55.7,2.1
200809,52.8,-0.8
200909,57.5,3.9
201009,56.3,2.7
201109,56.4,2.8
201209,57.5,3.9
201309,57.3,3.7
201409,55.8,2.2
201509,59.5,5.9
