California, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,63,25
189609,67,29
189709,44,6
189809,43,5
189909,22,-16
190009,100,62
190109,91,53
190209,31,-7
190309,50,12
190409,25,-13
190509,42,4
190609,38,0
190709,88,50
190809,47,9
190909,53,15
191009,50,12
191109,95,57
191209,64,26
191309,20,-18
191409,66,28
191509,65,27
191609,60,22
191709,29,-9
191809,37,-1
191909,57,19
192009,63,25
192109,55,17
192209,15,-23
192309,32,-6
192409,39,1
192509,91,53
192609,79,41
192709,82,44
192809,31,-7
192909,46,8
193009,84,46
193109,50,12
193209,26,-12
193309,79,41
193409,27,-11
193509,27,-11
193609,29,-9
193709,26,-12
193809,20,-18
193909,17,-21
194009,52,14
194109,76,38
194209,55,17
194309,19,-19
194409,31,-7
194509,23,-15
194609,30,-8
194709,20,-18
194809,40,2
194909,24,-14
195009,48,10
195109,22,-16
195209,18,-20
195309,22,-16
195409,47,9
195509,28,-10
195609,21,-17
195709,30,-8
195809,15,-23
195909,42,4
196009,19,-19
196109,49,11
196209,34,-4
196309,13,-25
196409,53,15
196509,80,42
196609,31,-7
196709,14,-24
196809,28,-10
196909,20,-18
197009,35,-3
197109,27,-11
197209,49,11
197309,52,14
197409,16,-22
197509,18,-20
197609,32,-6
197709,41,3
197809,37,-1
197909,7,-31
198009,38,0
198109,22,-16
198209,37,-1
198309,10,-28
198409,7,-31
198509,69,31
198609,100,62
198709,23,-15
198809,29,-9
198909,35,-3
199009,21,-17
199109,12,-26
199209,17,-21
199309,24,-14
199409,22,-16
199509,15,-23
199609,33,-5
199709,11,-27
199809,26,-12
199909,23,-15
200009,25,-13
200109,18,-20
200209,15,-23
200309,9,-29
200409,19,-19
200509,50,12
200609,24,-14
200709,41,3
200809,12,-26
200909,5,-33
201009,20,-18
201109,12,-26
201209,7,-31
201309,21,-17
201409,7,-31
201509,7,-31
