Colorado, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1302,261
189602,1030,-11
189702,1111,70
189802,967,-74
189902,1434,393
190002,1130,89
190102,1178,137
190202,980,-61
190302,1396,355
190402,906,-135
190502,1264,223
190602,1004,-37
190702,860,-181
190802,1032,-9
190902,1086,45
191002,1127,86
191102,1111,70
191202,1125,84
191302,1277,236
191402,1157,116
191502,1009,-32
191602,991,-50
191702,1047,6
191802,1017,-24
191902,1172,131
192002,1025,-16
192102,999,-42
192202,1127,86
192302,1175,134
192402,957,-84
192502,923,-118
192602,920,-121
192702,984,-57
192802,1068,27
192902,1336,295
193002,875,-166
193102,942,-99
193202,928,-113
193302,1239,198
193402,927,-114
193502,963,-78
193602,1211,170
193702,1089,48
193802,995,-46
193902,1294,253
194002,1015,-26
194102,978,-63
194202,1295,254
194302,901,-140
194402,1070,29
194502,1010,-31
194602,998,-43
194702,1093,52
194802,1177,136
194902,1134,93
195002,919,-122
195102,1008,-33
195202,1042,1
195302,1052,11
195402,771,-270
195502,1220,179
195602,1207,166
195702,868,-173
195802,929,-112
195902,1097,56
196002,1268,227
196102,972,-69
196202,1003,-38
196302,904,-137
196402,1202,161
196502,1122,81
196602,1182,141
196702,997,-44
196802,993,-48
196902,999,-42
197002,902,-139
197102,1075,34
197202,938,-103
197302,1069,28
197402,1030,-11
197502,1102,61
197602,871,-170
197702,938,-103
197802,1114,73
197902,1054,13
198002,1014,-27
198102,961,-80
198202,1072,31
198302,942,-99
198402,1038,-3
198502,1167,126
198602,948,-93
198702,952,-89
198802,1025,-16
198902,1228,187
199002,1038,-3
199102,868,-173
199202,886,-155
199302,1128,87
199402,1080,39
199502,869,-172
199602,956,-85
199702,1046,5
199802,970,-71
199902,860,-181
200002,840,-201
200102,1043,2
200202,1035,-6
200302,1096,55
200402,1064,23
200502,935,-106
200602,1046,5
200702,1050,9
200802,1022,-19
200902,898,-143
201002,1127,86
201102,1139,98
201202,1071,30
201302,1086,45
201402,1093,52
201502,940,-101
