Iowa, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1664,205
189601,1342,-117
189701,1537,78
189801,1342,-117
189901,1443,-16
190001,1262,-197
190101,1333,-126
190201,1380,-79
190301,1359,-100
190401,1623,164
190501,1716,257
190601,1287,-172
190701,1464,5
190801,1295,-164
190901,1398,-61
191001,1514,55
191101,1436,-23
191201,1942,483
191301,1406,-53
191401,1198,-261
191501,1526,67
191601,1476,17
191701,1528,69
191801,1787,328
191901,1237,-222
192001,1569,110
192101,1187,-272
192201,1448,-11
192301,1249,-210
192401,1631,172
192501,1458,-1
192601,1368,-91
192701,1405,-54
192801,1291,-168
192901,1753,294
193001,1734,275
193101,1178,-281
193201,1346,-113
193301,1061,-398
193401,1233,-226
193501,1431,-28
193601,1760,301
193701,1644,185
193801,1427,-32
193901,1179,-280
194001,1794,335
194101,1332,-127
194201,1411,-48
194301,1549,90
194401,1144,-315
194501,1489,30
194601,1363,-96
194701,1270,-189
194801,1528,69
194901,1486,27
195001,1458,-1
195101,1516,57
195201,1423,-36
195301,1359,-100
195401,1465,6
195501,1420,-39
195601,1464,5
195701,1601,142
195801,1337,-122
195901,1604,145
196001,1412,-47
196101,1434,-25
196201,1626,167
196301,1760,301
196401,1222,-237
196501,1490,31
196601,1663,204
196701,1339,-120
196801,1432,-27
196901,1574,115
197001,1715,256
197101,1625,166
197201,1549,90
197301,1369,-90
197401,1480,21
197501,1391,-68
197601,1419,-40
197701,1824,365
197801,1755,296
197901,1861,402
198001,1377,-82
198101,1311,-148
198201,1783,324
198301,1278,-181
198401,1470,11
198501,1586,127
198601,1314,-145
198701,1261,-198
198801,1524,65
198901,1109,-350
199001,1094,-365
199101,1594,135
199201,1181,-278
199301,1453,-6
199401,1690,231
199501,1449,-10
199601,1512,53
199701,1556,97
199801,1278,-181
199901,1487,28
200001,1347,-112
200101,1369,-90
200201,1114,-345
200301,1424,-35
200401,1459,0
200501,1422,-37
200601,1007,-452
200701,1332,-127
200801,1492,33
200901,1620,161
201001,1583,124
201101,1541,82
201201,1194,-265
201301,1327,-132
201401,1588,129
201501,1352,-107
